 R = [9.28, 7.37, 6.44, 5.85, 5.43, 5.11, 4.85, 4.64, 4.46, 4.31, 4.17, 4.05, 3.95, 3.85, 3.76, 3.68, 3.61, 3.54, 3.48, 3.42]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255518     -0.00201048     -441.25      0.00000000        0.00      0.0000
   2   1   -529.56006085      0.00048385      106.19      0.00249434      547.44      0.0679
   3   1   -529.55326138      0.00728332     1598.50      0.00929380     2039.75      0.2529
   4   1   -529.50718371      0.05336099    11711.38      0.05537148    12152.63      1.5067
   5   1   -529.50645840      0.05408630    11870.57      0.05609679    12311.82      1.5265
   6   1   -529.50642388      0.05412082    11878.15      0.05613131    12319.40      1.5274
   7   1   -529.50391055      0.05663416    12429.76      0.05864464    12871.01      1.5958
   8   1   -529.50386686      0.05667784    12439.35      0.05868832    12880.60      1.5970
   9   1   -529.50007732      0.06046738    13271.06      0.06247786    13712.31      1.7001
  10   1   -529.49944312      0.06110158    13410.25      0.06311206    13851.50      1.7174
  11   1   -529.49941151      0.06113320    13417.19      0.06314368    13858.44      1.7182
  12   1   -529.49202297      0.06852173    15038.78      0.07053221    15480.03      1.9193
 
  13   2   -529.56252425     -0.00197955     -434.46      0.00003094        6.79      0.0008
  14   2   -529.55998935      0.00055535      121.89      0.00256583      563.14      0.0698
  15   2   -529.55308845      0.00745626     1636.46      0.00946674     2077.71      0.2576
  16   2   -529.51269716      0.04784754    10501.32      0.04985802    10942.57      1.3567
  17   2   -529.50714091      0.05340380    11720.78      0.05541428    12162.03      1.5079
  18   2   -529.50711597      0.05342874    11726.25      0.05543922    12167.50      1.5086
  19   2   -529.50642471      0.05411999    11877.97      0.05613047    12319.21      1.5274
  20   2   -529.50451168      0.05603303    12297.83      0.05804351    12739.08      1.5794
  21   2   -529.50390609      0.05663862    12430.74      0.05864910    12871.99      1.5959
  22   2   -529.50006084      0.06048387    13274.67      0.06249435    13715.92      1.7006
  23   2   -529.49942705      0.06111765    13413.77      0.06312813    13855.02      1.7178
  24   2   -529.49855028      0.06199443    13606.20      0.06400491    14047.45      1.7417
 
  25   3   -529.56252425     -0.00197955     -434.46      0.00003093        6.79      0.0008
  26   3   -529.55998935      0.00055535      121.89      0.00256583      563.13      0.0698
  27   3   -529.55308846      0.00745625     1636.46      0.00946673     2077.71      0.2576
  28   3   -529.51269716      0.04784754    10501.32      0.04985802    10942.57      1.3567
  29   3   -529.50714091      0.05340380    11720.78      0.05541428    12162.03      1.5079
  30   3   -529.50711597      0.05342874    11726.25      0.05543922    12167.50      1.5086
  31   3   -529.50642471      0.05411999    11877.97      0.05613047    12319.21      1.5274
  32   3   -529.50451168      0.05603303    12297.83      0.05804351    12739.08      1.5794
  33   3   -529.50390608      0.05663862    12430.74      0.05864910    12871.99      1.5959
  34   3   -529.50006084      0.06048387    13274.67      0.06249435    13715.92      1.7006
  35   3   -529.49942705      0.06111765    13413.77      0.06312813    13855.02      1.7178
  36   3   -529.49855028      0.06199443    13606.20      0.06400491    14047.45      1.7417
 
  37   4   -529.56255518     -0.00201048     -441.25      0.00000000        0.00      0.0000
  38   4   -529.56251365     -0.00196895     -432.13      0.00004153        9.12      0.0011
  39   4   -529.55650275      0.00404195      887.11      0.00605244     1328.36      0.1647
  40   4   -529.51269699      0.04784771    10501.36      0.04985819    10942.61      1.3567
  41   4   -529.50718841      0.05335630    11710.35      0.05536678    12151.60      1.5066
  42   4   -529.50710642      0.05343829    11728.35      0.05544877    12169.60      1.5088
  43   4   -529.50642000      0.05412471    11879.00      0.05613519    12320.25      1.5275
  44   4   -529.50448102      0.05606368    12304.56      0.05807416    12745.81      1.5803
  45   4   -529.50390182      0.05664288    12431.68      0.05865337    12872.93      1.5960
  46   4   -529.50001396      0.06053075    13284.96      0.06254123    13726.21      1.7018
  47   4   -529.49943688      0.06110783    13411.62      0.06311831    13852.87      1.7175
  48   4   -529.49855329      0.06199142    13605.54      0.06400190    14046.79      1.7416

--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
