 R = [25.83, 17.58, 14.03, 11.96, 10.56, 9.55, 8.76, 8.14, 7.62, 7.19, 6.82, 6.5, 6.21, 5.96, 5.74, 5.54, 5.35, 5.19, 5.03, 4.89, 4.76, 4.64, 4.53, 4.42, 4.32, 4.23, 4.14, 4.06, 3.98, 3.9, 3.83, 3.77, 3.7, 3.64, 3.58, 3.53, 3.47, 3.42, 3.37, 3.33, 3.28, 3.24, 3.2, 3.16, 3.12, 3.08, 3.04, 3.01, 2.97, 2.94, 2.91, 2.88, 2.85, 2.82, 2.79, 2.76, 2.73, 2.71, 2.68, 2.66, 2.63, 2.61, 2.59, 2.56, 2.54, 2.52, 2.5, 2.48, 2.46, 2.44, 2.42, 2.4, 2.38, 2.36, 2.35, 2.33, 2.31, 2.3, 2.28, 2.26]
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255333     -0.00201048     -441.25      0.00000000        0.00      0.0000
   2   1   -529.56005902      0.00048383      106.19      0.00249431      547.44      0.0679
   3   1   -529.55325960      0.00728325     1598.49      0.00929373     2039.74      0.2529
   4   1   -529.50718488      0.05335796    11710.72      0.05536845    12151.97      1.5067
   5   1   -529.50645767      0.05408517    11870.32      0.05609565    12311.57      1.5264
   6   1   -529.50642673      0.05411612    11877.11      0.05612660    12318.36      1.5273
   7   1   -529.50391735      0.05662549    12427.86      0.05863597    12869.11      1.5956
   8   1   -529.50386418      0.05667866    12439.53      0.05868915    12880.78      1.5970
   9   1   -529.50008070      0.06046214    13269.91      0.06247262    13711.16      1.7000
  10   1   -529.49944295      0.06109989    13409.88      0.06311037    13851.13      1.7173
  11   1   -529.49941492      0.06112793    13416.03      0.06313841    13857.28      1.7181
  12   1   -529.49202932      0.06851353    15036.98      0.07052401    15478.23      1.9191
 
  13   2   -529.56252238     -0.00197953     -434.46      0.00003095        6.79      0.0008
  14   2   -529.55998749      0.00055535      121.89      0.00256583      563.14      0.0698
  15   2   -529.55308662      0.00745622     1636.45      0.00946670     2077.70      0.2576
  16   2   -529.51269557      0.04784727    10501.26      0.04985775    10942.51      1.3567
  17   2   -529.50714158      0.05340126    11720.22      0.05541174    12161.47      1.5078
  18   2   -529.50711714      0.05342571    11725.59      0.05543619    12166.84      1.5085
  19   2   -529.50642515      0.05411769    11877.46      0.05612818    12318.71      1.5273
  20   2   -529.50451609      0.05602676    12296.45      0.05803724    12737.70      1.5793
  21   2   -529.50390637      0.05663647    12430.27      0.05864695    12871.52      1.5959
  22   2   -529.50006132      0.06048153    13274.16      0.06249201    13715.41      1.7005
  23   2   -529.49943088      0.06111196    13412.52      0.06312244    13853.78      1.7176
  24   2   -529.49855158      0.06199126    13605.51      0.06400174    14046.76      1.7416
 
  25   3   -529.56252238     -0.00197953     -434.46      0.00003095        6.79      0.0008
  26   3   -529.55998750      0.00055535      121.88      0.00256583      563.13      0.0698
  27   3   -529.55308663      0.00745621     1636.45      0.00946669     2077.70      0.2576
  28   3   -529.51269557      0.04784727    10501.26      0.04985775    10942.51      1.3567
  29   3   -529.50714158      0.05340127    11720.22      0.05541175    12161.47      1.5078
  30   3   -529.50711714      0.05342570    11725.59      0.05543619    12166.84      1.5085
  31   3   -529.50642516      0.05411769    11877.46      0.05612817    12318.71      1.5273
  32   3   -529.50451608      0.05602676    12296.45      0.05803724    12737.70      1.5793
  33   3   -529.50390637      0.05663647    12430.27      0.05864695    12871.52      1.5959
  34   3   -529.50006132      0.06048153    13274.16      0.06249201    13715.41      1.7005
  35   3   -529.49943088      0.06111196    13412.52      0.06312244    13853.77      1.7176
  36   3   -529.49855159      0.06199126    13605.51      0.06400174    14046.76      1.7416
 
  37   4   -529.56255333     -0.00201048     -441.25      0.00000000        0.00      0.0000
  38   4   -529.56251177     -0.00196893     -432.13      0.00004156        9.12      0.0011
  39   4   -529.55650088      0.00404197      887.11      0.00605245     1328.36      0.1647
  40   4   -529.51269541      0.04784743    10501.30      0.04985791    10942.55      1.3567
  41   4   -529.50719105      0.05335180    11709.37      0.05536228    12150.62      1.5065
  42   4   -529.50710602      0.05343683    11728.03      0.05544731    12169.28      1.5088
  43   4   -529.50642266      0.05412018    11878.01      0.05613067    12319.26      1.5274
  44   4   -529.50447739      0.05606545    12304.94      0.05807593    12746.19      1.5803
  45   4   -529.50390670      0.05663615    12430.20      0.05864663    12871.45      1.5959
  46   4   -529.50001780      0.06052504    13283.71      0.06253552    13724.96      1.7017
  47   4   -529.49943557      0.06110727    13411.50      0.06311776    13852.75      1.7175
  48   4   -529.49855621      0.06198663    13604.49      0.06399711    14045.74      1.7415
--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255336     -0.00201048     -441.25      0.00000000        0.00      0.0000
   2   1   -529.56005905      0.00048383      106.19      0.00249431      547.44      0.0679
   3   1   -529.55325961      0.00728327     1598.49      0.00929375     2039.74      0.2529
   4   1   -529.50718492      0.05335796    11710.72      0.05536845    12151.97      1.5067
   5   1   -529.50645770      0.05408518    11870.32      0.05609566    12311.57      1.5264
   6   1   -529.50642676      0.05411612    11877.11      0.05612660    12318.36      1.5273
   7   1   -529.50391739      0.05662549    12427.86      0.05863597    12869.11      1.5956
   8   1   -529.50386421      0.05667867    12439.53      0.05868916    12880.78      1.5970
   9   1   -529.50008075      0.06046213    13269.90      0.06247262    13711.15      1.7000
  10   1   -529.49944299      0.06109989    13409.87      0.06311037    13851.12      1.7173
  11   1   -529.49941494      0.06112794    13416.03      0.06313842    13857.28      1.7181
  12   1   -529.49202939      0.06851349    15036.97      0.07052397    15478.22      1.9191
 
  13   2   -529.56252241     -0.00197953     -434.46      0.00003095        6.79      0.0008
  14   2   -529.55998753      0.00055535      121.89      0.00256584      563.14      0.0698
  15   2   -529.55308666      0.00745622     1636.45      0.00946670     2077.70      0.2576
  16   2   -529.51269561      0.04784727    10501.26      0.04985776    10942.51      1.3567
  17   2   -529.50714161      0.05340127    11720.22      0.05541175    12161.47      1.5078
  18   2   -529.50711717      0.05342571    11725.59      0.05543619    12166.84      1.5085
  19   2   -529.50642519      0.05411769    11877.46      0.05612817    12318.71      1.5273
  20   2   -529.50451612      0.05602676    12296.45      0.05803724    12737.70      1.5793
  21   2   -529.50390641      0.05663647    12430.27      0.05864695    12871.52      1.5959
  22   2   -529.50006135      0.06048153    13274.16      0.06249201    13715.41      1.7005
  23   2   -529.49943092      0.06111196    13412.52      0.06312244    13853.77      1.7176
  24   2   -529.49855162      0.06199126    13605.51      0.06400174    14046.76      1.7416
 
  25   3   -529.56252241     -0.00197953     -434.46      0.00003095        6.79      0.0008
  26   3   -529.55998753      0.00055535      121.88      0.00256583      563.13      0.0698
  27   3   -529.55308667      0.00745621     1636.45      0.00946669     2077.70      0.2576
  28   3   -529.51269561      0.04784727    10501.26      0.04985776    10942.51      1.3567
  29   3   -529.50714162      0.05340126    11720.22      0.05541174    12161.47      1.5078
  30   3   -529.50711717      0.05342571    11725.59      0.05543619    12166.84      1.5085
  31   3   -529.50642518      0.05411770    11877.46      0.05612818    12318.71      1.5273
  32   3   -529.50451612      0.05602675    12296.45      0.05803724    12737.70      1.5793
  33   3   -529.50390641      0.05663647    12430.27      0.05864695    12871.52      1.5959
  34   3   -529.50006136      0.06048152    13274.16      0.06249201    13715.41      1.7005
  35   3   -529.49943092      0.06111196    13412.53      0.06312245    13853.78      1.7176
  36   3   -529.49855162      0.06199126    13605.51      0.06400174    14046.76      1.7416
 
  37   4   -529.56255336     -0.00201048     -441.25      0.00000000        0.00      0.0000
  38   4   -529.56251181     -0.00196893     -432.13      0.00004156        9.12      0.0011
  39   4   -529.55650091      0.00404197      887.11      0.00605245     1328.36      0.1647
  40   4   -529.51269545      0.04784743    10501.30      0.04985792    10942.55      1.3567
  41   4   -529.50719109      0.05335179    11709.36      0.05536227    12150.61      1.5065
  42   4   -529.50710605      0.05343683    11728.03      0.05544732    12169.28      1.5088
  43   4   -529.50642270      0.05412018    11878.01      0.05613067    12319.26      1.5274
  44   4   -529.50447743      0.05606545    12304.94      0.05807594    12746.19      1.5803
  45   4   -529.50390673      0.05663615    12430.20      0.05864663    12871.45      1.5959
  46   4   -529.50001783      0.06052504    13283.71      0.06253553    13724.96      1.7017
  47   4   -529.49943560      0.06110727    13411.50      0.06311776    13852.75      1.7175
  48   4   -529.49855625      0.06198663    13604.49      0.06399711    14045.74      1.7415
--
 Eigenvalues of the spin-orbit matrix
 ....................................

   Nr  Sym         E             E-E0         E-E0           E-E(1)      E-E(1)      E-E(1)
                 (au)            (au)        (cm-1)           (au)       (cm-1)        (eV)
   1   1   -529.56255347     -0.00201048     -441.25      0.00000000        0.00      0.0000
   2   1   -529.56005916      0.00048383      106.19      0.00249431      547.44      0.0679
   3   1   -529.55325973      0.00728326     1598.49      0.00929375     2039.74      0.2529
   4   1   -529.50718502      0.05335796    11710.72      0.05536845    12151.97      1.5067
   5   1   -529.50645781      0.05408518    11870.32      0.05609566    12311.57      1.5264
   6   1   -529.50642687      0.05411612    11877.12      0.05612660    12318.37      1.5273
   7   1   -529.50391751      0.05662548    12427.86      0.05863596    12869.11      1.5956
   8   1   -529.50386429      0.05667869    12439.54      0.05868918    12880.79      1.5970
   9   1   -529.50008085      0.06046214    13269.91      0.06247262    13711.16      1.7000
  10   1   -529.49944311      0.06109987    13409.87      0.06311036    13851.12      1.7173
  11   1   -529.49941503      0.06112796    13416.04      0.06313844    13857.29      1.7181
  12   1   -529.49202949      0.06851350    15036.98      0.07052398    15478.23      1.9191
 
  13   2   -529.56252252     -0.00197953     -434.46      0.00003095        6.79      0.0008
  14   2   -529.55998764      0.00055535      121.89      0.00256584      563.14      0.0698
  15   2   -529.55308677      0.00745622     1636.45      0.00946670     2077.70      0.2576
  16   2   -529.51269572      0.04784727    10501.26      0.04985775    10942.51      1.3567
  17   2   -529.50714172      0.05340127    11720.22      0.05541175    12161.47      1.5078
  18   2   -529.50711727      0.05342571    11725.59      0.05543620    12166.84      1.5085
  19   2   -529.50642529      0.05411770    11877.46      0.05612818    12318.71      1.5273
  20   2   -529.50451623      0.05602676    12296.45      0.05803724    12737.70      1.5793
