R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
2.0	97365.26323923173	99174.69548930037	100197.17731130368	106384.6521699454	106387.32756568657	108038.02259486746	109373.89224103751	110439.342806105	110476.38134467808	111268.12948816858	111857.00625739554	112289.07279301771	96285.66972899085	99496.767924579	101037.7080808031	106363.13707196567	106508.68606232936	106989.63837701861	108758.16933505588	109243.1841251504	110208.89444461296	110737.58029657093	111329.49678946438	112290.83736902049	96285.66972899085	99496.76572983096	101037.70369130702	106363.13707196567	106508.68167283328	106989.63837701861	108758.16933505588	109243.1841251504	110208.89444461296	110737.58029657093	111329.49459471634	112290.83078480132	96273.71275116965	99174.69548930037	100156.58767324463	106346.11242490991	106384.85189184247	106986.25188348601	108761.29465379615	109384.42263380473	110442.03137033444	110677.50350610026	111268.15143562402	112218.78165324821
2.01	97302.88635463548	98991.42319952374	100020.80530390376	106336.51699408458	106340.7111542725	108014.15692360712	109198.38057417105	110266.71284114588	110302.93493407147	111111.30608605058	111684.45749803908	112135.33300942721	96227.46066763098	99314.59739744567	100857.32188240493	106313.62798492901	106458.92896896368	106957.09467889051	108600.2858704824	109067.5473577454	110037.111651724	110564.20192312862	111172.36173334911	112135.75001123064	96227.46066763098	99314.59520269763	100857.3152981608	106313.62798492901	106458.92238474451	106957.09467889051	108600.2858704824	109067.5473577454	110037.111651724	110564.20192312862	111172.35734387799	112135.74342698652	96214.82770793712	98991.42319952374	99976.94110433746	106295.56083337714	106336.73207921794	106953.29996254665	108603.16318286871	109208.88901945787	110269.3948211312	110503.978084639	111111.32803350603	112064.07618131809
2.02	97242.30916201067	98814.88439139746	99851.51793754137	106290.60290149471	106296.394836984	107991.71564267766	109029.85039530894	110101.13459602861	110136.63022795145	110961.17446539512	111519.01752194858	111988.43863958727	96171.3146677829	99139.20644162166	100683.7218395602	106266.15123295654	106411.1822632067	106924.62779686901	108451.52596625475	108898.88110460454	109872.42008411666	110397.85551679581	111021.91406925021	111987.387356099	96171.3146677829	99139.20205215053	100683.71525534101	106266.15123295654	106411.17567898754	106924.62779686901	108451.52596625475	108898.88110460454	109872.42008411666	110397.85551679581	111021.91187450217	111987.38077185488	96157.9771945168	98814.88439139746	99804.12458594455	106246.93842385043	106290.8355446124	106920.3568205745	108454.13332485656	109040.33250361925	110103.80999176978	110337.48463033716	110961.19641285058	111916.09541204618
2.03	97183.42631352619	98644.83764281169	99689.08256912374	106246.81112856386	106254.27765548605	107970.5604831022	108868.04711382811	109942.35567495303	109977.23019365431	110817.47564613295	111360.45807550244	111848.11753489051	96117.13735538068	98970.3470508029	100516.66214071287	106220.5839102827	106365.33401300818	106891.84706612714	108311.95546481413	108736.93077510477	109714.56295646977	110238.2952660414	110877.90359601573	111845.49261830436	96117.13735538068	98970.34485605487	100516.65555646874	106220.5839102827	106365.32742876405	106891.84706612714	108311.95546481413	108736.93077510477	109714.56295646977	110238.2952660414	110877.89920651965	111845.48603408519	96103.06683684274	98644.83764281169	99637.89669590615	106200.11790104321	106247.05913489289	106887.02081902737	108314.268727403	108878.50288518688	109945.02229170204	110177.77513681575	110817.49759361337	111774.57817061519
2.04	97126.13685084697	98481.03933695843	99533.2797240464	106205.03852223388	106214.26084619164	107950.5465915849	108712.72052867645	109790.1280715901	109824.50877238138	110679.96381670807	111208.56407356728	111714.11071529263	96064.8409405276	98807.78877659478	100355.8991689801	106176.800916344	106321.27448104088	106858.33109539036	108181.67093494962	108581.45055773995	109563.2966520003	110085.29072249573	110740.08011261853	111709.80901255048	96064.8409405276	98807.78438709871	100355.89258473598	106176.80311109204	106321.26789679675	106858.33109539036	108181.67093494962	108581.45055773995	109563.2966520003	110085.29072249573	110740.07572312244	111709.80242830637	96050.01323453929	98481.03933695843	99478.0160122122	106154.98294338414	106205.30628129528	106852.85300862142	108183.67693306226	108723.14996310865	109792.78810409499	110024.62135052805	110679.98576418847	111639.26986647691
2.05	97070.33762091493	98323.26341493917	99383.89870662215	106165.19509790996	106176.256619254	107931.54008862	108563.63799676122	109644.21255857803	109678.25087894936	110548.39974975862	111063.13140474998	111586.17017448955	96014.34202292288	98651.29897592952	100201.2024760172	106134.68373484605	106278.90270896976	106823.63435113068	108060.81064568799	108432.20122509835	109418.38852754062	109938.62021675636	110608.20658644481	111580.09072723144	96014.34202292288	98651.29458643345	100201.19589177308	106134.68373484605	106278.89831947368	106823.63435113068	108060.81064568799	108432.20122509835	109418.38633279258	109938.62021675636	110608.20219694873	111580.08414301227	95998.7285977347	98323.26341493917	99324.25647591428	106111.42381357096	106165.48260967879	106817.38810317116	108062.49182136501	108574.03670472084	109646.86820161178	109877.7994072986	110548.42389196213	111509.92468802544
2.06	97015.93205489109	98171.28820740135	99240.7310159867	106127.18867622428	106140.17279535519	107913.3939262135	108420.56468021669	109504.38527181622	109538.2567914612	110422.55738641106	110923.9625418765	111464.05668509452	95965.56159166197	98500.65817412776	100052.34819772358	106094.10726525029	106238.12651745198	106787.32007886222	107949.51067133292	108288.95452358334	109279.60374524997	109798.07963743014	110482.05256909998	111456.09853501036	95965.56159166197	98500.65378463168	100052.34161347945	106094.10726525029	106238.11993323281	106787.31788411418	107949.51067133292	108288.95452358334	109279.60374524997	109798.07963743014	110482.04817962885	111456.09195079119	95949.13172085125	98171.28820740135	99176.39422293678	106069.32857952848	106127.49594072546	106780.16959540843	107950.86482980134	108430.93485647673	109507.03433058091	109737.10519573427	110422.57933386652	111386.30340792387
2.07	96962.83016815569	98024.89643443863	99103.58131968917	106090.93366210302	106105.9281688177	107895.96983533862	108283.28549388454	109370.41795765812	109404.33776171009	110302.20847304376	110790.86654199207	111347.53760403975	95918.41844111728	98355.65567557717	99909.11905416794	106054.94421227017	106198.84714292549	106748.99761370814	107847.89172290193	108151.48658909432	109146.72941476798	109663.46926262	110361.39858600449	111337.5997927945	95918.41844111728	98355.65128608109	99909.11246994877	106054.94421227017	106198.84055868136	106748.99761370814	107847.89172290193	108151.48658909432	109146.72941476798	109663.46926262	110361.39419653337	111337.59540329842	95901.15017722856	98024.89643443863	99034.21636286941	106028.58530920636	106091.26287405967	106740.7782888067	107848.9166694137	108293.62274897385	109373.06262695168	109602.34118866106	110302.23261527222	111268.17338307948
2.08	96910.9397813908	97883.88178990982	98972.25648007658	106056.34665517055	106073.43933934074	107879.12076800138	108151.58315790832	109242.1021152145	109276.3182100524	110187.14450879245	110663.66563068	111236.38906717476	95872.84672894735	98216.08736885965	99771.33068671444	106017.05191740776	106160.98118501462	106708.38602816868	107755.96916360634	108019.58014169997	109019.54386666724	109534.59156512699	110246.03613624416	111224.38819439276	95872.84672894735	98216.08297936358	99771.32410247032	106017.05191740776	106160.9746007705	106708.38602816868	107755.96916360634	108019.58014169997	109019.54386666724	109534.59156512699	110246.02955200004	111224.38161014863	95854.71592977713	97883.88178990982	98897.51439484788	105989.06231784691	106056.70000930574	106698.89155567839	107756.67587192662	108161.88310230589	109244.7358107928	109473.30766420683	110187.16645624791	111155.3107493418
2.09	96860.20822066837	97748.04674666587	98846.57433321126	106023.35303404336	106042.6316855408	107862.73918162262	108025.27550835031	109119.27313855692	109154.03791993101	110077.1526032219	110542.21275994631	111130.40476833339	95828.7608600285	98081.74694783399	99638.71314155363	105980.26796940784	106124.43426962847	106665.40631138923	107673.6947090641	107893.03765427625	108897.8495738237	109411.25779679425	110135.75013468562	111116.24426522558	95828.7608600285	98081.74255836286	99638.70875205754	105980.26796940784	106124.42768538435	106665.40411664119	107673.6947090641	107893.03765427625	108897.8495738237	109411.25779679425	110135.74574518953	111116.23768098146	95809.7411886003	97748.04674666587	98766.08859690027	105950.6103626582	106023.730530407	106654.3930744522	107674.09854237929	108035.51619460068	109121.85416018224	109349.81806888794	110077.1767454254	111047.50920059458
