R	1A1	2A1	3A1	4A1	5A1	6A1	7A1	8A1	9A1	10A1	11A1	12A1	1B1	2B1	3B1	4B1	5B1	6B1	7B1	8B1	9B1	10B1	11B1	12B1	1B2	2B2	3B2	4B2	5B2	6B2	7B2	8B2	9B2	10B2	11B2	12B2	1A2	2A2	3A2	4A2	5A2	6A2	7A2	8A2	9A2	10A2	11A2	12A2
2.0	97254.52950939718	99063.90250131862	100086.24605432009	106273.93380334713	106276.58286211183	107927.27789131766	109263.09047408855	110328.42252286163	110365.56860398891	111157.3145527064	111746.30105928551	112177.96156681952	96174.92722018907	99385.93543118241	100926.82730297456	106252.42748433462	106397.96989047914	106878.86733651726	108647.33025741516	109132.410889901	110097.93904540093	110626.69073977516	111218.7564753857	112179.86002237795	96174.92722018907	99385.93104168633	100926.82291347848	106252.42748433462	106397.96330623502	106878.86733651726	108647.33025741516	109132.410889901	110097.93904540093	110626.69073977516	111218.75428063766	112179.85563288187	96162.98780032726	99063.90250131862	100045.64763724394	106235.40942152297	106274.13352524421	106875.46328500033	108650.47313411481	109273.62086683081	110331.1110870661	110566.60517031234	111157.33650018681	112107.87673321617
2.01	97192.15262480093	98880.62801679394	99909.87404689523	106225.79862748632	106229.96645069774	107903.4144147804	109087.57880722209	110155.7947526256	110192.1221933823	111000.49115058841	111573.75010518101	112024.22836749809	96116.71815882922	99203.76270930104	100746.44329932443	106202.91839729797	106348.2106023654	106846.31924889308	108489.44898756479	108956.77192774798	109926.16064200804	110453.31236630792	111061.61922454735	112024.77485931119	96116.71815882922	99203.760514553	100746.4367150803	106202.91839729797	106348.2040181213	106846.31924889308	108489.44898756479	108956.77192774798	109926.15844726	110453.31236630792	111061.61702979931	112024.7704698151	96104.10275709473	98880.62801679394	99866.0010683617	106184.85783001517	106226.01371261968	106842.5069745649	108492.34166318737	109098.08505776085	110158.4767326109	110393.08194359913	111000.51309806883	111953.1734560341
2.02	97131.57323742808	98704.0914034157	99740.58668053283	106179.88453489645	106185.6479386612	107880.97093912786	108919.04862833502	109990.21870225636	110025.81748723732	110850.35733520986	111408.30573959443	111877.33838712928	96060.5699642331	99028.369558729	100572.84545122772	106155.44384009848	106300.46389660845	106813.85017212354	108340.69347285815	108788.10567458217	109761.46907440071	110286.96596000006	110911.17156042349	111876.41659367563	96060.5699642331	99028.36736398096	100572.8388669836	106155.44384009848	106300.45731236432	106813.85017212354	108340.69127811011	108788.10567458217	109761.46907440071	110286.96596000006	110911.16936567545	111876.4100094315	96047.25224367442	98704.0914034157	99693.18674469189	106136.2354204635	106180.11498324116	106809.55944309666	108343.31399992327	108929.53073667029	109992.89409799755	110226.58848927233	110850.37928266532	111805.19268673722
2.03	97072.69038894359	98534.0424600819	99578.1535068882	106136.09056721756	106143.53075718821	107859.81358477942	108757.24095735811	109831.43978118077	109866.4152582171	110706.6585159477	111249.74409840026	111737.0216719286	96006.39045705789	98859.51236263332	100405.7857523804	106109.8765173997	106254.61345166186	106781.06505188558	108201.12297139259	108626.1531503593	109603.6141415268	110127.40790396873	110767.15889246593	111734.52185588099	96006.39045705789	98859.5079731622	100405.77916813627	106109.8765173997	106254.60686741775	106781.06505188558	108201.12297139259	108626.1531503593	109603.6141415268	110127.40790396873	110767.15669771789	111734.51527163686	95992.34188600036	98534.0424600819	99526.95885467844	106089.41709240431	106136.33857354659	106776.21685730541	108203.45379196579	108767.69892348988	109834.10859267783	110066.88119052391	110706.68046342811	111663.67764007923
2.05	96959.59950160925	98212.46823220936	99272.97403385774	106054.47453656366	106065.50752620811	107820.7909955741	108452.82964556813	109533.30105430186	109567.43594351214	110437.58042482533	110952.41523289974	111475.08528526785	95903.59512460008	98540.4620930119	100090.32828243278	106023.97853671107	106168.17995287542	106712.84136314892	107949.98254178748	108321.4214055799	109307.44190732075	109827.7328546837	110497.459688122	111469.12435430415	95903.59512460008	98540.45770351581	100090.32169818865	106023.97853671107	106168.1733686313	106712.84136314892	107949.98254178748	108321.4214055799	109307.44190732075	109827.7328546837	110497.45749337398	111469.11777006002	95888.00145214426	98212.46823220936	99213.32302418265	106000.72519968012	106054.75985358443	106706.57097298591	107951.68566491996	108463.23054827578	109535.95669733561	109766.90765572985	110437.60456702883	111399.02854698554
2.06	96905.19393556047	98060.49082992351	99129.80853797033	106016.46592012994	106029.42370228434	107802.64483316761	108309.75852374668	109393.47376754005	109427.44185602397	110311.73586672972	110813.24417527823	111352.9761853689	95854.81249859114	98389.82129121013	99941.47619886225	105983.40206714028	106127.4015666096	106676.52050663634	107838.68915165158	108178.17250934179	109168.65931977813	109687.19447010552	110371.30567080213	111345.13435683111	95854.81249859114	98389.816901739	99941.46961464308	105983.40206714028	106127.39498239043	106676.52050663634	107838.68915165158	108178.17250934179	109168.65931977813	109687.19447010552	110371.30128130605	111345.12777258699	95838.40457526082	98060.49082992351	99065.4629659532	105958.63216038566	106016.7731846311	106669.34588097905	107840.06086807938	108320.12870003167	109396.12282630474	109626.21344416552	110311.76000893323	111275.407266884
2.07	96852.08985410197	97914.09686221275	98992.66103642083	105980.21090600868	105995.17688102377	107785.21854754469	108172.47714269145	109259.51084287804	109293.52282627288	110191.38914811047	110680.14817539381	111236.46149378526	95807.66934807139	98244.81659793646	99798.24925007959	105944.23901416015	106088.11999733506	106638.19584675916	107737.07239796863	108040.7045748278	109035.78498929614	109552.58409529537	110250.6494929586	111226.63780933834	95807.66934807139	98244.81220844037	99798.24266583548	105944.23901416015	106088.11341309093	106638.19365201112	107737.07239796863	108040.7045748278	109035.78498929614	109552.58409529537	110250.64510346252	111226.63122511917	95790.42303166309	97914.09686221275	98923.28730063386	105917.88889006355	105980.54011794037	106629.9457954101	107738.11929193586	108182.8143977558	109262.15331742355	109491.44943711726	110191.41109559088	111157.2772420396
2.08	96800.19727258904	97773.08221770888	98861.3383915563	105945.6238990762	105962.68805154681	107768.36948020745	108040.77480671523	109131.19500043441	109165.50107986714	110076.32298911113	110552.9450693337	111125.31734641636	95762.09763590146	98105.24829121894	99660.4608826261	105906.34891402084	106050.25184467615	106597.57548222755	107645.15422816912	107908.79812745843	108908.60163594346	109423.7085925504	110135.28704319827	111113.42840570958	95762.09763590146	98105.24390172286	99660.45429838197	105906.34891402084	106050.24526043203	106597.57548222755	107645.15422816912	107908.79812745843	108908.60163594346	109423.7085925504	110135.28265370219	111113.42182146545	95743.98658943866	97773.08221770888	98786.58533258738	105878.36370395607	105945.9772532114	106588.05247803767	107645.88288394487	108051.0747511128	109133.82869598776	109362.41810738613	110076.34493656657	111044.41680304997
2.09	96749.46571186661	97637.24497969195	98735.65843943902	105912.62808320098	105931.88039774686	107751.98569908064	107914.46715715723	109008.36602375189	109043.2229844938	109966.33108354056	110431.4921986	111019.33743707108	95718.00957223457	97970.90787019327	99527.84553218838	105869.5671607939	106013.70273454196	106554.591375952	107562.88416312296	107782.25344528665	108786.90953784794	109300.37482421765	110024.99884686674	111005.28667126551	95718.00957223457	97970.9034806972	99527.83894794426	105869.5671607939	106013.69615029784	106554.58918120398	107562.88416312296	107782.25344528665	108786.90953784794	109300.37482421765	110024.9944573956	111005.28008702138	95699.01184826183	97637.24497969195	98655.15953463977	105839.9139435154	105913.00557956462	106543.54521781931	107563.3099438936	107924.70784338264	109010.94924015019	109238.93070681527	109966.35522574406	110936.61744902583
2.11	96651.00280859857	97380.34114629713	98500.5023471416	105851.10934441509	105875.01013161913	107677.12729228061	107720.03677717265	108778.1437211334	108815.31833396027	109760.7777293167	110205.03388585281	110822.02316045607	95634.0473577712	97717.17544519769	99277.51935345776	105798.52102829711	105944.01953953071	106462.21011469011	107426.04173130167	107544.44829419961	108559.19363549622	109069.53140840257	109818.83974268258	110803.39415387977	95634.0473577712	97717.1710557016	99277.51276921363	105798.52102829711	105944.01295528658	106462.21011469011	107426.04173130167	107544.44829419961	108559.19363549622	109069.53140840257	109818.8353531865	110803.38756963564	95613.21043641218	97380.34114629713	98407.36828790045	105765.48790175508	105851.54609892594	106447.20682898327	107425.92321500725	107687.29335712253	108780.71815853954	109007.78661074312	109760.8018715202	110735.42066622018
2.12	96603.15514450656	97258.90802827085	98390.68163176854	105822.44815247765	105848.80925028952	107565.74172280185	107703.90978136704	108670.41679374472	108709.45913568238	109664.83658955172	110099.74532161649	110730.29593361139	95594.04591171307	97597.42130807544	99159.41786031295	105763.75405217498	105910.74718560193	106413.71061095389	107370.0054687808	107432.8081341477	108452.79452962443	108961.59817484774	109722.59792268548	110709.29001677796	95594.04591171307	97597.41691857936	99159.41347081687	105763.75405217498	105910.74060138274	106413.70841620586	107370.0054687808	107432.8081341477	108452.79452962443	108961.59817484774	109722.5935331894	110709.28343253385	95572.25866520082	97258.90802827085	98290.63192693933	105729.07925537077	105822.91563343613	106396.16141954048	107369.64553037653	107575.86828222893	108672.98464690674	108899.71071869037	109664.86073175521	110641.65452004223
