R	1s5	1s4	1s3	1s2	2p10	2p9	2p8	2p7	2p6	2p5	2p4	2p3	2p2	2p1
2.0	137516577083.5199	163637452494.4617	183371618842.03958	178905532789.40997	71081328129.74913	62727533457.82027	74112032295.70203	141166133371.26068	92873160445.5703	115466331360.35925	136150113788.7332	133725847925.2225	163348719337.88486	116945592401.60724
2.01	133951505991.75752	158958155890.74063	177461722610.1802	173015299389.77255	69441178438.5318	60001767864.47934	71067388456.47789	135505572433.91223	88462322862.36427	109760403912.30977	130801029428.18085	128245463022.02734	158250943770.7698	111887960782.16231
2.02	130515574211.24744	154447256877.97607	171776516946.9221	167351609726.82907	67866756031.664375	57381354339.25117	68130728939.555534	130077860811.07762	84287193771.9713	104289419623.88771	125675769218.69655	122992440134.58597	153374393108.70273	107055525136.61072
2.03	127203742095.4682	150098233267.9324	166308059701.41394	161906497583.1236	66353969501.7886	54860001052.7458	65292927498.01574	124874575020.89493	80346487988.71127	99045580747.16394	120766030004.86462	117958634955.19257	148710571657.94293	102439332503.51657
2.04	124011099951.64575	145904827610.51913	161048408732.67386	156672213351.6145	64898823707.97164	52431364601.45528	62544496872.04514	119887700711.6002	76639599024.91783	94021450546.45047	116063893713.40552	113136365258.91377	144251055932.24112	98030863123.62894
2.05	120932998011.60645	141860878727.54825	155990127298.43378	151641392493.13904	63497443845.59619	50089204723.52717	59875906489.830605	115109488273.95839	73166772361.28214	89209953291.71852	111561682928.32149	108518237631.26857	139987759380.01688	93821958246.64873
2.06	117964945351.37845	137960490173.49084	151125850866.111	146806838943.54446	62145931041.24534	47827466825.05762	57277741291.376144	110532356566.06863	69928354567.44821	84604518658.2338	107252105316.84572	104097248539.41023	135912812053.52563	89804747924.83089
2.07	115102537692.03256	134198054310.85666	146448575898.91357	142161645439.04294	60840242018.58101	45640385109.99818	54741495961.99881	106149109521.58662	66924316760.85864	80198937330.21053	103128181415.37196	99866567737.29378	132018584679.84926	85971578819.7484
2.08	112341746197.63481	130568083839.5687	141951443276.13232	137699650799.25146	59575804029.366	43522822970.455444	52260022569.880615	101952527005.36801	64152709505.682236	75987433207.2102	99183124298.61993	95819624905.44653	128298025595.5646	82315086388.94872
2.09	109678267669.65512	127065476531.81483	137627882669.7417	133412961013.11053	58347418574.98198	41470778390.57622	49829277839.12151	97936086832.46832	61610818033.56088	71964735584.21863	95410243309.92245	91950225166.07451	124744131269.36357	78828483711.53807
2.1	107108405396.57637	123684696948.82545	133471468167.79788	129296618253.53714	57148948543.84659	39480383438.93825	47447355652.46578	94093074274.1334	59291898736.91228	68126151374.48856	91802655254.28886	88251653794.80865	121350042573.95496	75504767254.0148
2.11	104628347149.80597	120421076073.74828	129476062651.04314	125344124397.80545	55973053463.40172	37550049687.16045	45116046606.147644	90417159685.9387	57181049257.852135	64467276300.40732	88354150815.93575	84717744800.359	118109911200.31374	72337077892.37895
2.12	102234598383.89049	117270017086.25769	125635745609.53642	121549703343.28493	54811309846.30366	35678931349.04497	42839509495.11488	86902181880.92366	55258457552.95845	60984789098.05489	85058328144.0402	81342259982.40996	115017768506.38338	69319350710.47852
2.13	99923433511.33249	114226971304.72449	121944668739.73355	117907578980.76265	53655968081.12286	33835352663.152355	40625455422.91127	83542268486.74449	53574866722.2399	57675946118.48857	81909699934.13872	78120015287.56952	112068752933.69638	66445448598.923645
2.14	97691863394.60449	111291770254.1353	118397344733.88078	114413106355.6074	52496895910.957596	32118043806.733852	38480281430.10708	80331595258.78545	51953109117.53006	54539447735.40925	78901816204.39346	75045480094.11513	109256582966.6534	63710245258.91198
2.15	95536566772.41756	108452091577.02019	114988430697.01625	111059378208.41347	51326030859.60471	30415866287.5793	36110041420.446266	77264698967.96214	50755389978.95741	51779984747.23698	76029454387.38513	72125253602.10268	106576397048.97806	61258865383.799385
2.16	93454395666.9885	105708200009.32704	111712655930.70525	107841893989.66618	50134805026.92861	28808571642.301735	34424544473.12879	74336068239.91519	49205891475.44743	48778141860.45857	73287079047.63432	69314498781.50377	104022731942.81392	58630447825.45354
2.17	91442433143.896	103056317016.15135	108564821936.32753	104755551469.35896	48929981278.18253	26899423826.859024	32249854571.06046	70656591717.35956	49190036060.90906	46155283803.10289	70704918479.74136	66689084798.01755	101658234346.70424	56275384538.24157
2.18	89497848911.78577	100492928797.43828	105540235627.13736	101795489092.3155	47668094402.87358	25762943801.577568	30714594171.33322	68873242701.79268	46885369308.66366	43706791983.1444	68172095495.78086	64109316501.58338	99274314591.00653	54037070817.87734
2.19	87617899318.42676	98014738158.06645	102634131719.86087	98956773099.15471	46387940586.967064	24341216913.983677	28995119275.311417	66329132239.74553	45847547256.39845	41435410049.524864	65790077041.38803	61692174503.724976	97069911430.43869	51910669171.40226
2.2	85799927353.99858	95618568240.32635	99841889320.98824	96234758537.43831	45078015755.12103	22986451610.574917	27365491724.172028	63903480109.71761	44874432044.67465	39343737244.97558	63519007978.02535	59392749567.35784	94972414387.85364	49891558715.17531
2.21	84041420412.25978	93301410656.03854	97159104152.90724	93624824522.42763	43742724184.948204	21697317325.09305	25823458838.250656	61591809826.603065	43955554479.06786	37433073202.3742	61354724696.3285	57206724055.307106	92977274777.23233	47975551774.322784
2.22	82339981409.3088	91060449552.05739	94581588540.74323	91122470502.41304	42388251125.626816	20471843991.21454	24365785998.010277	59389668975.19332	43082207077.51835	35701901689.394295	59293087651.343834	55130011371.12541	91080136450.88452	46158316261.17865
2.23	80693271021.75317	88892989410.45844	92105154799.75322	88723316264.19447	41021937045.32846	19307545821.654198	22988559889.854404	57292773610.90192	42247617356.4611	34144735401.5714	57330294240.4635	53158597120.81331	89276811732.83975	44435953310.00321
2.24	79099036569.27216	86796575389.24092	89725831861.09088	86423077858.7999	39651531557.6733	18201710108.83829	21687506193.86383	55296960119.97801	41446832299.944626	32751321754.45887	55462589994.290405	51288524670.22557	87563185142.55562	42804780651.21485
2.25	77555169769.19836	84768800771.93909	87439648652.62059	84217591680.1538	38284567665.86956	17151459111.401415	20458292832.901936	53398257432.478035	40676646172.963585	31506715066.99358	53686533313.68385	49516068429.89004	85935381879.80226	41261116015.233376
2.26	76059576784.75609	82807427320.38554	85242995104.5776	82102790383.11897	36928121104.33155	16153915092.20955	19296631041.165035	51592790740.49445	39934965134.79231	30393298212.276848	51998754804.80089	47837618333.33319	84389575270.97966	39801638141.42711
2.27	74610279299.52805	80910264927.43257	83132116747.56436	80074726961.06868	35588328982.448166	15206210626.03746	18198549753.098938	49876853707.842865	39220532882.31056	29392082237.29302	50396222009.56673	46249535433.4921	82922131181.91048	38423025769.16534
2.29	71843206288.8708	77300679301.87997	79154183951.49643	76263507060.68117	32979309517.084732	13449675812.81639	16178182993.093493	46699369031.648636	37869227054.27458	27655423423.13937	47435028479.041214	43331301699.8329	80208588245.13606	35896484299.71029
2.3	70521878457.47714	75584453464.48042	77280342591.54794	74473082313.98975	31718072455.474663	12635842945.127502	15249168360.11405	45231275128.88106	37229840873.13953	26889872622.39405	46071145177.42823	41994710504.89479	78955798738.57208	34742706895.68214
2.31	69239755953.99123	73924833477.17403	75479063576.63249	72754738571.45049	30489711067.695324	11861947730.833128	14370348097.353498	43839955321.398865	36612490542.40035	26178400622.250355	44781773658.65278	40737122016.76605	77768110772.55453	33660192216.96649
2.32	67995279226.852875	72320134643.59032	73747314451.96362	71105298973.16225	29296367330.976265	11125844762.138773	13538733070.572683	42524134044.024864	36013522669.77123	25509310809.038033	43564675682.355415	39553034489.70448	76642419690.28651	32642730941.199966
2.33	66786917611.66702	70768648195.26758	72082062762.75485	69521345990.97505	28139581538.767265	10425656801.52504	12752027276.927887	41290261289.56289	35425572722.01118	24877115881.584766	42417974009.45181	38441292707.56893	75576078109.24883	31689528857.244816
2.35	64472879125.23457	67818790274.94323	68940004875.3956	66537890378.917694	25939366056.363354	9125826404.34187	11304246019.422443	38904055157.00566	34364848405.76344	23703771916.142715	40327865570.441185	36424665976.998825	73609867168.02692	29966371691.64235
2.36	63362581368.37368	66417073472.41553	67457133767.67218	65132515374.51075	24895791964.34307	8522656413.960951	10638881796.997307	37856245252.51391	33819381727.967793	23155619347.942062	39380367393.68761	35514784698.63971	72704510506.66847	29191723523.248318
2.37	62283055822.58119	65062167203.23103	66030002092.50967	63781098838.774	23890580850.61846	7948892999.063489	10009907049.115488	36855679092.32571	33289842664.52693	22629993599.415596	38495419643.574844	34667631943.74986	71847721279.22855	28471803966.95986
2.38	61234937859.39882	63752940317.19792	64656877021.42212	62481234059.62869	22924815734.364532	7378863425.043109	9452050620.33526	35908806660.4714	32771725851.50536	22125161832.20714	37671409825.73852	33881503761.136272	71037477850.27924	27804519188.63038
2.4	59222758733.56827	61264785894.836716	62061311070.3028	60026123781.72464	21106112130.87584	6390396145.45149	8330215089.401101	34165360918.84443	31754683346.515774	21173331577.65727	36195301575.5935	32481707512.758408	69546592391.88861	26618756591.619137
2.41	58256733693.15097	60083210974.89218	60834682518.68711	58866305533.632416	20251946218.25467	5921087439.765552	7832776741.938592	33365923621.618595	31254154781.124752	20724600251.960625	35537619575.68853	31863100878.24122	68861642353.44965	26095946695.140606
2.43	56399065432.85323	57837243910.61769	58512182032.85744	56671842091.64086	18650015100.218353	5050545575.628413	6924729377.0746155	31844376662.052395	30303248700.67156	19880277790.39742	34367019260.28545	30774174717.675625	67602402859.56413	25179567297.127136
2.44	55505819341.52354	56769987779.93275	57412627835.64231	55632792616.83955	17900468929.815765	4647362983.131634	6511622194.051679	31231242888.526505	29786445954.570988	19482087401.932182	33847338087.208466	30297660318.438538	67024262668.2994	24781665714.506622
2.46	53786156722.03229	54740504398.55567	55327669758.74992	53662393998.550446	16499666678.032059	3900378239.4850473	5761883485.323166	30008007797.357956	28846124591.536007	18733359513.659	32922077922.091335	29464038094.658726	65961916228.19551	24096113997.773064
2.47	52958166201.68963	53774233873.718956	54338872415.33576	52725220612.63993	15846292691.511236	3554791686.6705556	5422869316.336022	29450637524.095356	28390967348.632465	18377190306.46543	32510241483.249065	29099782336.98106	65474316516.716675	23802398947.50802
2.49	51362213355.42089	51937937209.93721	52460265765.53485	50948875128.38071	14628737437.649818	2915428197.0927215	4813143446.07076	28435799565.340603	27520017030.984512	17719219501.812958	31773811888.035572	28463587454.833313	64578297894.54413	23311574244.013054
2.5	50592835883.488304	51064012197.57574	51567496207.46684	50104336060.79015	14062486401.669588	2620083461.40611	4540337905.383471	27975034684.72614	27105667984.80547	17411713997.15249	31444092438.343803	28185222411.83986	64166846529.064415	23108688480.4749
2.52	49108174182.16075	49399025244.3163	49867876675.4139	48497928460.9382	13010248148.573467	2074540455.36526	4054523973.0898404	27139183844.81562	26323063227.571236	16838002154.492128	30850862166.384068	27695480727.299686	63410080224.61563	22779089364.907085
2.54	47691540583.32227	47835914381.04392	48274104310.9669	46988727932.02994	12058514160.445168	1584891600.4775114	3643120741.2603846	26408121217.749146	25604746541.416508	16316564080.839355	30333635839.69387	27280857313.924545	62732783526.79622	22539814127.483376
2.55	47007389571.31509	47090531821.10336	47513896408.473206	46270589342.92195	11617893452.934519	1359128327.7441983	3463007280.060382	26078425834.66349	25269977811.102848	16074472991.367712	30099222157.447887	27096844981.063576	62420488666.774445	22449851258.289696
2.57	45684661033.87906	45664820107.46112	46060916656.29602	44893637599.33065	10802981000.553894	944867985.1354862	3151501820.7054305	25485243697.01033	24649161815.495785	15625669462.564888	29673258320.76865	26769166422.715153	61844514514.95599	22323137906.25956
2.59	44419534725.056015	44320840309.60683	44691257248.761314	43595000243.37874	10070474346.458256	576001657.1373188	2899071499.769775	24972469785.530617	24091377587.8475	15221197561.788158	29295837853.594833	26485949448.77367	61325386884.768845	22257651291.25479
