12A1_3A1	3B1_12A1	3B2_12A1
Intensities	3.4833895340774466	3.492492976580838	3.4924923785580546
2e-08	2277749088399172.0	2119418395176260.5	2119419222025179.0
2.0099999999999998e-08	2282012318033293.0	2124437777549278.8	2124439017822656.5
2.0200000000000002e-08	2286230484448366.5	2129468322382695.2	2129469562651372.2
2.03e-08	2290396145994730.0	2134505068568901.0	2134506308842279.0
2.04e-08	2294501861036813.0	2139545122150778.5	2139546362424156.5
2.0499999999999998e-08	2298540601377613.0	2144585175737354.2	2144586416010732.2
2.0600000000000002e-08	2302506579065298.5	2149622335348016.5	2149623575621394.5
2.07e-08	2306392765902873.5	2154653707030354.5	2154654947299031.5
2.08e-08	2310193373943196.0	2159671849134693.2	2159673089408071.0
2.09e-08	2313903855517229.5	2164688750960961.0	2164689577809879.5
2.1000000000000003e-08	2317518422696634.0	2169689115827658.2	2169690356101033.2
2.11e-08	2321031287538984.0	2174673357159246.8	2174674597432624.8
2.12e-08	2324438729228852.5	2179640648092713.2	2179641888366091.2
2.13e-08	2327737853799723.0	2184589334944318.0	2184590575217696.0
2.1400000000000003e-08	2330915431668898.0	2189521898251412.2	2189523138524790.0
2.15e-08	2334859911303512.0	2195299913910085.8	2195301154183461.0
2.15e-08	2334859497879052.5	2195299500485626.5	2195300740759001.8
2.16e-08	2336949770285446.5	2199314675646352.5	2199315502495271.0
2.17e-08	2339793301459527.5	2204173649460820.8	2204174889734198.8
2.1800000000000003e-08	2342523141001337.5	2209007817831238.8	2209009058104614.0
2.19e-08	2345141356023774.5	2213816767323745.5	2213818007597123.2
2.2000000000000002e-08	2347650840498055.0	2218599257674370.0	2218600497947745.2
2.21e-08	2350056142097928.0	2223356942576243.5	2223357769425162.0
2.2200000000000004e-08	2352362221898106.0	2228088168331531.2	2228089408604909.2
2.23e-08	2354575281270168.5	2232794588638067.8	2232795828911445.8
2.2400000000000002e-08	2356703588703307.5	2237477030354176.5	2237478270622853.5
2.25e-08	2358754172394521.0	2242136320309969.2	2242137147158887.8
2.2599999999999997e-08	2360736127677218.0	2246773698788228.5	2246774939061603.5
2.27e-08	2362658963313957.5	2251390406067030.5	2251391646335707.5
2.29e-08	2366366137492311.5	2260570902317357.5	2260572142590735.5
2.2999999999999998e-08	2368169906978812.0	2265137171849741.5	2265138412123119.5
2.3100000000000002e-08	2369963754287694.0	2269701374259831.5	2269702614533206.5
2.32e-08	2371736516958556.5	2274244078612143.5	2274243251763225.0
2.33e-08	2373506799087364.0	2278776447362375.5	2278775620513457.0
2.3500000000000002e-08	2377074235916027.0	2287817206263009.0	2287816792838550.0
2.36e-08	2378885033613632.0	2292329317233544.5	2292328490384626.0
2.37e-08	2380721463604205.5	2296834813412731.5	2296834399988272.0
2.3799999999999998e-08	2382589727254635.0	2301334108234433.5	2301333281385515.0
2.4e-08	2386434571674488.5	2310314093786571.0	2310313266942353.5
2.41e-08	2388416940381642.5	2314793957672789.0	2314793544248332.5
2.4300000000000003e-08	2392502397648730.0	2323728879996482.0	2323728053152264.5
2.44e-08	2394614581532657.0	2328179390769600.0	2328178977345141.0
2.46e-08	2398967110788860.0	2337038656478368.0	2337038243053909.0
2.4700000000000003e-08	2401235982415910.0	2341430874445045.0	2341430461020586.0
2.49e-08	2405827470816803.5	2350176448516844.0	2350176035092384.5
2.5e-08	2408176133308072.0	2354513267652996.0	2354512854228536.5
2.52e-08	2412965238440641.0	2363067839775060.5	2363102153976971.0
2.5400000000000002e-08	2417858113037258.5	2371528564624800.5	2371563292251170.0
2.55e-08	2420334110158545.0	2375703321499861.5	2375703321499861.5
2.57e-08	2425338609265136.5	2383939143617721.0	2383939557037479.0
2.59e-08	2430387758180415.0	2392006288687841.5	2392006288687841.5
2.61e-08	2435460472271064.0	2399891527141631.5	2399891527141631.5
2.63e-08	2440534426630392.5	2407584109952560.0	2407584109952560.0
2.65e-08	2445593497727990.0	2415075768636133.0	2415075768636133.0
2.67e-08	2450620321736574.5	2422359888401012.5	2422360301820773.5
2.69e-08	2455567354890342.5	2429449285400728.5	2429449698825187.5
2.71e-08	2460486688628847.5	2436306338047100.0	2436306751466858.5
2.7400000000000004e-08	2467727812282872.5	2446185934503263.5	2446186347927722.5
2.76e-08	2472450356138618.0	2452501401535840.0	2452501401535840.0
2.7900000000000002e-08	2479357019673087.5	2461569446427277.0	2461569859851736.5
2.81e-08	2483834403017250.5	2467347875510407.5	2467348288934866.5
2.84e-08	2490348313625723.0	2475623386343444.0	2475623799767903.5
2.8700000000000002e-08	2496608795242829.0	2483437929271120.0	2483438342695579.0
2.89e-08	2500636786552391.5	2488397365149261.5	2488397365149261.5
2.92e-08	2506455317775161.0	2495470638609170.5	2495471052033630.0
2.96e-08	2513802691435290.0	2504249286609502.0	2504249286609502.0
2.99e-08	2518988270313989.5	2510354734181322.5	2510355147605782.0
3.02e-08	2523903056383442.0	2516071563067041.0	2516071563067041.0
