R	12B1_3A1	12B1_3B1	12B2_3A1	12B2_3B2	12A2_3B1	12A2_3B2
Intensities	18.506079095964306	16.023851751880233	18.506034049782397	16.02382550323974	18.597494691625123	18.597519900823297
2.0	12093.660057799993	11253.129288299999	12093.653473500002	11253.127093500007	11181.073572499998	11181.077961999996
2.01	12114.94470739999	11278.428128899992	12114.9381231	11278.428128800006	11206.754298899992	11206.760883099996
2.02	12135.869418500006	11303.665516499997	12135.862834300002	11303.665516499997	11232.3735725	11232.380156700005
2.03	12156.410049099999	11328.8304776	12156.403464899995	11328.8304776	11257.916029900007	11257.92261410001
2.04	12176.529288499994	11353.909843599991	12176.522704200004	11353.909843500005	11283.370697499995	11283.377281699999
2.05	12196.192020599992	11378.888251299999	12196.185436299987	11378.888251199998	11308.722212099994	11308.728796299998
2.06	12215.367519000007	11403.750337200006	12215.360934800003	11403.750337300007	11333.955210200002	11333.961794500006
2.07	12234.01847309999	11428.480738599988	12234.014083599992	11428.482933299994	11359.05432889999	11359.060913099995
2.08	12252.13171429999	11453.057507699996	12252.125130100001	11453.05750770001	11383.980062699993	11383.986646899997
2.09	12269.66993209999	11477.531123699999	12269.663347799986	11477.528928899992	11408.796059	11408.800448499998
2.1	12286.602399700001	11501.820380999998	12286.595815399996	11501.820380899997	11433.436475800001	11433.443060000005
2.11	12302.933506899994	11525.962590199997	12302.926922700004	11525.962590300012	11457.925455000004	11457.932039300009
2.12	12318.647890399996	11549.957751599999	12318.641306199992	11549.957751599999	11482.258607199998	11482.265191400002
2.13	12333.767497699999	11573.834396599996	12333.760913400009	11573.83439650001	11506.468853600003	11506.475437800007
2.14	12348.18698089999	11597.570577799997	12348.180396700001	11597.570577800012	11530.534246800002	11530.540831000006
2.15	12362.066556499994	11621.183853299997	12362.051193299994	11621.175074300001	11554.4723448	11554.478929000004
2.16	12375.320629299997	11644.656664900001	12375.314045099993	11644.654470199996	11578.274368400002	11578.2787579
2.17	12390.012261100012	11670.047684900012	12390.0034821	11670.04549009999	11604.018742500004	11604.025326699993
2.18	12399.9873831	11691.194065499993	12399.978604100004	11691.1918707	11625.437271599993	11625.443855799997
2.19	12411.413232299994	11714.249875299996	12411.404453299998	11714.24768059999	11648.800345900003	11648.806930199993
2.2	12422.250889499992	11737.15424769999	12422.244305300002	11737.154247800005	11672.00759329999	11672.014177599995
2.21	12432.515717900009	11759.9071826	12432.506939000014	11759.902793200003	11695.059013699996	11695.063403199994
2.22	12442.229665099992	11782.495511599991	12442.223080800002	11782.495511500005	11717.943633399991	11717.950217599995
2.23	12451.421262599993	11804.923624000003	12451.412483599997	11804.921429299997	11740.661452300003	11740.668036599993
2.24	12460.1168474	11827.178351499999	12460.110263199997	11827.178351499999	11763.203691599992	11763.210275799996
2.25	12468.351535599999	11849.261888699999	12468.342756599988	11849.2574992	11785.570351099988	11785.574740600001
2.26	12476.156053400002	11871.163262100003	12476.147274400006	11871.161067299996	11807.750457200003	11807.757041399993
2.27	12483.572101099999	11892.880276700002	12483.563322099988	11892.878081899995	11829.741815200003	11829.748399400007
2.29	12497.390223900002	11935.754645699999	12497.381444900006	11935.752450900007	11873.149507499998	11873.156091700002
2.3	12503.869114899993	11956.898831599989	12503.860335899997	11956.896636799996	11894.554868199994	11894.561452399998
2.31	12510.108778599999	11977.845490199994	12510.10219440001	11977.845490200008	11915.758312199992	11915.764896399996
2.32	12516.137746699998	11998.579258499987	12516.142136200011	11998.579258500002	11936.757644799989	11936.753255299991
2.33	12522.0152773	12019.11988910001	12522.019666799999	12019.11988910001	11957.54189220001	11957.537502700012
2.35	12533.406010599996	12059.5668687	12533.410400099994	12059.569063500006	11998.467326400001	11998.46513170001
2.36	12538.969692499988	12079.47102289999	12538.971887299995	12079.468828199999	12018.601928999997	12018.597539499999
2.37	12544.482895199995	12099.1535077	12544.485089900001	12099.1535077	12038.510472700014	12038.508278000008
2.38	12549.980734700002	12118.618712700001	12549.982929400008	12118.616517900009	12058.1995418	12058.195152300003
2.4	12560.97421890001	12156.873140700001	12560.976413600001	12156.870945899995	12096.881945300003	12096.877555800005
2.41	12566.500590099997	12175.657974200003	12566.502784900003	12175.657974300004	12115.873085	12115.870890299993
2.43	12577.6345381	12212.536296300008	12577.63673279999	12212.534101500001	12153.148656200006	12153.144266700008
2.44	12583.303567799987	12230.618811099994	12583.3079573	12230.6210058	12171.424308600006	12171.4221138
2.46	12594.834764800005	12266.074937600002	12594.836959499997	12266.074937500001	12207.246957800002	12207.24476300001
2.47	12600.927380599998	12283.4397703	12600.92957529999	12283.4397703	12224.787370199992	12224.785175500001
2.49	12612.87338460001	12317.438585200012	12612.875579400003	12317.438585199998	12259.121981300006	12259.1197865
2.5	12618.948442499997	12334.068178000001	12618.950637200003	12334.0681779	12275.911790500002	12275.909595699995
2.52	12631.285111400008	12366.3945962	12631.2873062	12366.578954900004	12308.545473299993	12308.727637200005
2.54	12643.850034000003	12397.900179299992	12643.850034000003	12398.084537999996	12340.338568099993	12340.522926799997
2.55	12650.192850699998	12413.261208700002	12650.195045500004	12413.263403500008	12355.826892800003	12355.826892800003
2.57	12663.016753399992	12443.239248400001	12663.018948199999	12443.2436379	12386.066107300008	12386.068302
2.59	12675.950393299994	12472.194536299998	12675.9525881	12472.196731100004	12415.265012000003	12415.265012000003
2.61	12688.945486199998	12500.120488300003	12688.945486199998	12500.120488300003	12443.414828100009	12443.414828100009
2.63	12701.931800000006	12527.008325200004	12701.933994699997	12527.010519899995	12470.515555399994	12470.515555399994
2.65	12714.874219000005	12552.864631400007	12714.874219000005	12552.864631400007	12496.564999300012	12496.564999300012
2.67	12727.7090953	12577.682822500006	12727.7090953	12577.685017200012	12521.563159600002	12521.565354300008
2.69	12740.124775100005	12601.471677599999	12740.124775100005	12601.473872400005	12545.518815399992	12545.521010199998
2.71	12752.590934100008	12624.22461250001	12752.590934100008	12624.2268072	12568.427577299997	12568.429771999989
2.74	12770.800744200009	12656.4412935	12770.800744200009	12656.443488200006	12600.8571487	12600.859343400007
2.76	12782.547026299988	12676.6439331	12782.547026299988	12676.6439331	12621.189278400008	12621.189278400008
2.79	12799.486078300004	12705.057118700002	12799.486078300004	12705.059313500009	12649.782433200002	12649.784628000009
2.81	12810.275451099995	12722.753358200003	12810.275451099995	12722.755552899995	12667.590604700003	12667.592799399994
2.84	12825.6298963	12747.459617300003	12825.6298963	12747.461811999994	12692.452690799997	12692.454885499988
2.87	12839.911110400004	12769.990882800004	12839.911110400004	12769.99307750001	12715.133199100004	12715.13539380001
2.89	12848.80422240001	12783.828758200005	12848.80422240001	12783.828758200005	12729.067643200004	12729.067643200004
