R	5A1_3A1	6A1_3A1	3B1_5A1	3B1_6A1	7B1_3A1	7B1_3B1	3B2_5A1	3B2_6A1	7B2_3A1	7B2_3B2	7A2_3B1	7A2_3B2
Intensities	2.64666718993098	3.972930947213994e-11	0.7024705144201951	2.3496779020532195	2.4733784053252346	2.602645250039504	0.7024850849797778	2.3496500074796174	2.473371770081101	2.6026288490283944	2.2730521410083284	2.273043327761333
2.0	9176.7149298	6190.150254399996	8336.184160300007	5349.619484900002	6792.461065700001	5951.930296200007	8336.188549800005	5349.6238744	6792.461065700001	5951.9346857000055	8346.714552999998	8346.718942499996
2.01	9177.575270300003	6319.905850399999	8341.058691800004	5483.3892719	6936.289374999993	6099.772796499994	8341.065276000008	5483.395856100004	6936.289374999993	6099.779380699998	8351.567137099992	8351.573721299996
2.02	9178.332457700002	6444.876899399998	8346.128555699994	5612.67299739999	7073.109859300006	6240.905957299998	8346.135139899998	5612.679581599994	7073.109859300006	6240.912541500002	8356.610663999993	8356.617248199997
2.03	9178.964544699993	6565.195086299995	8351.384973199994	5737.615514799996	7202.7644969999965	6375.184925499998	8351.391557399998	5737.622099	7202.7644969999965	6375.191509700002	8361.840744500005	8361.847328700009
2.04	9179.440804600003	6680.981122099998	8356.8213597	5858.361677199995	7325.051371299996	6502.431926399993	8356.827943900003	5858.368261399999	7325.051371299996	6502.438510599997	8367.250794099993	8367.257378299997
2.05	9179.739290099998	6792.357912599997	8362.435520800005	5975.0541433000035	7439.73564449999	6622.431875199996	8362.44210500001	5975.0607275000075	7439.73564449999	6622.4384594	8372.834228799999	8372.840813000003
2.06	9179.833664200007	6899.441779400004	8368.216482400006	6087.8245976000035	7546.589062900006	6734.971881100006	8368.223066700011	6087.831181900008	7546.586868099999	6734.976270600004	8378.586658700006	8378.59324300001
2.07	9179.7041742	7002.346849099995	8374.166439699999	6196.809114599993	7645.416293999995	6839.878559499994	8374.173023900003	6196.815698799997	7645.416293999995	6839.885143699998	8384.50369479999	8384.510278999995
2.08	9179.326677799996	7101.1828592999955	8380.252471200001	6302.108652700001	7736.129548099998	6937.055341500003	8380.259055400005	6302.115236900005	7736.129548099998	6937.061925700007	8390.552415600003	8390.558999800007
2.09	9178.701175199996	7196.057352399992	8386.562366800004	6403.918544	7818.831978199989	7026.693169799997	8386.566756300002	6403.922933499998	7818.829783499998	7026.695364600004	8396.803052999996	8396.807442499994
2.1	9177.764018400005	7287.0800656000065	8392.981999700001	6502.298046900003	7893.817680200009	7109.0356615000055	8392.988583900005	6502.304631100007	7893.817680200009	7109.0422457000095	8403.185375300003	8403.191959500007
2.11	9176.523986899992	7374.3519574999955	8399.553070199996	6597.381040799999	7961.622172499992	7184.651255799996	8399.5596545	6597.387625100004	7961.622172499992	7184.657840100001	8409.719135000007	8409.725719300011
2.12	9174.959132699994	7457.971791499993	8406.268993899997	6689.281652699996	8022.9455787999905	7254.2554399999935	8406.275578100001	6689.2882369	8022.9455787999905	7254.2620241999975	8416.395553299997	8416.402137500001
