R	3A2_4B1	3A2_4B2	4A2_3A2
Intensities	3.8834036599349133	3.8833962473171932	4.000272665376028
2.0	6206.549398700008	6206.549398700008	6189.5247515999945
2.01	6336.686880599998	6336.686880599998	6318.619728999998
2.02	6462.026647000006	6462.026647000006	6442.813837900001
2.03	6582.6872143999935	6582.6872143999935	6562.221205199996
2.04	6698.784904200002	6698.787098899993	6676.96693119999
2.05	6810.427259000004	6810.427259000004	6787.167337699997
2.06	6917.713042299991	6917.713042299991	6892.9343566000025
2.07	7020.727849400006	7020.727849400006	6994.368946300005
2.08	7119.5375225000025	7119.5375225000025	7091.5479230000055
2.09	7214.1793725000025	7214.1793725000025	7184.521765800004
2.1	7304.657788700002	7304.657788700002	7273.308032600005
2.11	7390.926681500001	7390.926681500001	7357.88916549999
2.12	7472.896066400004	7472.896066400004	7438.216880099993
2.13	7550.4825427999895	7550.4825427999895	7514.284592099997
2.14	7623.517115399998	7623.517115399998	7586.006706400003
2.15	7691.892241699999	7691.868099500003	7653.374444100002
2.16	7755.4345365000045	7755.4345365000045	7716.361468100004
2.17	7814.376643200012	7814.376643200012	7775.6657079
2.18	7867.935037200004	7867.935037200004	7829.294333800004
2.19	7917.018343300006	7917.018343300006	7879.4025865
2.2	7961.580472300004	7961.578277499997	7925.457142900006
2.21	8001.9221039999975	8001.919909299992	7967.655530100004
2.22	8038.398787500002	8038.398787500002	8006.232585699996
2.23	8071.403382399993	8071.4011876	8041.460458600006
2.24	8101.322163999997	8101.319969200005	8073.628855200004
2.25	8128.530433799999	8128.528239100007	8103.0384555000055
2.26	8153.370572400003	8153.368377699997	8129.978966399998
2.27	8176.154233699999	8176.154233699999	8154.7269256
2.29	8216.607797600009	8216.607797600009	8198.654772900001
2.3	8234.7276231	8234.7276231	8218.280194299994
2.31	8251.68862249999	8251.68862249999	8236.6041311
2.32	8267.6444281	8267.6444281	8253.791189399999
2.33	8282.731114099995	8282.731114099995	8269.986222299995
2.35	8310.727297899997	8310.727297899997	8299.883056399995
2.36	8323.81018059999	8323.81018059999	8313.777995199998
2.37	8336.3904664	8336.3904664	8327.093521100003
2.38	8348.551555600003	8348.551555600003	8339.919618400003
2.4	8371.782945300001	8371.782945300001	8364.301055100004
2.41	8382.938840599993	8382.938840599993	8375.955157899996
2.43	8404.552702200002	8404.552702200002	8398.438139000005
2.44	8415.065537000002	8415.065537000002	8409.3306649
2.46	8435.639088800002	8435.639088800002	8430.573614399997
2.47	8445.737116600008	8445.737116600008	8440.9657381
2.49	8465.656633999999	8465.656633999999	8461.409799899993
2.5	8475.504460600001	8475.504460600001	8471.490269599992
2.52	8495.044286999997	8495.044286999997	8491.447097800003
2.54	8514.441454799991	8514.441454799991	8511.202009200002
2.55	8524.102728000013	8524.102728000013	8521.023498900002
2.57	8543.401132100014	8543.401132100014	8540.61380430001
2.59	8562.684173100002	8562.684173100002	8560.1514359
2.61	8581.98257729999	8581.98257729999	8579.673704200002
2.63	8601.318292199998	8601.318292199998	8599.206946300008
2.65	8620.700096799992	8620.700096799992	8618.764330599995
2.67	8640.136770099998	8640.136770099998	8638.352441399998
2.69	8659.623922499988	8659.623922499988	8657.977862799991
2.71	8679.1593593	8679.1593593	8677.636205400006
2.74	8708.547012200012	8708.547012200012	8707.18407480001
2.76	8728.161459900002	8728.161459900002	8726.892896599995
2.79	8757.599591999999	8757.599591999999	8756.451739700002
2.81	8777.211844899997	8777.211844899997	8776.13641929999
2.84	8806.573160999993	8806.573160999993	8805.589914600001
2.87	8835.818155400004	8835.818155400004	8834.916114699998
2.89	8855.224102199994	8855.224102199994	8854.370345899995
2.92	8884.155247899995	8884.155247899995	8883.362944499997
2.96	8922.453570800004	8922.453570800004	8921.731499300004
2.99	8950.697760999989	8950.697760999989	8950.019584399997
3.02	8978.566649600005	8978.566649600005	8977.925783600003
3.06	9015.093812200008	9015.093812200008	9014.49464650001
3.09	9041.933364699988	9041.933364699988	9041.360535899992
3.13	9076.93517869999	9076.93517869999	9076.39088159999
3.17	9110.966914899996	9110.966914899996	9110.4445653
3.22	9152.072318299994	9152.072318299994	9151.574110899994
3.26	9183.742507400006	9183.742507400006	9183.255273699993
3.31	9221.746734300003	9221.746734300003	9221.272669099999
3.36	9257.94468510001	9257.94468510001	9257.47720410001
3.42	9298.940351199999	9298.940351199999	9298.477259699997
3.48	9337.254037300008	9337.254037300008	9336.793140599999
3.54	9372.907691	9372.907691	9372.4445996
3.61	9411.148950499992	9411.148950499992	9410.681469499992
3.68	9445.843500000003	9445.843500000003	9445.369434799999
3.76	9481.339131900007	9481.339131900007	9480.856287700008
3.85	9516.229013899996	9516.229013899996	9515.735195999994
3.95	9549.167766300001	9549.167766300001	9548.66736420001
4.05	9576.4967473	9576.4967473	9575.989760900004
4.17	9602.682265399999	9602.682265399999	9602.175279000003
4.31	9625.386915800002	9625.386915800002	9624.8930979
4.46	9641.961639900008	9641.961639900008	9641.500743199998
4.64	9653.486252699993	9653.486252699993	9653.089003599991
4.85	9658.911665599997	9658.911665599997	9658.613180099986
5.11	9658.068883	9658.068883	9657.9064718
5.43	9651.350764599993	9651.350764599993	9651.331011899994
5.85	9640.067573799999	9640.067573799999	9640.150974200005
6.44	9627.467535300006	9627.467535300006	9627.570688399996
7.37	9617.650435100004	9617.650435100004	9617.716277500003
9.28	9614.215657199995	9614.215657199995	9614.2529679
