3A2_11B1	3A2_11B2	11A2_3A2
Intensities	0.00012759509764	0.0001275966790569	3.1360000000000005e-13
2e-08	2104639722756592.8	2104639309332133.5	2093084104863707.2
2.0099999999999998e-08	2108880214068960.2	2108879387224742.8	2097383302406978.2
2.0200000000000002e-08	2113093832814984.0	2113093419390524.8	2101656454223419.0
2.03e-08	2117278925296823.8	2117278098447905.0	2105900252936159.2
2.04e-08	2121433837811946.8	2121433010963030.8	2110113871677484.5
2.0499999999999998e-08	2125556503252157.0	2125555676403238.5	2114295243339193.2
2.0600000000000002e-08	2129645681329973.5	2129644854485756.0	2118442714223451.0
2.07e-08	2133700131786121.2	2133699304941903.8	2122555044061581.0
2.08e-08	2137719854611201.2	2137718614337823.2	2126630579141645.2
2.09e-08	2141701955848095.8	2141701128999177.2	2130668492633526.8
2.1000000000000003e-08	2145643541511494.8	2145642301238117.0	2134667544254448.5
2.11e-08	2149545025039952.8	2149544198191036.8	2138626080311271.5
2.12e-08	2153405992999618.8	2153405166150700.2	2142543687374837.8
2.13e-08	2157225618546264.8	2157224378272887.0	2146419125181172.0
2.1400000000000003e-08	2161002661411219.2	2161001421137841.2	2150251980305814.8
2.15e-08	2164738361858458.0	2164735054467484.5	2154042666159119.2
2.15e-08	2164738361858458.0	2164735054467484.5	2154042666159119.2
2.16e-08	2168428172233029.0	2168426931959651.0	2157789115642294.2
2.17e-08	2172063410616591.5	2172062170343216.2	2161464042741037.0
2.1800000000000003e-08	2175676737522620.5	2175675497249242.5	2165145171201968.0
2.19e-08	2179233838749203.2	2179233011900284.5	2168755190721722.0
2.2000000000000002e-08	2182746703591556.0	2182745463318178.0	2172320146998928.2
2.21e-08	2186214918629923.5	2186213678356545.5	2175839626632630.0
2.2200000000000004e-08	2189637657010677.8	2189636416742001.0	2179313216184262.0
2.23e-08	2193016159007205.0	2193014918738525.2	2182741329078286.0
2.2400000000000002e-08	2196349597779985.8	2196348770931067.2	2186123965319406.2
2.25e-08	2199639627012751.8	2199638386744075.0	2189461951751837.5
2.2599999999999997e-08	2202885419870690.0	2202884179597312.0	2192755288380277.8
2.27e-08	2206088630037534.5	2206087389764156.5	2196004802053646.0
2.29e-08	2212365648623608.0	2212363994925770.8	2202372360525777.0
2.2999999999999998e-08	2215441524160429.5	2215440283887054.2	2205492059017671.0
