R	3A2_5B1	3A2_6B1	3A2_5B2	3A2_6B2	5A2_3A2	6A2_3A2
Intensities	0.011363608984640651	0.000320790226598469	0.011363706520743953	0.00032069645963059664	3.0754299297095834e-12	0.007408216438982526
2.12	7620.115258662598	8123.078684014559	7620.108674443414	8123.076489266532	7532.283706496804	8105.529492601156
2.13	7700.032555705024	8186.203977093974	7700.025971460913	8186.201782345932	7617.163324892797	8165.680904430366
2.15	7849.913975258474	8300.60951745695	7849.903001518265	8300.605127960866	7777.689264011788	8272.751602678763
2.16	7920.310462834139	8353.632393312786	7920.3038785900135	8353.630198564759	7853.544085648973	8321.437659848758
2.17	7985.544907109259	8405.733475739908	7985.540517613175	8405.73128099188	7923.543324128623	8368.664210719216
2.19	8116.075248579713	8503.722313805367	8116.070859083629	8503.720119057325	8064.579916137838	8456.57696853757
2.2	8176.819241905934	8552.041848326975	8176.814852409851	8552.037458830891	8129.746323248648	8499.635696171652
2.22	8292.289234245429	8647.058999915214	8292.287039497387	8647.056805167173	8252.86061697689	8584.469224933637
2.23	8347.16008650465	8693.765395924114	8347.155697008566	8693.76100642803	8310.979693741945	8626.450332152861
2.25	8451.423704229208	8785.279732408439	8451.419314733124	8785.275342912355	8420.765293171295	8709.57634826134
2.26	8500.902064818234	8829.927456376681	8500.899870070207	8829.923066880598	8472.589837544874	8750.607130352277
2.28	8594.777948298433	8916.650661679974	8594.775753550392	8916.646272183905	8570.493080486616	8831.226746193963
2.3	8682.192498685748	8999.592319102725	8682.190303937707	8999.587929606641	8661.219503047992	8909.425556867645
2.31	8723.605166611436	9039.563038713211	8723.600777115353	9039.558649217128	8704.069729792813	8947.46051022796
2.33	8802.100268021153	9116.43841736608	8802.102462769195	9116.43841736608	8785.07123149425	9021.201791173342
2.35	8875.196293566434	9189.251320613694	8875.196293566434	9189.251320613694	8860.228123803288	9091.672900107544
2.36	8909.87109034571	9224.178513218067	8909.87109034571	9224.178513218067	8895.776429604273	9125.67390976219
2.38	8975.711284581135	9290.631041682878	8975.711284581135	9290.631041682878	8963.056377431814	9191.173918350672
2.4	9037.188323204144	9306.65268968232	9037.188323204144	9306.65268968232	9025.584699518135	9253.408144449015
2.42	9094.732376456508	9320.47520189124	9094.732376456508	9320.47520189124	9083.760839707305	9312.523636051192
2.44	9148.725330197936	9334.679599934927	9148.725330197936	9334.679599934927	9137.942541605604	9368.695972850808
