R	3A1_2A1	2B1_3A1	3B1_2A1	3B1_2B1	2B2_3A1	3B2_2A1	3B2_2B2
Intensities	1.2410714415423663e-07	3.348672286413459e-10	1.5827708853751118e-10	1.3014193414872832e-07	3.348672286413459e-10	1.5827708853751118e-10	1.3014193414872832e-07
2.12	1131.7736034976988	793.2603236931027	1900.5098320421093	1561.9965522375132	793.2647131891863	1900.5054425460257	1561.9965522375132
2.13	1143.8907978260831	803.6348894492112	1903.8677938751352	1563.6118854982633	803.6392789452948	1903.8612096310098	1563.6096907502215
2.15	1169.7251565322658	825.779879617694	1910.6517546805408	1566.7064777659689	825.7864638618048	1910.64297571333	1566.704283042869
2.16	1183.361115282445	837.4690984024346	1914.066779937668	1568.1747630576574	837.47568264656	1914.0601956935425	1568.1747630576574
2.17	1197.4996709347906	849.586292730819	1917.5037526253	1569.5903744213283	849.5906822269026	1917.497168381189	1569.588179673301
2.19	1227.205562116389	875.0212075929448	1924.4062297500786	1572.2218752266344	875.0255970890285	1924.3996455059532	1572.2196804785926
2.2	1242.7377817019005	888.299422711847	1927.8695394142123	1573.4311804241588	888.3038122079306	1927.8629551950435	1573.4289857010735
2.22	1275.04225249312	915.8478782907187	1934.8071324826742	1575.6127582802728	915.8522677618457	1934.8005482385488	1575.6105635072745
2.23	1291.7486613075016	930.0478868383216	1938.2770263659768	1576.5762518967967	930.054471082447	1938.2704421218514	1576.5762518967967
2.25	1314.6288914958568	959.1085225948627	1933.7448752542114	1578.2245063532173	959.1151068389881	1933.7382910350425	1578.2245063781738
2.26	1299.2920043362828	973.8857494281401	1904.3089378820732	1578.9026829739305	973.8923336722655	1904.3023536379478	1578.9026829739305
2.28	1275.2266111539066	1003.7013779119588	1851.4704206870083	1579.9451874450606	1003.7079621560842	1851.4638364678394	1579.9451874700171
2.3	1258.9306198738923	1033.5674855508405	1805.9162665014155	1580.5531321783637	1033.574069794966	1805.9096822572901	1580.5531321783637
2.31	1253.3186535992136	1048.4083600274025	1785.5973052808695	1580.6870117090584	1048.4127495234861	1785.5907210367586	1580.6848169610312
2.33	1246.4512924430892	1077.6950546824519	1749.3598491189914	1580.603611358354	1077.6994441785355	1749.3620438670332	1580.6101956024795
2.35	1244.5045524527086	1106.2048091048637	1718.3502786240424	1580.0505352761975	1106.2091986009473	1718.3546681201115	1580.0593142683501
2.36	1245.070796998174	1120.0975531762379	1704.578245595112	1579.605001773176	1120.0997479242797	1704.580440343154	1579.6093912692595
2.38	1248.7404128284834	1146.994169110898	1680.1068243495392	1578.3605806319538	1146.9985585820395	1680.1112138456083	1578.3693595991645
2.4	1255.1490720182774	1172.562963503733	1659.2545397542272	1576.6684312396828	1172.5673529998166	1659.256734502269	1576.6750154838082
2.42	1263.6361559561628	1196.6920043044374	1641.4902632074518	1574.5461115557264	1196.6963938005065	1641.4946527035354	1574.554890547879
2.44	1273.6617570731614	1219.3659283515735	1626.3443190027028	1572.048490281115	1219.3703178476571	1626.3465137507446	1572.0550745252403
2.46	1284.7342521574028	1240.4530507876625	1613.4918846544315	1569.2106832846912	1240.4552455357043	1613.4940794024733	1569.2150727807748
2.48	1296.3971339656418	1259.7777919440414	1602.6981223468465	1566.078780325246	1259.782181440125	1602.70251184293	1566.0875593174133
2.5	1308.5428599936276	1277.8383592518076	1593.4165402418876	1562.7120395000675	1277.8427487478912	1593.4187349899294	1562.7186237441929
2.52	1320.8422182596987	1294.4240570486727	1585.7261491941608	1559.3079879831348	1294.470146732594	1585.5439852564596	1559.1719137293549
2.54	1333.1108500781702	1309.6929070688784	1579.0541204390465	1555.6361774297548	1309.741191475885	1578.8675670052617	1555.4979084029765
2.56	1345.201707455024	1323.6931937194167	1573.4048434975703	1551.896329761963	1323.6975831905584	1573.4026487495285	1551.8985244850628
2.59	1362.7838200640836	1342.5153379736294	1566.5330928204203	1546.264610729966	1342.519727469713	1566.5308980723785	1546.2668054780079
2.61	1374.025310622732	1353.7458547920687	1562.841529559635	1542.5620737289719	1353.7502442881523	1562.841529559635	1542.5664632250555
2.63	1384.8256571495003	1364.0348254494456	1559.742547770904	1538.9517160708492	1364.0392149205727	1559.740353022862	1538.9539107939345
2.66	1400.127428365362	1377.866116650519	1556.024647533617	1533.763335818774	1377.870506121646	1556.0224527855753	1533.7655305418593
2.68	1409.869907184664	1386.3970955242548	1553.9659754929453	1530.493163832536	1386.4014849953965	1553.9637807449035	1530.495358555636
2.71	1423.2995597936533	1397.5639646744676	1551.6549076521187	1525.919312532933	1397.5683541705512	1551.6549076521187	1525.9237020290166
2.73	1431.6264272742555	1404.2776936174196	1550.4609656659304	1523.1122320090944	1404.2820831135032	1550.4609656659304	1523.116621505178
2.76	1443.2037139837485	1413.36833279251	1549.100222953377	1519.2648417621385	1413.3727222885936	1549.0980282053351	1519.2670365101803
2.79	1453.7319120029424	1421.442804423059	1548.152092573131	1515.8629849932477	1421.4471939191426	1548.152092573131	1515.8673744893313
2.82	1463.2636951849709	1428.6393775607576	1547.5309793515917	1512.9066617273784	1428.6415722838428	1547.5287846035499	1512.9066617024218
