R	3A2_2B1	3A2_2B2
Intensities	6.459630182124728e-16	6.459630182124728e-16
2.12	693.2106188638863	693.2150083599699
2.13	696.2591214726272	696.2635109687108
2.15	702.4175795853662	702.424163829477
2.16	705.5209508701664	705.5275351142918
2.17	708.6331011222064	708.63749061829
2.19	714.8552068532736	714.8595963493572
2.2	717.9541886420047	717.9585781380883
2.22	724.0928940473241	724.0972835184511
2.23	727.1194491756469	727.1260334197723
2.25	733.0474589436781	733.0540431878035
2.26	735.9379398182209	735.9445240623463
2.28	741.5235691413545	741.5301533854799
2.3	746.8107129804266	746.817297224552
2.31	749.3258922393725	749.3302817354561
2.33	754.0621547692572	754.0665442653408
2.35	758.3770259746962	758.3814154707798
2.36	760.3566871607327	760.3588819087745
2.38	763.9626553477283	763.9670448188699
2.4	767.0901688111044	767.094558307188
2.42	769.7172801203269	769.721669616396
2.44	771.8505735195358	771.8549630156194
2.46	773.507606968109	773.5098017161508
2.48	774.71032794645	774.7147174425336
2.5	775.4960471213708	775.5004366174544
2.52	775.8603750217153	775.9064647056366
2.54	775.9306069091253	775.9788913161319
2.56	775.7133270277263	775.717716498868
2.59	774.9407763161144	774.945165812198
2.61	774.1901730848913	774.1945625809749
2.63	773.3034955999174	773.3078850710444
2.66	771.7759521609987	771.7803416321258
2.68	770.674189517682	770.6785789888236
2.71	768.9600926699495	768.9644821660331
2.73	767.8034613505588	767.8078508466424
2.76	766.082780258701	766.0871697547846
2.79	764.4191625660023	764.423552062086
2.82	762.8389452240081	762.8411399470933
2.85	761.3574914690107	761.3596862170525
2.88	759.9857750162628	759.9879697643046
2.91	758.7303801597882	758.73257490783
2.94	757.5891120766901	757.5913068247319
2.97	756.4961284005985	756.4983231486403
3.01	755.2999916663539	755.3021864143957
3.04	754.5186619875458	754.5208567355876
3.08	753.6341792505846	753.6363739986264
3.12	752.9077181979228	752.9099129459646
3.16	752.3239156930795	752.3239156930795
3.2	751.8542400115111	751.8564347345964
3.24	751.5118595666136	751.5140543146554
3.28	751.3296956289123	751.3318903769541
3.33	751.154115935351	751.154115935351
3.37	751.0992472592625	751.0992472592625
3.42	751.1233894877223	751.1233894877223
3.47	751.2331267899572	751.235321537999
3.53	751.4021222394222	751.4065117355058
3.58	751.6369601301121	751.6369601301121
3.64	752.0012880055001	752.0078722496255
3.7	752.4775479311938	752.4775479311938
3.77	752.9560026298714	752.9560026298714
3.83	753.4476257918432	753.4476257918432
3.9	754.0380125408119	754.0380125408119
3.98	754.7293576248048	754.7315523728466
4.06	755.4272869778943	755.4272869778943
4.14	756.1142425408616	756.1142425408616
4.23	756.8692352931103	756.8692352931103
4.32	757.5913067997753	757.5913067997753
4.42	758.3484943000512	758.3506890231511
4.53	759.1868873780622	759.1122659945686
4.64	759.8826219581388	759.884816706166
4.76	760.5586038308102	760.5586038308102
4.89	761.2192224422324	761.2214171902742
5.03	761.8359461677028	761.8359461677028
5.19	762.4351119088242	762.4351119088242
5.35	762.9355140629632	762.937708811005
5.54	763.4951743643032	763.497369112345
5.74	763.9012024275289	763.9012024275289
5.96	764.2457775955118	764.2457775955118
6.21	764.5332893643354	764.5354841123772
6.5	764.7725167261524	764.7747114741942
6.82	764.9459016716719	764.9480964197137
7.19	765.0688074621721	765.0688074621721
7.62	765.145623568751	765.145623568751
8.14	765.1917132526723	765.1917132526723
8.76	765.2136607081193	765.2158554561611
9.55	765.2202449522592	765.222439700301
10.56	765.2246344483428	765.2246344483428
11.96	765.2246344483283	765.2268291963701
14.03	765.2246344483283	765.2246344483283
17.58	765.2246344483283	765.2246344483283
25.83	765.222439700301	765.2246344483428
