12B1_2A1	12B1_2B1	12B2_2A1	12B2_2B2	12A2_2B1	12A2_2B2
Intensities	0.27329572899576354	0.21010813567029163	0.27329519576354483	0.2101075031125225	0.2362540028005089	0.2362538764250116
2e-08	2470686275367298.0	2410017524387453.5	2470685035098621.0	2410016697543236.0	2396444396736585.5	2396444810161045.0
2.0099999999999998e-08	2475995468060584.5	2415119178166745.5	2475994227787207.0	2415118351317827.0	2401617986315370.0	2401618399739829.0
2.0200000000000002e-08	2481303007056037.0	2420210496343957.5	2481301766782659.0	2420210082914799.5	2406781240292076.5	2406782067136297.0
2.03e-08	2486605998387135.5	2425289825216553.0	2486604758118458.5	2425288998372335.5	2411931678115249.0	2411932091539708.0
2.04e-08	2491901961507129.5	2430352203705124.0	2491900721233754.5	2430351790280667.5	2417064752129934.5	2417065578978853.0
2.0499999999999998e-08	2497187175600586.5	2435395151253515.5	2497185935331909.5	2435394737833757.5	2422177981779984.0	2422178808628902.5
2.0600000000000002e-08	2502458333271835.0	2440414947055697.0	2502457093003158.0	2440414533635938.5	2427267646259361.0	2427268473108279.5
2.07e-08	2507712540559056.0	2445407456867072.0	2507711713710137.5	2445407456867072.0	2432329611323472.5	2432330438172391.5
2.08e-08	2512949797452850.5	2450372267258484.0	2512948557179472.5	2450371853834022.0	2437360156152191.0	2437360983001107.0
2.09e-08	2518165969718027.5	2455306897692575.5	2518164729444649.5	2455306484263415.0	2442359280750211.5	2442360107594429.0
2.1000000000000003e-08	2523358163378673.5	2460205560217520.0	2523356923109997.0	2460205146797762.0	2447324091141620.5	2447324917990539.0
2.11e-08	2528527618712868.0	2465070735394174.5	2528526378444188.0	2465070321974413.5	2452254587331121.5	2452255414180040.5
2.12e-08	2533675162574224.0	2469902009788676.0	2533673922305547.5	2469901596368918.0	2457149529040634.0	2457150355889552.5
2.13e-08	2538804929193241.0	2474703517650323.0	2538803688919863.0	2474703104225861.0	2462013877368372.0	2462014704217288.0
2.1400000000000003e-08	2543912370910259.5	2479470297885594.5	2543911130636881.5	2479469884456437.0	2466842671225517.5	2466843498069738.0
2.15e-08	2549000381696497.5	2484204831036556.5	2548997487725285.0	2484203177338719.5	2471638391144736.5	2471639631418112.0
2.15e-08	2549000795120957.0	2484204831036556.5	2548997901149744.5	2484203177338719.5	2471638391144736.5	2471639631418112.0
2.16e-08	2554065654146887.0	2488902982858611.0	2554064413878207.5	2488902569438850.0	2476398556588659.5	2476399383437578.0
2.17e-08	2559495153263788.5	2493951718349430.0	2559493499565951.0	2493950891500511.5	2481513853361005.5	2481514680209924.0
2.1800000000000003e-08	2564127570653237.0	2498189315695286.0	2564125916955400.0	2498188488846365.0	2485802715302195.5	2485803542151111.5
2.19e-08	2569121320737987.5	2502773362465311.5	2569119667040150.0	2502772535616393.0	2490444641449504.5	2490445468298423.0
2.2000000000000002e-08	2574088198246994.5	2507315653393164.5	2574086957973616.5	2507315239968705.0	2495043984905722.5	2495044811754641.0
2.21e-08	2579026962916277.0	2511814121365947.5	2579025309223141.0	2511813707941488.5	2499598678562650.5	2499599918831327.5
2.2200000000000004e-08	2583935547628242.5	2516266699256661.5	2583934307354864.5	2516266699256661.5	2504107068708349.0	2504108308981726.5
2.23e-08	2588813125529270.5	2520672973650251.0	2588811471831433.5	2520672146801332.5	2508567915088248.5	2508568741937167.0
2.2400000000000002e-08	2593657629497068.5	2525029223717185.5	2593656389223690.5	2525028810292726.5	2512978323717031.5	2512979150565950.5
2.25e-08	2596317600356979.0	2529335036047099.0	2596315946659144.5	2529334209193482.0	2517337467759877.0	2517338294604095.0
2.2599999999999997e-08	2594897488467778.5	2533587930083843.5	2594895834769941.0	2533587516659384.0	2521642866660635.5	2521644106934013.5
2.27e-08	2593829200511318.5	2537787078983196.5	2593827546813481.0	2537786665558737.0	2525893693575081.0	2525894933848459.0
2.29e-08	2592657969949127.5	2546018766861161.0	2592656316251293.0	2546017940007544.0	2534225843521423.0	2534226670365640.5
2.2999999999999998e-08	2592510790959169.0	2550047998444101.0	2592509137261332.0	2550047585019642.0	2538304272572699.5	2538305512846077.5
2.3100000000000002e-08	2592628203411571.0	2554018523796140.5	2592626963138193.0	2554018110371681.5	2542323168548861.0	2542323995397779.5
2.32e-08	2592987882404334.5	2557927035535705.5	2592988709253253.0	2557928275809083.5	2546281704610384.5	2546282118034844.0
2.33e-08	2593575358095495.5	2561777254468832.0	2593576184944414.0	2561778494742210.0	2550177813620877.0	2550178227045336.5
2.3500000000000002e-08	2595352668440111.5	2569292064903319.0	2595353495284329.0	2569293305171995.5	2557782750512259.0	2557783163936718.0
2.36e-08	2596506535184413.5	2572956656399981.0	2596506948608875.5	2572957896673361.5	2561490751544235.0	2561491578393153.5
2.37e-08	2597816676256781.5	2576558820855014.0	2597817089681241.0	2576559647703932.5	2565135498685660.5	2565135912110119.5
2.3799999999999998e-08	2599270275503675.0	2580096491146115.0	2599270688928134.5	2580097731419493.0	2568715338238695.0	2568716165087613.5
2.4e-08	2602547075167852.0	2586983310325345.0	2602547488592311.0	2586984550594022.0	2575682775121660.5	2575683601965878.0
2.41e-08	2604344229863003.5	2590330805510935.0	2604344643287465.5	2590332045784316.0	2579069132178213.0	2579069959027132.0
2.4300000000000003e-08	2608197342767345.0	2596841822152891.0	2608197756191804.5	2596843062426268.5	2585654978590873.5	2585655805439792.0
2.44e-08	2610237590856483.5	2600004516760340.5	2610238417705402.0	2600005757033718.0	2588854054517829.0	2588854467942288.0
2.46e-08	2614494619137815.5	2606148412773963.0	2614495032562275.0	2606149239622882.0	2595066992359732.0	2595067405784191.0
2.4700000000000003e-08	2616719667809798.5	2609130441033762.0	2616720081234258.0	2609131681307139.5	2598082094552761.0	2598082921401680.0
2.49e-08	2621225990837901.0	2614921686261024.5	2621226404262360.5	2614922926534402.5	2603936593670577.5	2603937420519496.0
2.5e-08	2623519667918403.5	2617732143506570.5	2623520081342862.5	2617732970355489.0	2606777230878141.5	2606777644302601.0
