7A1_2A1	8A1_2A1	2B1_7A1	2B1_8A1	9B1_2A1	9B1_2B1	2B2_7A1	2B2_8A1	9B2_2A1	9B2_2B2	9A2_2B1	9A2_2B2
Intensities	1.38384e-11	1.0695198335078464	0.7465760949483224	0.2115134828454025	0.7276704514174404	0.5631701444783569	0.7465753864304836	0.21151616870467693	0.7276690353783362	0.5631720806323265	0.7675437806899776	0.767546882072101
2e-08	1921221626402945.2	2121920438014977.8	1860552875423101.2	2061251687035133.5	2078510904240441.8	2017842153260597.5	1860553288847560.5	2061252100459592.8	2078510904240441.8	2017842566685056.8	2061758131598099.5	2061758545022559.0
2.0099999999999998e-08	1922683494129622.5	2123925131628825.2	1861807204235783.8	2063048841734986.2	2080675179568627.0	2019798889674788.0	1861807617660243.0	2063049255159445.5	2080675179568627.0	2019799303099247.2	2063554046024577.0	2063554459449036.5
2.0200000000000002e-08	1924192078787285.5	2125989771737554.5	1863099568075205.8	2064897261025474.8	2082906843027252.2	2021814332315172.5	1863100394919426.0	2064898087869695.0	2082906843027252.2	2021815159159392.8	2065401225041685.0	2065402051885905.2
2.03e-08	1925744899824477.2	2128112291228263.0	1864428726653894.8	2066796118057680.5	2085203000649806.5	2023886827479223.8	1864429140078354.0	2066796531482139.8	2085203000649806.5	2023887240903683.0	2067298428376056.2	2067298841800515.5
2.04e-08	1927340716967819.8	2130291863247334.0	1865790959165814.2	2068742105445328.5	2087563652440990.2	2026013894638984.8	1865791786014733.0	2068742932294247.0	2087563652440990.2	2026014721487903.2	2069243175490329.2	2069244002339247.8
2.0499999999999998e-08	1928978289953340.2	2132526007252718.0	1867186265606269.0	2070733982905647.0	2089987558122724.8	2028195533775653.8	1867187092455187.8	2070734809754565.5	2089987144698265.5	2028195947200113.0	2071234226106424.5	2071235052955343.0
2.0600000000000002e-08	1930655138229578.8	2134814309819950.0	1868611752013440.5	2072770923603812.0	2092472237148257.2	2030428850932119.0	1868612578862359.2	2072771750452730.8	2092472237148257.2	2030429677781037.8	2073269926526513.5	2073270753375432.0
2.07e-08	1932371675220997.5	2137154703826734.0	1870066591529013.5	2074849620134750.0	2095018516375902.5	2032713432683918.5	1870067418377932.2	2074850446983668.8	2095018516375902.5	2032714259532837.2	2075347796213234.0	2075348623062152.5
2.08e-08	1934125833809998.2	2139546775848613.0	1871548303615631.5	2076969245654246.2	2097623501825046.2	2035045971630679.5	1871549130464547.2	2076970072503162.2	2097623501825046.2	2035046798479595.2	2077465354615134.8	2077466181464050.5
2.09e-08	1935920507963095.0	2141996727252474.0	1873061435937643.0	2079137655227022.0	2100287193500392.2	2037428121474940.0	1873062262781860.5	2079138482071239.5	2100287193500392.2	2037428948319157.8	2079623842000892.5	2079624668845110.0
2.1000000000000003e-08	1937746602351588.2	2144486367371515.2	1874593999190434.8	2081333764210361.8	2103008351133260.8	2039855747972107.5	1874594826039353.2	2081334591059280.2	2103008351133260.8	2039856574821026.0	2081819124140012.0	2081819950988930.8
2.11e-08	1947678703676466.2	2147021897563221.2	1884221820357772.8	2083565014244527.8	2105784907596654.8	2042328024277961.0	1884222647206691.5	2083565841093446.5	2105784907596654.8	2042328851126879.8	2084049547325262.2	2084050374174180.8
2.12e-08	1967516033769272.5	2149603317841695.5	1903742880983724.8	2085830165056147.8	2108616036051059.8	2044842883265511.8	1903743707832643.2	2085830991905066.2	2108616036051059.8	2044843710114430.5	2086313871292661.8	2086314698141580.2
