R	4A1_2A1	2B1_4A1	5B1_2A1	5B1_2B1	6B1_2A1	6B1_2B1	2B2_4A1	5B2_2A1	5B2_2B2	6B2_2A1	6B2_2B2	5A2_2B1	5A2_2B2	6A2_2B1	6A2_2B2
Intensities	2.7946944019944424e-11	0.10300410090067569	0.09734263291928072	0.14870750311150946	2.5286745325400462e-05	0.0003588808690653917	0.10300742898833251	0.09734122144229951	0.14870303389033282	2.5358879121631442e-05	0.0003588885727996761	0.07836445037296953	0.07836523300414375	0.03180394716960164	0.0318047358413427
2.0	9019.388930699992	6887.884245399997	11877.920885899992	9746.416200599997	9143.422823100002	7011.918137800007	6887.886440100003	11877.920885899992	9746.418395300003	9143.418433600003	7011.9159430000145	6888.083967300001	6888.086162000007	7489.483958900004	7489.48615360001
2.01	9033.630639399998	7021.919596599997	11764.661003100002	9752.9499603	9156.042614299993	7144.331571499992	7021.921791400004	11764.661003100002	9752.952155100007	9156.036030100004	7144.327182100009	7022.134681700001	7022.136876500008	7638.7025651	7638.704759900007
2.02	9048.293739500004	7151.396459800002	11656.5719426	9759.674662899997	9168.873101200006	7271.975821500004	7151.4008493	11656.5719426	9759.679052399995	9168.866517000002	7271.973626799998	7151.6291028999985	7151.633492399997	7781.150378899998	7781.154768399996
2.03	9063.384814999998	7276.464077800003	11553.504461499993	9766.583724299999	9181.907699399992	7394.986962199997	7276.466272499994	11553.504461499993	9766.58591899999	9181.901115200002	7394.982572699999	7276.7120841	7276.714278799991	7916.67376830001	7916.6759630000015
2.04	9078.901671400003	7397.249745699999	11455.313706900008	9773.661781200004	9195.137630199999	7513.485704499995	7397.254135199997	11455.313706900008	9773.666170700002	9195.131045900009	7513.483509700003	7397.517504699994	7397.521894199992	8045.064232100005	8045.068621600003
2.05	9094.857476999998	7513.896121900005	11361.8636042	9780.902249100007	9208.56508809999	7627.603732999996	7513.900511400003	11361.8636042	9780.906638600005	9208.560698599991	7627.603732999996	7514.183633699999	7514.188023199997	8166.089127200001	8166.093516699999
2.06	9111.256621399996	7626.530502099995	11273.0224687	9788.2963494	9222.19446259999	7737.468343299988	7626.5348916000075	11273.0224687	9788.300738900012	9222.1878784	7737.466148600011	7626.837766599987	7626.8421561	8279.51142119999	8279.515810700002
2.07	9128.10349390001	7735.277986500005	11188.656420900006	9795.830913500002	9236.016974800004	7843.1914674	7735.282376000003	11188.656420900006	9795.835303	9236.0103905	7843.189272599993	7735.607198500002	7735.611588	8385.122613200001	8385.1270027
2.08	9145.406873799991	7840.259286300003	11108.640360299993	9803.492772800004	9250.0414036	7944.8938161000115	7840.263675800001	11108.640360299993	9803.497162300002	9250.034819399996	7944.8916214000055	7840.61264040001	7840.617029900008	8482.8041868	8482.808576299998
