R	1B1_3A1	3B1_1A1	3B1_1B1	1B2_3A1	3B2_1A1	3B2_1B2	1A2_3B1	1A2_3B2	2A2_3B1	2A2_3B2
Intensities	1.5519261512554662e-11	1.3581372457917245e-11	1.1943856206748624e-12	1.5519261512554662e-11	1.3581372457917245e-11	1.1943856206748624e-12	1.3581372457917245e-11	1.3581372457917245e-11	4.570575931664173e-11	4.570575931664173e-11
2.12	2796.6357200554776	2556.262715806399	3565.371948599888	2796.6357200554776	2556.258326310315	3565.3675591038045	3587.1591951121372	3587.1548056160536	1900.5098320421093	1900.5054425460257
2.13	2730.5453247180267	2489.6499708344054	3490.522320767079	2730.5453247180267	2489.64338659028	3490.5157365229534	3513.2708661727665	3513.264281928641	1903.8677938751352	1903.8612096310098
2.15	2609.1495173834846	2366.5466508713	3350.0761155317596	2609.1495173834846	2366.537871904089	3350.067336564549	3374.7889588872204	3374.7801799200097	1910.6517546805408	1910.64297571333
2.16	2553.5653725848097	2310.205318597291	3284.2710372400325	2553.5675673328515	2310.1987343531655	3284.266647743949	3309.9759058866475	3309.969321642522	1914.066779937668	1914.0601956935425
2.17	2501.2755419758614	2257.070510691163	3221.2796236663708	2501.2777367238887	2257.063926447052	3221.275234170287	3247.9787124020804	3247.9721281579696	1917.5037526253	1917.497168381189
2.19	2406.1354846220784	2159.9639606395795	3103.336152255768	2406.1354846220784	2159.957376395454	3103.3295680116426	3132.017096900614	3132.0105126564886	1924.4062297500786	1924.3996455059532
2.2	2363.065783247788	2115.768354393542	3048.1975409601	2363.065783247788	2115.761770174373	3048.190956740931	3077.857342457777	3077.8507582386083	1927.8695394142123	1927.8629551950435
2.22	2285.3761537204264	2035.5196506963111	2945.1410337099805	2285.3761537204264	2035.5130664521857	2945.134449465855	2976.705874985244	2976.6992907411186	1934.8071324826742	1934.8005482385488
2.23	2250.5235824745905	1999.2339101024845	2897.0519475330657	2250.5257772226323	1999.227325858359	2897.047558036982	2929.536387513959	2929.529803269834	1938.2770263659768	1938.2704421218514
2.25	2188.2344877251307	1945.1970614501333	2807.3504714834853	2188.2344877251307	1945.1904772309645	2807.3438872643164	2841.5731505405565	2841.5665663213877	1945.1970614501333	1945.1904772309645
2.26	2160.5631263807154	1948.6472026509728	2765.580059926506	2160.5631263807154	1948.6406184068474	2765.5734756823804	2800.61698985807	2800.6104056139447	1948.6472026509728	1948.6406184068474
2.28	2111.5961416860227	1955.5035900668736	2687.8399512191245	2111.5961416860227	1955.4970058477047	2687.8333669999556	2724.3517506615754	2724.3451664424065	1955.5035900668736	1955.4970058477047
2.3	2070.376611413274	1962.2963298644318	2617.3622580407973	2070.378806161316	1962.2897456203063	2617.3578685447137	2655.122868120554	2655.1162838764285	1962.2963298644318	1962.2897456203063
