R	3A2_1B1	3A2_1B2	3A2_2A2
Intensities	2.05209e-11	2.05209e-11	3.969e-13
2e-08	729164408692649.1	729164408692649.1	731416743351441.5
2.0099999999999998e-08	706289238075131.4	706289238075131.4	708668907373793.0
2.0200000000000002e-08	684312024696279.2	684312024696279.2	686824403148156.6
2.03e-08	663205069083181.2	663205069083181.2	665855531182786.6
2.04e-08	642939431592050.2	642939431592050.2	645732525021911.2
2.0499999999999998e-08	623488239637310.2	623488239637310.2	626429338910776.5
2.0600000000000002e-08	604824207255651.9	604824207255651.9	607919100301478.0
2.07e-08	586922528957384.9	586922528957384.9	590175350005016.4
2.08e-08	569756332175770.6	569756332175770.6	573171628926575.1
2.09e-08	553304118857419.75	553304118857419.75	556886852390496.0
2.1000000000000003e-08	537539843322921.2	537539843322921.2	541294147867714.56
2.11e-08	522442420915462.0	522442420915462.0	526371603851756.6
2.12e-08	507987872994999.75	507988286429244.9	512095655174510.0
2.13e-08	494157595547877.9	494157595547877.9	498446457481897.44
2.1400000000000003e-08	480927196499811.5	480927196499811.5	485400032171556.25
2.15e-08	468278071780624.44	468278071780624.44	472936948304817.06
2.16e-08	456190377036244.8	456190377036244.8	461036121281378.5
2.17e-08	444643854478344.75	444643854478344.75	449676879840990.3
2.1800000000000003e-08	433620726848729.6	433620726848729.6	438840619932316.2
2.19e-08	423102390114900.3	423102390114900.3	428508324050934.8
2.2000000000000002e-08	413071066999827.94	413071480415236.0	418661388088995.6
2.21e-08	403510220529219.25	403510220529219.25	409281621410570.56
2.2200000000000004e-08	394402486935641.8	394402486935641.8	400352073607123.7
2.23e-08	385732156037949.56	385732569472197.5	391854554005052.56
2.2400000000000002e-08	377483517768022.1	377483517768022.1	383773352498556.94
2.25e-08	369640448585814.06	369640448585814.06	376090278451714.06
2.2599999999999997e-08	362188478631760.25	362188478631760.25	368791275420366.94
2.27e-08	355112724630882.2	355112724630882.2	361859393014811.4
2.29e-08	342034465637026.56	342034465637026.56	349038697265072.75
2.2999999999999998e-08	336003847849920.7	336004261265331.44	343119703993201.4
2.3100000000000002e-08	330295700863675.94	330295700863675.94	337509951946530.0
2.32e-08	324895968290646.8	324895968290646.8	332195798171652.7
2.33e-08	319792660820233.3	319792660820233.3	327163599658663.06
2.3500000000000002e-08	310426537132882.94	310426950548291.0	317893803777323.4
2.36e-08	306154625588561.94	306155039003972.75	313645870835362.4
2.37e-08	302131595357547.56	302131595357547.56	309630282251254.44
2.3799999999999998e-08	298331814175842.06	298332227591252.8	305821819157575.7
2.4e-08	291405306264796.0	291405306264796.0	298825442573009.6
