R	12A1_1A1	1B1_12A1	1B2_12A1
Intensities	1.0335408291399565e-14	0.00011230646971745795	0.00011230862447438481
2.12	14127.14078910483	15136.250021898319	15136.250021898319
2.13	14086.799157349858	15087.671507282532	15087.671507282532
2.15	14020.55732452232	15004.08678918278	15004.08678918278
2.16	13985.53356305405	14959.599281696792	14959.601476444834
2.17	13958.197997910393	14922.4071108856	14922.409305633628
2.19	13912.286100043624	14855.658291659813	14855.658291659813
2.2	13893.485903244873	14825.915089811431	14825.915089811431
2.22	13863.61321136188	14773.23459437555	14773.23459437555
2.23	13852.314657404073	14750.132694834654	14750.134889582696
2.25	13847.874685660106	14710.028095693458	14710.028095693458
2.26	13875.945490823622	14692.878348099155	14692.878348099155
2.28	13931.72935751939	14664.065718671642	14664.065718671642
2.3	13987.089638192527	14642.155566368892	14642.157761116934
2.31	14014.681988682321	14633.703598349763	14633.703598349763
2.33	14069.515530224846	14621.312060740805	14621.314255488847
2.35	14124.054975779378	14614.727821832494	14614.730016580535
2.36	14151.22593499461	14613.582164278254	14613.584359026296
2.38	14205.368131453128	14615.015333601303	14615.017528349345
2.4	14259.238179379128	14621.103559851574	14621.105754599615
2.42	14312.78559961755	14631.513241551394	14631.51543627448
2.44	14365.975276199722	14645.80762418991	14645.809818937953
2.46	14418.6952770754	14663.534590069874	14663.534590069874
2.48	14470.791970006452	14684.189347491192	14684.191542239234
2.5	14522.282912952243	14707.475605742773	14707.477800490815
2.52	14573.005694682492	14732.923689093135	14732.925883841177
2.54	14622.850577894962	14760.142932690418	14760.14512743846
2.56	14671.714409531545	14788.766813936105	14788.769008684147
2.59	14743.030495787854	14833.664739006359	14833.6669337544
2.61	14789.137726080575	14864.474587579287	14864.476782327329
2.63	14834.033456377845	14895.697048434638	14895.69924318268
2.66	14899.017699575896	14942.835809458295	14942.840198954378
2.68	14940.816642857404	14974.297497675449	14974.299692398534
2.71	15000.919770279637	15020.900740601282	15020.90513007241
2.73	15039.340998995773	15051.506477756106	15051.510867227233
2.76	15094.512531512039	15096.448297737268	15096.452687233337
2.79	15146.754077689038	15140.03156977889	15140.035959274974
2.82	15196.13147994304	15182.074129893343	15182.07851936447
2.85	15242.70399642123	15222.448682819027	15222.453072315111
2.88	15286.563806491467	15261.07621770131	15261.080607197393
2.91	15327.785531487316	15297.895281644945	15297.899671141015
2.94	15366.47451926484	15332.892706136729	15332.897095632812
2.97	15402.935839552243	15366.187007520974	15366.191397017057
3.01	15447.629653204393	15407.59967544669	15407.604064942774
3.04	15478.54923907957	15436.57252135643	15436.576910852513
3.08	15516.496402618053	15472.52466049754	15472.529049993609
3.12	15550.883687628491	15505.48755515214	15505.491944648224
3.16	15581.93276356325	15535.590695429739	15535.595084925822
3.2	15609.82359951215	15562.886755158557	15562.891144654626
3.24	15634.797617684875	15587.647882920995	15587.654467140164
3.28	15657.041371415398	15609.959673790887	15609.96406328697
3.33	15681.28453906432	15634.608869503048	15634.613258974176
3.37	15698.052400773944	15651.916638806593	15651.921028302677
3.42	15715.968114835749	15670.714640857317	15670.721225101443
3.47	15730.808989312325	15686.624356806482	15686.63094102565
3.53	15744.967297697047	15702.250950457965	15702.25753470209
3.58	15754.1084160272	15712.702332320667	15712.702332320667
3.64	15762.101682055072	15722.385553017724	15722.394331984935
3.7	15767.336151991054	15729.373625241235	15729.373625241235
3.77	15770.410991526383	15734.520305305487	15734.520305305487
3.83	15770.856525054362	15736.743583324482	15736.743583324482
3.9	15769.173154629287	15737.101326930788	15737.101326930788
3.98	15764.906567830869	15735.099718314246	15735.099718314246
4.06	15758.469376941488	15730.828742044687	15730.828742044687
4.14	15750.636327395856	15725.045585522617	15725.045585522617
4.23	15740.597557815548	15717.162056821937	15717.162056821937
4.32	15729.382404233402	15707.924369652843	15707.924369652843
4.42	15716.178810473037	15696.70921604574	15696.70921604574
4.53	15701.085540171363	15683.654865052362	15683.54951722124
4.64	15685.897895778777	15670.146201588766	15670.146201588766
4.76	15669.698473337703	15655.395311682078	15655.395311682078
4.89	15652.697968510387	15639.808223470376	15639.808223470376
5.03	15635.298019839014	15623.646111721071	15623.646111721071
5.19	15616.761192580627	15606.224215594222	15606.224215594222
5.35	15599.771661468563	15590.099414536657	15590.099414536657
5.54	15581.32920830109	15572.55461259438	15572.55461259438
5.74	15564.594267762164	15556.410058804438	15556.410058804438
5.96	15548.792094392164	15541.066587425681	15541.066587425681
6.21	15533.870014312924	15526.495666758565	15526.495666758565
6.5	15520.058475844227	15512.943108334133	15512.943108334133
6.82	15508.43070995473	15501.479948422959	15501.479948422959
7.19	15498.642141451506	15491.785754010649	15491.785754010649
7.62	15490.964918892016	15484.156815858165	15484.156815858165
8.14	15485.287110225996	15478.496565151523	15478.496565151523
8.76	15481.628468135925	15474.840117834436	15474.840117834436
9.55	15479.514927444136	15472.724382394605	15472.724382394605
10.56	15478.5755760311	15471.782836233528	15471.782836233528
11.96	15478.27489577404	15471.482155976468	15471.48435072451
14.03	15478.224416619007	15471.431676821434	15471.431676821434
17.58	15478.222221895921	15471.429482098349	15471.429482098349
25.83	15478.231000863132	15471.43826106556	15471.43826106556
