4B1_1A1	4B1_1B1	4B2_1A1	4B2_1B2	1A2_4B1	1A2_4B2	2A2_4B1	2A2_4B2	4A2_1B1	4A2_1B2	4A2_1A2	4A2_2A2
Intensities	2.442297237526308	2.399731072270771	2.4422926116846324	2.399728686647293	2.4422511355837155	2.4423912555821286	0.8272545165182088	0.8271154362216769	2.4925452779809025	2.4925474882729444	1.9201923999999997e-09	3.23998970400818
2e-08	1694928553677452.5	1898291470393985.8	1694928553677452.5	1898291470393985.8	1900543805056772.0	1900543805056772.0	1354085989800966.8	1354085989800966.8	1895084539407010.2	1895084539407010.2	1897336874069796.5	1350879058813991.2
2.0099999999999998e-08	1697352459359187.2	1899930283648183.0	1697352459359187.2	1899930283648183.0	1902309952945687.8	1902309952945687.8	1379282950324078.8	1379282950324078.8	1896526976198209.0	1896526976198209.0	1898906645495713.8	1375879642874104.8
2.0200000000000002e-08	1699820187995994.0	1901563308964653.8	1699820187995994.0	1901563308964653.8	1904075687410147.0	1904075687410147.0	1403594356355980.0	1403594356355980.0	1897944194120898.2	1897944194120898.2	1900456572566391.5	1399975241512224.5
2.03e-08	1702328432201595.2	1903185171830122.8	1702328432201595.2	1903185171830122.8	1905835633936877.0	1905835633936877.0	1427042532808059.5	1427042532808059.5	1899329991808188.5	1899329991808188.5	1901980453914942.8	1423187352786125.2
2.04e-08	1704872644306946.8	1904788844038192.0	1704873057731403.2	1904789257462648.5	1907581937465854.8	1907582350890311.2	1449649804572916.2	1449650217997372.8	1900678994751516.2	1900678994751516.2	1903472088179179.0	1445539955286240.5
2.0499999999999998e-08	1707449930340828.0	1906367710792811.8	1707449930340828.0	1906367710792811.8	1909308810064049.5	1909308810064049.5	1471436429439645.5	1471436429439645.5	1901986241852669.2	1901986241852669.2	1904927341123906.8	1467054960499503.0
2.0600000000000002e-08	1710054915789971.8	1907913090194437.0	1710054915789971.8	1907913090194437.0	1911007983242280.8	1911007983242280.8	1492420598065652.8	1492420598065652.8	1903245531754162.2	1903245531754162.2	1906340424802005.8	1487753039625377.8
2.07e-08	1712680572447974.8	1909416300338830.2	1712680572447974.8	1909416300338830.2	1912669121403174.2	1912669121403174.2	1512619260844364.0	1512619260844364.0	1904451076522962.0	1904451076522962.0	1907703897587306.0	1507654037028495.8
2.08e-08	1715317391556974.0	1910862871374619.2	1715317391556974.0	1910862871374619.2	1914278168119809.8	1914278168119809.8	1532044407075692.0	1532044407075692.0	1905590473429995.8	1905590473429995.8	1909005770175186.2	1526772009131068.5
2.09e-08	1717944701908116.0	1912238333455133.2	1717944701908116.0	1912238333455133.2	1915821066974682.0	1915821066974682.0	1550702651536885.0	1550702651536885.0	1906651733170653.0	1906651733170653.0	1910234466690201.8	1545116051252404.5
2.1000000000000003e-08	1720552994757635.2	1913517467721265.2	1720552994757635.2	1913517467721265.2	1917271772255064.0	1917271772255064.0	1568595234515421.0	1568595234515421.0	1907612117427873.0	1907612117427873.0	1911366421961671.8	1562689884222028.8
2.11e-08	1723108369309279.2	1914670507621350.2	1723108369309279.2	1914670507621350.2	1918599690565076.0	1918599690565076.0	1585712233814878.0	1585712233814878.0	1908447234177366.8	1908447234177366.8	1912376417121092.8	1579488960370894.5
2.12e-08	1725571963710892.2	1915656524176240.0	1725571963710892.2	1915656937600699.5	1919764306345317.5	1919764306345317.5	1602037525914250.0	1602037525914250.0	1909124009476509.5	1909124422900968.8	1913231791645587.0	1595505011214519.2
2.13e-08	1727908223473088.8	1916441203174620.0	1727908223473088.8	1916441203174620.0	1920730065111109.2	1920730065111109.2	1617554160401314.8	1617554160401314.8	1909622598979449.8	1909622598979449.8	1913911460915939.2	1610735556206144.5
2.1400000000000003e-08	1729994775059348.8	1916968318941741.5	1729994775059348.8	1916968318941741.5	1921441154616855.0	1921441154616855.0	1632230303635009.8	1632230303635009.8	1909902487117399.0	1909902487117399.0	1914375322792512.8	1625164471810667.2
2.15e-08	1731932493967215.5	1917199009606650.2	1731927946302867.0	1917194461942301.8	1921857886142687.5	1921853338478339.0	1646045284406484.0	1646040736742135.5	1909943416105954.5	1909943416105954.5	1914602292641991.5	1638789690905788.2
2.15e-08	1731932080542758.8	1917198596182193.8	1731927946302867.0	1917194875366761.0	1921857472718230.8	1921853338478339.0	1646045284406486.8	1646041150166594.8	1909943416105954.5	1909943829530413.8	1914602292641991.5	1638790104330247.5
2.16e-08	1733596526094623.2	1917080770310033.8	1733596526094623.2	1917080770310033.8	1921926514551206.5	1921926514551206.5	1658966442202265.2	1658966442202265.2	1909720580501071.2	1909720580501071.2	1914566324742244.0	1651606252393302.8
2.17e-08	1735009196348260.0	1916637166213159.0	1735009196348260.0	1916637166213159.0	1921670191588630.5	1921670191588630.5	1671035532864520.0	1671035532864520.0	1909345191388256.5	1909345191388256.5	1914378216763727.8	1663743558039617.2
2.1800000000000003e-08	1736003067958471.8	1915702827678062.8	1736003067958471.8	1915702827678062.8	1920922720758675.0	1920922720758675.0	1682105377398594.8	1682105377398594.8	1908424082426452.8	1908424082426452.8	1913643975507065.2	1674826632146984.8
2.19e-08	1736727387037513.2	1914430308198581.2	1736727387037513.2	1914430308198581.2	1919836242140111.8	1919836242140111.8	1692346306554760.8	1692346306554760.8	1907344632014298.0	1907344632014298.0	1912750565955828.5	1685260630370477.8
2.2000000000000002e-08	1737151146774447.2	1912793148642221.2	1737150733349990.8	1912793148642221.2	1918383469742134.2	1918383056317677.5	1701748398145998.0	1701747984721541.2	1905988600864567.0	1905989014289023.5	1911578921964480.0	1694943850368343.8
