R	12B1_1A1	12B1_1B1	12B2_1A1	12B2_1B2	1A2_12B1	1A2_12B2	2A2_12B1	2A2_12B2	12A2_1B1	12A2_1B2	12A2_1A2	12A2_2A2
Intensities	3.3288335260072794	3.0318348182317076	3.328844469658056	3.031842518504655	3.330173143960993	3.330327036878671	0.8076834477426039	0.8075246615132451	2.9325244591074484	2.932522892258639	2.6383978360707715e-09	4.101479499647143
2e-08	2811528839243783.5	3014891755960317.0	2811527598975107.0	3014890515691640.0	3017144090623103.0	3017142850354426.5	2470686275367298.0	2470685035098621.0	3001318628309448.5	3001318628309448.5	3003570962972235.0	2457113147716429.5
2.0099999999999998e-08	2794064977095693.0	2996642801384689.0	2794063736822315.0	2996641561111311.0	2999022470682193.5	2999021230408815.5	2475995468060584.5	2475994227787207.0	2983141609533313.0	2983141609533313.0	2985521278830818.0	2462494276209209.0
2.0200000000000002e-08	2777528838696051.0	2979271959664711.0	2777527598422673.0	2979270719391333.0	2981784338110204.0	2981783097836826.0	2481303007056037.0	2481301766782659.0	2965842703612830.0	2965842703612830.0	2968355082058323.5	2467873751004156.5
2.03e-08	2761891897780671.0	2962748637409198.5	2761890657511994.5	2962747397140522.0	2965399099515953.0	2965397859247276.0	2486605998387135.5	2486604758118458.5	2949390490307894.5	2949390490307894.5	2952040952414648.5	2473247851285831.5
2.04e-08	2747124801241160.0	2947041000972405.5	2747123560967785.0	2947039760699030.0	2949834094400068.0	2949832854126693.0	2491901961507129.5	2491900721233754.5	2933753549397215.5	2933753549397215.5	2936546642824878.5	2478614509931940.0
2.0499999999999998e-08	2733200676501769.0	2932118456953753.0	2733199436233092.0	2932117216685076.0	2935059556224990.5	2935058315956313.5	2497187175600586.5	2497185935331909.5	2918901287480221.0	2918901287480221.0	2921842386751459.0	2483970006127055.0
2.0600000000000002e-08	2720092650996154.0	2917950825400619.5	2720091410727477.0	2917949585131942.5	2921045718448463.0	2921044478179786.0	2502458333271835.0	2502457093003158.0	2904803524604283.5	2904803524604283.5	2907898417652127.0	2489311032475499.0
2.07e-08	2707773852162666.5	2904509580053522.0	2707773025313748.0	2904508753204603.5	2907762401117866.5	2907761574268947.5	2507712540559056.0	2507711713710137.5	2891431734509922.5	2891431734509922.5	2894684555574267.0	2494634695015456.5
2.08e-08	2696222781934132.5	2891768261751777.5	2696221541660754.5	2891767021478399.5	2895183558496968.5	2895182318223590.5	2512949797452850.5	2512948557179472.5	2878756150645485.0	2878756150645485.0	2882171447390675.5	2499937686346557.5
2.09e-08	2685408020089258.5	2879701651636276.0	2685406779815880.5	2879700411362898.0	2883284385155824.5	2883283144882446.5	2518165969718027.5	2518164729444649.5	2866754034693912.0	2866754034693912.0	2870336768213460.5	2505218352775663.5
2.1000000000000003e-08	2675315923620887.5	2868280396584518.0	2675314683352211.0	2868279156315841.0	2872034701118316.5	2872033460849639.5	2523358163378673.5	2523356923109997.0	2855398927508618.0	2855398927508618.0	2859153232042416.5	2510476694302774.0
2.11e-08	2665923754207269.0	2857485892519340.0	2665922513938589.5	2857484652250660.5	2861415075463066.0	2861413835194386.5	2528527618712868.0	2528526378444188.0	2844669744456287.5	2844669744456287.5	2848598927400013.5	2515711470649815.5
2.12e-08	2657209600370866.5	2847294160836214.5	2657208360102189.5	2847293333991997.0	2851401943005292.0	2851400702736615.0	2533675162574224.0	2533673922305547.5	2834541680088172.0	2834542093512631.0	2838649462257249.5	2520922681826181.5
2.13e-08	2649158992265015.0	2837691971966546.0	2649157751991637.0	2837690731693168.0	2841980833903035.5	2841979593629657.5	2538804929193241.0	2538803688919863.0	2825002331684595.0	2825002331684595.0	2829291193621084.5	2526115288911290.0
2.1400000000000003e-08	2641676842334598.5	2828650386216991.0	2641675602061220.5	2828649145943613.0	2833123221892104.5	2833121981618727.0	2543912370910259.5	2543911130636881.5	2816022759556914.0	2816022759556914.0	2820495595232027.5	2531284744250182.5
2.15e-08	2634887591257229.0	2820154106896664.0	2634884697286016.5	2820151212925451.5	2824812983432701.0	2824810089461488.5	2549000381696497.5	2548997487725285.0	2807587667004844.0	2807587667004844.0	2812246543540881.0	2536433941804677.5
2.15e-08	2634887591257229.0	2820154106896664.0	2634884697286016.5	2820151626349911.0	2824812983432701.0	2824810089461488.5	2549000795120957.0	2548997901149744.5	2807587667004844.0	2807588080429303.0	2812246543540881.0	2536434355229137.0
2.16e-08	2628695738039245.0	2812179982254656.0	2628694497770565.5	2812178741985976.0	2817025726495828.5	2817024486227149.0	2554065654146887.0	2554064413878207.5	2799675555984704.5	2799675555984704.5	2804521300225877.0	2541561227876935.5
2.17e-08	2623468816747528.5	2805096786612427.5	2623467163049691.0	2805095132914590.5	2810129811987899.0	2810128158290061.5	2559495153263788.5	2559493499565951.0	2792658921624003.0	2792658921624003.0	2797691946999474.0	2547057288275363.5
2.1800000000000003e-08	2618025261213114.0	2797725020932705.0	2618023607515277.0	2797723367234868.0	2802944914013317.5	2802943260315480.0	2564127570653237.0	2564125916955400.0	2785338420539614.5	2785338420539614.5	2790558313620227.0	2551740970260146.5
