R	7A1_1A1	8A1_1A1	1B1_7A1	1B1_8A1	9B1_1A1	9B1_1B1	1B2_7A1	1B2_8A1	9B2_1A1	9B2_1B2	1A2_9B1	1A2_9B2	2A2_9B1	2A2_9B2	9A2_1B1	9A2_1B2	9A2_1A2	9A2_2A2
Intensities	32.67323199570683	1.7872246402695412e-10	8.195351183007062	24.218238777893486	8.55111858261206	8.604504086964402	8.195467161501135	24.218121456444436	8.551126609351208	8.604507367308997	8.583685018184934	8.582265811468725	24.37897828161456	24.38038881760158	8.127705870772912	8.127700219030705	32.548616508211275	1.939144871341126e-08
2.0	8863.327105599994	11264.647316799994	11752.3528659	14153.6730771	9583.473845799992	12472.499606099998	11752.3528659	14153.6730771	9583.473845799992	12472.499606099998	9583.473845799992	9583.473845799992	12484.456583899999	12484.456583899999	12475.62492480001	12475.62492480001	9586.599164500003	12487.58190260001
2.01	9022.733724000005	11275.2896416	11786.696255899995	14039.25217349999	9608.86267090001	12372.825202799999	11786.696255899995	14039.25217349999	9608.86267090001	12372.825202799999	9608.86267090001	9608.86267090001	12385.4581625	12385.4581625	12375.702515199999	12375.702515199999	9611.739983300009	12388.3354749
2.02	9176.831251299998	11286.250204700002	11820.400974899996	13929.8199283	9636.6415749	12280.211298499999	11820.400974899996	13929.8199283	9636.6415749	12280.211298499999	9636.6415749	9636.6415749	12293.548771799993	12293.548771799993	12282.818657099997	12282.818657099997	9639.2489335	12296.156130399992
2.03	9325.722840300004	11297.518032199994	11853.423127700007	13825.218319599997	9667.117822	12194.818109400003	11853.423127700007	13825.218319599997	9667.117822	12194.818109400003	9667.117822	9667.117822	12208.8886279	12208.8886279	12197.131372000003	12197.131372000003	9669.4310846	12211.2018905
2.04	9469.507254600001	11309.088734599994	11885.705651000011	13725.287131000005	9700.631597999993	12116.829994400003	11885.705651000011	13725.287131000005	9700.631597999993	12116.829994400003	9700.631597999993	9700.631597999993	12131.6577004	12131.6577004	12118.835992500011	12118.835992500011	9702.637596100001	12133.663698500008
2.05	9608.27667359999	11320.949143599995	11917.198065599994	13629.8705356	9737.547230700002	12046.468622700006	11917.198065599994	13629.8705356	9737.547230700002	12046.468622700006	9737.547230700002	9737.547230700002	12062.08204790001	12062.08204790001	12048.149798400002	12048.149798400002	9739.228406399998	12063.763223600006
2.06	9742.105718799998	11333.097064400004	11947.832334499995	13538.823680100002	9778.222463999991	11983.949079699989	11947.832334499995	13538.823680100002	9778.222463999991	11983.949079699989	9778.222463999991	9778.222463999991	12000.378950499988	12000.378950499988	11985.303238099994	11985.303238099994	9779.576622399996	12001.733108899993
2.07	9871.0734009	11345.521523200005	11977.551394299997	13451.9995166	9822.995288400009	11929.473281800005	11977.551394299997	13451.9995166	9822.995288400009	11929.473281800005	9822.995288400009	9822.995288400009	11946.741545600002	11946.741545600002	11930.498228299999	11930.498228299999	9824.020234900003	11947.766492099996
2.08	9995.23897810001	11358.220325300004	12006.274038999996	13369.255386199991	9872.087373700007	11883.122434599994	12006.274038999996	13369.255386199991	9872.087373700007	11883.122434599994	9872.087373700007	9872.087373700007	11901.253233800002	11901.253233800002	11883.829142999995	11883.829142999995	9872.794082100008	11901.959942200003
