R	4A1_1A1	1B1_4A1	5B1_1A1	5B1_1B1	6B1_1A1	6B1_1B1	1B2_4A1	5B2_1A1	5B2_1B2	6B2_1A1	6B2_1B2	1A2_5B1	1A2_6B1	1A2_5B2	1A2_6B2	2A2_5B1	2A2_6B1	2A2_5B2	2A2_6B2	5A2_1B1	5A2_1B2	5A2_1A2	5A2_2A2	6A2_1B1	6A2_1B2	6A2_1A2	6A2_2A2
Intensities	26.68624287823664	23.70996861374172	0.6917252485060039	37.54476650061099	38.49686632505806	0.3306842481605732	23.709990642469705	0.691708591603469	37.54476369743072	38.49688524839909	0.3306969052144656	3.773954804766042	35.23191176441894	3.7750743050586917	35.23157866799139	32.036164771103685	0.2516853060189611	32.03507062151925	0.2519867709016241	23.886646851098053	23.88643965740735	26.383726401496105	2.053325488229268e-08	15.123505682636436	15.123714629832458	3.076321423271019e-08	44.0001649807547
2.12	9219.293007971093	10228.402240764583	9307.59204109537	10316.701273888859	9810.555466447331	10819.66469924082	10228.402240764583	9307.585456876186	10316.694689669675	9810.553271699304	10819.662504492793	10338.488520401108	10841.45194575307	10338.481936181925	10841.449751005042	8651.83915733108	9154.802582683042	8651.832573111897	9154.800387935014	10228.869721723066	10228.869721723066	10250.656968235315	8564.007605165287	10802.115507827417	10802.115507827417	10823.902754339666	9137.253391269638
2.13	9238.957934799386	10239.83028473206	9322.329762513793	10323.202112446466	9808.501183902743	10809.373533835416	10239.83028473206	9322.323178269682	10323.195528202355	9808.498989154701	10809.371339087375	10345.950657852154	10832.122079241104	10345.944073608043	10832.119884493062	8736.547585554523	9222.719006943473	8736.541001310412	9222.716812195431	10240.33288163424	10240.33288163424	10263.081427039928	8653.678354742297	10788.850461171809	10788.850461171809	10811.599006577497	9202.195934279865
2.15	9276.152300358619	10259.681765019079	9352.171727949171	10335.701192609631	9802.867270147646	10786.396734808106	10259.681765019079	9352.160754208962	10335.690218869422	9802.862880651563	10786.392345312022	10360.414035965092	10811.109578163567	10360.403062224883	10811.105188667483	8896.276831758412	9346.972373956887	8896.265858018203	9346.967984460804	10263.476481362944	10263.476481362944	10288.189324718405	8824.052120511726	10758.53882002992	10758.53882002992	10783.251663385381	9319.114459178702
2.16	9300.476673585275	10274.542392228017	9367.861969243939	10341.92768788668	9801.183899722586	10775.249618365327	10274.544586976059	9367.855384999813	10341.923298390597	9801.181704974559	10775.249618365342	10367.632556533295	10800.954487011943	10367.62597228917	10800.952292263915	8971.723430584316	9405.045361062963	8971.71684634019	9405.043166314936	10275.161310701515	10275.163505449556	10300.86617934813	8904.95705339915	10743.0548849013	10743.057079649341	10768.759753547914	9372.850627598935
2.17	9322.022498037564	10286.231611012772	9381.6581445013	10345.867257476508	9801.846713131948	10766.055826107156	10286.2338057608	9381.653755005216	10345.865062728451	9801.844518383921	10766.055826107156	10372.566346212217	10792.754914842866	10372.561956716134	10792.752720094839	9042.091386435437	9462.279955066086	9042.086996939353	9462.277760318058	10283.865674495872	10283.867869243899	10310.564763231581	8980.0898034548	10728.986561086465	10728.988755834493	10755.685649822175	9425.210690045395
2.19	9366.41563143264	10309.787823048828	9418.672540845932	10362.04473246212	9806.319606071585	10749.691797687774	10309.787823048828	9418.668151349848	10362.040342966036	9806.317411323544	10749.689602939732	10390.725677106966	10778.37274233262	10390.721287610882	10778.370547584578	9183.11480995643	9570.761875182085	9183.110420460347	9570.759680434043	10310.549400020245	10310.549400020245	10339.230344665091	9131.619477514556	10702.546452419978	10702.546452419978	10731.227397064824	9523.616529914289
2.2	9389.2212402375	10321.650426804059	9437.110604517322	10369.53979108388	9812.333210938363	10744.762397504921	10321.650426804059	9437.106215021238	10369.535401587797	9812.32882144228	10744.758008008837	10399.199592581557	10774.422199002598	10399.195203085474	10774.417809506514	9249.211789537992	9624.434395959033	9249.207400041909	9624.43000646295	10322.466872426594	10322.466872426594	10352.126673924271	9202.138870880706	10692.356245349598	10692.356245349598	10722.016046847275	9572.02824380371
2.22	9435.923246775274	10345.544629788943	9476.289020708791	10385.91040372246	9831.058786378577	10740.680169392246	10345.544629788943	9476.28682596075	10385.908208974419	9831.056591630535	10740.677974644204	10417.475244997724	10772.24501066751	10417.473050249682	10772.242815919468	9375.576502495154	9730.34626816494	9375.574307747112	9730.344073416898	10346.481786453922	10346.481786453922	10378.046627729185	9336.147885226615	10678.090394410669	10678.090394410669	10709.655235685932	9667.756493183362
2.23	9459.75380206696	10357.571839497541	9496.937193885984	10394.755231316565	9843.542503305449	10741.36054073603	10357.574034245583	9496.9328043899	10394.753036568523	9843.538113809365	10741.358345987988	10427.239671297459	10773.844980716924	10427.235281801375	10773.84059122084	9435.980310149476	9782.585619568941	9435.975920653393	9782.581230072858	10358.57483855386	10358.577033301903	10391.059278534754	9399.799917386772	10674.045476964777	10674.047671712819	10706.52991694567	9715.270555797688
2.25	9519.633065388596	10381.786475421948	9551.443718269802	10413.597128303154	9885.299746449033	10747.453156482385	10381.786475421948	9551.439328773718	10413.59273880707	9885.295356952949	10747.448766986301	10447.819807360225	10781.675835539456	10447.815417864142	10781.671446043372	9551.443718269802	9885.299746449033	9551.439328773718	9885.295356952949	10382.93871724524	10382.93871724524	10417.161396302312	9520.785307211889	10671.749772335286	10671.749772335286	10705.972451392357	9809.596362301934
2.26	9577.036654866126	10393.969512141659	9606.584524313497	10423.51738158903	9935.609915871944	10752.542773147477	10393.969512141659	9606.58232956547	10423.515186841003	9935.60552637586	10752.538383651394	10458.554311520595	10787.579703079042	10458.552116772567	10787.575313582958	9606.584524313497	9935.609915871944	9606.58232956547	9935.60552637586	10395.20515431567	10395.20515431567	10430.242084247235	9578.272297040137	10673.222447123073	10673.222447123073	10708.259377054637	9856.28958984754
2.28	9686.159440886113	10418.495802038364	9711.8599200616	10444.196281213852	10033.732633443142	10766.068994595393	10418.495802038364	9711.857725313559	10444.19408646581	10033.728243947073	10766.064605099324	10480.708080656303	10802.580794037844	10480.70588590826	10802.576404541775	9711.8599200616	10033.732633443142	9711.857725313559	10033.728243947073	10419.911413402035	10419.911413402035	10456.423212844486	9687.575052249784	10680.645079109381	10680.645079109381	10717.156878551832	9948.30871795713
2.3	9788.15149618467	10443.217424361035	9810.746409352243	10465.812337528609	10128.14622976922	10783.212157945585	10443.219619109077	9810.744214604201	10465.812337528609	10128.141840273136	10783.209963197543	10503.572947608365	10820.972768025342	10503.570752860323	10820.968378529258	9810.746409352243	10128.14622976922	9810.744214604201	10128.141840273136	10444.839341890853	10444.841536638894	10482.59995197061	9789.773413714487	10693.045395710506	10693.047590458547	10730.806005790262	10037.97946753414
2.31	9836.633441961501	10455.655051628943	9857.902728360234	10476.924338027675	10173.860600462009	10792.88221012945	10455.655051628943	9857.89833886415	10476.919948531591	10173.856210965925	10792.877820633366	10515.209492490016	10831.16736459179	10515.205102993932	10831.162975095707	9857.902728360234	10173.860600462009	9857.89833886415	10173.856210965925	10457.388901209051	10457.388901209051	10495.674055671392	9838.36729154161	10700.779681644199	10700.779681644199	10739.06483610654	10081.758071976757
2.33	9928.856681489211	10480.65321200517	9947.869768673292	10499.666299189252	10262.207918018219	10814.004448534179	10480.655406753212	9947.871963421334	10499.670688685335	10262.207918018219	10814.00664328222	10538.781067737436	10853.119217082363	10538.783262485478	10853.119217082363	9947.869768673292	10262.207918018219	9947.871963421334	10262.207918018219	10482.637262662349	10482.63945741039	10521.752031210533	9930.84073214639	10718.76782234144	10718.770017089482	10757.882590889625	10166.97129182548
2.35	10015.134353289497	10505.807199342613	10032.37408547863	10523.046931531746	10346.42911252589	10837.101958579005	10505.809394090655	10032.37408547863	10523.049126279788	10346.42911252589	10837.104153327047	10562.675270722306	10876.730297769565	10562.675270722306	10876.730297769565	10032.37408547863	10346.42911252589	10032.37408547863	10346.42911252589	10508.0787617686	10508.080956516642	10547.70710095916	10017.405915715484	10739.523538072855	10739.525732820897	10779.151877263415	10248.85069201974
2.36	10056.176109120643	10518.532338404286	10072.691575030112	10535.047804313755	10386.998997902469	10849.355227186112	10518.534533152328	10072.691575030112	10535.049999061797	10386.998997902469	10849.357421934154	10574.803438790885	10889.110861663241	10574.803438790885	10889.110861663241	10072.691575030112	10386.998997902469	10072.691575030112	10386.998997902469	10520.953143572318	10520.95533832036	10560.708778049448	10058.596914288675	10750.850623730235	10750.852818478277	10790.606258207365	10288.494394446592
2.38	10134.317856370195	10543.96505851837	10149.71619640007	10559.363398548245	10464.635953501813	10874.283155649988	10543.967253266412	10149.71619640007	10559.365593296287	10464.635953501813	10874.28535039803	10599.112448781249	10914.032205882992	10599.112448781249	10914.032205882992	10149.71619640007	10464.635953501813	10149.71619640007	10464.635953501813	10546.708491398924	10546.710686146966	10586.457541631928	10137.061289250749	10774.826032317782	10774.828227065824	10814.575082550786	10365.178830169607
