4B1_10A1	4B1_11A1	11B1_4B1	4B2_10A1	4B2_11A1	11B2_4B2	4A2_11B1	4A2_11B2	11A2_4B1	11A2_4B2
Intensities	4.0116084099999995e-08	1.1269448999999998e-07	1.7031555025000002e-06	4.0116084099999995e-08	1.1269448999999998e-07	1.7031555025000002e-06	3.96328464e-08	3.96328464e-08	4.0020002500000006e-08	4.0020002500000006e-08
2e-08	923952908913227.2	1034879564395251.9	824013413129020.9	923952908913227.2	1034879564395251.9	824013413129020.9	827220344124332.2	827220344124332.2	923957043161509.9	923957043161509.9
2.0099999999999998e-08	903738122591197.6	1011702594180611.8	800680168593050.2	903738122591197.6	1011702594180611.8	800680168593050.2	804083476052092.0	804083476052092.0	903742256820640.2	903742256820640.2
2.0200000000000002e-08	884401035700660.1	989481873982959.9	778288704214500.0	884401035700660.1	989481873982959.9	778288704214500.0	781907819057107.0	781907819057107.0	884405169948942.6	884405169948942.6
2.03e-08	865916015958791.0	968197559429387.1	756815868278348.6	865916015958791.0	968197559429387.1	756815868278348.6	760671048292843.5	760671048292843.5	865920150188236.5	865920150188236.5
2.04e-08	848260324990614.8	947832700149026.8	736241816374002.0	848259911575206.6	947832286733618.8	736241402958594.0	740351665668237.8	740351665668237.8	848264459238894.6	848264045823486.5
2.0499999999999998e-08	831411224534189.2	928371172601838.8	716547117619302.1	831411224534189.2	928371172601838.8	716547117619302.1	720928586564137.6	720928586564137.6	831415772197880.0	831415772197880.0
2.0600000000000002e-08	815349697028582.0	909799333777914.0	697716888720441.6	815349697028582.0	909799333777914.0	697716888720441.6	702384447156604.8	702384447156604.8	815353831276864.5	815353831276864.5
2.07e-08	800056725007042.9	892105194385484.1	679737486667500.1	800056725007042.9	892105194385484.1	679737486667500.1	684702710490185.6	684702710490185.6	800061272670733.5	800061272670733.5
2.08e-08	785519905705889.8	875282139646141.4	662598575905709.6	785519905705889.8	875282139646141.4	662598575905709.6	667870973838869.6	667870973838869.6	785524039954172.4	785524039954172.4
2.09e-08	771729730401170.5	859333063524261.8	646295195280617.2	771729730401170.5	859333063524261.8	646295195280617.2	651881795555750.2	651881795555750.2	771734278064861.1	771734278064861.1
2.1000000000000003e-08	758685372186714.9	844252591468824.1	630825277715177.1	758685372186714.9	844252591468824.1	630825277715177.1	636730627995973.8	636730627995973.8	758689919869242.8	758689919869242.8
2.11e-08	746393445935122.0	830058914209942.6	616194197722733.4	746393445935122.0	830058914209942.6	616194197722733.4	622417471159540.5	622417471159540.5	746397993598812.8	746397993598812.8
2.12e-08	734870075111086.0	816774770009561.8	602412290876902.2	734870075111086.0	816774770009561.8	602411877442657.1	608944805576580.9	608944392142335.8	734875036209024.6	734875036209024.6
2.13e-08	724130969876918.5	804421656977587.8	589501882099569.1	724130969876918.5	804421656977587.8	589501882099569.1	596320486290575.4	596320486290575.4	724135517540611.9	724135517540611.9
2.1400000000000003e-08	714205896763734.0	793061175290970.0	577481162083167.9	714205896763734.0	793061175290970.0	577481162083167.9	584546993907006.0	584546993907006.0	714210857861669.9	714210857861669.9
2.15e-08	705067983185956.9	783101374529892.4	566370801956086.2	705072530849647.5	783105922193583.0	566374936204368.9	573626395465244.0	573625982049836.0	705121728319431.4	705126275983122.1
2.16e-08	696893761272074.4	773301982357262.4	556202222042939.1	696893761272074.4	773301982357262.4	556201808608693.94	563562411854672.9	563561998420427.6	696898722370013.0	696898722370013.0
2.17e-08	689491815618623.4	764927663146777.8	547525276347996.4	689491815618623.4	764927663146777.8	547525276347996.4	554817251185524.8	554817251185524.8	689470730999479.4	689470730999479.4
2.1800000000000003e-08	683058109292766.0	757692740841353.2	538709006759098.7	683058109292766.0	757692740841353.2	538709006759098.7	545987752020960.5	545987752020960.5	683063070371867.5	683063070371867.5
2.19e-08	677422311547846.4	751428951846735.5	531361633126458.0	677422311547846.4	751428951846735.5	531361633126458.0	538447309304376.1	538447309304376.1	677427272645785.0	677427272645785.0
2.2000000000000002e-08	672592690823921.0	746146631717701.1	524901467630432.9	672593104258168.9	746147045151949.0	524901881064680.8	531706015414956.44	531706015414956.44	672598065337270.4	672598478771518.2
2.21e-08	668513021513890.4	741788314525569.6	519273524947830.5	668513434929301.1	741788727940980.4	519273938363241.3	525728315892832.0	525728315892832.0	668518396027237.0	668518809442647.8
2.2200000000000004e-08	665115502002440.5	738285371861890.5	514413724258539.8	665115502002440.5	738285371861890.5	514413724258539.8	520472868330536.2	520472868330536.2	665120876515789.9	665120876515789.9
2.23e-08	662326542820862.0	735561320255893.4	510251370114733.4	662326956255107.1	735561733690138.6	510251783548978.56	515891715542178.06	515891715542178.06	662331917334211.4	662332330768456.5
2.2400000000000002e-08	660073381293576.4	733538022556330.1	506716593805216.94	660073794727821.6	733538435990575.4	506717007239462.1	511933179490176.9	511933179490176.9	660078755806923.1	660079169241168.2
2.25e-08	658286148784740.9	732139408726678.2	503744074301321.3	658286562200148.9	732139822142086.2	503744487716729.4	508545995590014.94	508545995590014.94	658291523298087.5	658291936713495.5
2.2599999999999997e-08	656900351096502.2	731293542959852.2	501273038256910.6	656900764511913.0	731293956375263.1	501273451672321.44	505679312634924.9	505679312634924.9	656905725609851.6	656906139025262.4
2.27e-08	655857695431700.8	730933037112474.1	499250153991592.56	655857695431700.8	730933037112474.1	499250153991592.56	503286413779433.8	503286413779433.8	655863483379295.2	655863483379295.2
2.29e-08	654605020330928.5	731426665528478.9	496375202596448.7	654605020330928.5	731426665528478.9	496374789162203.5	499757011983264.0	499756598549018.8	654610808259685.9	654610808259685.9
2.2999999999999998e-08	654311489173854.4	732174136355731.5	495452439905772.7	654311489173854.4	732174136355731.5	495452439905772.7	498550640350225.44	498550640350225.44	654317277121449.0	654317277121449.0
2.3100000000000002e-08	654194490145270.5	733229608161951.8	494837264816330.5	654194490145270.5	733229608161951.8	494837264816330.5	497678728885156.7	497678728885156.7	654200278092865.0	654200278092865.0
2.32e-08	654225083526043.9	734477322183619.8	494508592614786.94	654225083526043.9	734477322183619.8	494508592614786.94	497118125741170.8	497118125741170.8	654230871473638.4	654230871473638.4
2.33e-08	654379290732651.6	735916451589925.0	494453607216245.56	654379290732651.6	735916451589925.0	494453607216245.56	496854361152888.4	496854361152888.4	654385078680246.2	654385078680246.2
2.3500000000000002e-08	654978755716299.1	739239554764161.5	495118806643970.25	654978755716299.1	739239554764161.5	495118806643970.25	497161535282202.75	497161535282202.75	654984957079304.4	654984957079304.4
2.36e-08	655396727530029.1	741071437079093.0	495826175328817.56	655396727530029.1	741071437079093.0	495826175328817.56	497715937044343.44	497715937044343.44	655402928874194.6	655402928874194.6
2.37e-08	655872165272431.4	742979802864795.1	496774570302331.1	655872165272431.4	742979802864795.1	496774570302331.1	498525834917046.7	498525834917046.7	655878366635436.8	655878366635436.8
2.3799999999999998e-08	656386051476761.4	744935712439806.2	497958617013484.5	656386051476761.4	744935712439806.2	497958617013484.5	499584614121890.8	499584614121890.8	656392252839766.8	656392252839766.8
2.4e-08	657510978522256.5	748935590899279.6	501010927349103.0	657510978522256.5	748935590899279.6	501010927349103.0	502420290224288.06	502420290224288.06	657517179885259.1	657517179885259.1
2.41e-08	658106722710706.4	750947726156738.8	502859346657159.5	658106722710706.4	750947726156738.8	502859346657159.5	504174862237627.56	504174862237627.56	658112924073709.0	658112924073709.0
2.4300000000000003e-08	659330044714606.4	754935201909041.2	507122162874099.2	659330044714606.4	754935201909041.2	507122162874099.2	508273962505167.3	508273962505167.3	659336659511857.0	659336659511857.0
2.44e-08	659948113787264.5	756887804066591.4	509496044244000.56	659948113787264.5	756887804066591.4	509496044244000.56	510576321502236.75	510576321502236.75	659954315150269.8	659954315150269.8
2.46e-08	661172676075071.1	760671875142499.4	514603485962696.7	661172676075071.1	760671875142499.4	514603485962696.7	515557668846130.5	515557668846130.5	661179290853484.5	661179290853484.5
2.4700000000000003e-08	661772554474126.6	762472750661249.6	517287848822864.8	661772554474126.6	762472750661249.6	517287848822864.8	518186632892346.5	518186632892346.5	661779582686788.0	661779582686788.0
2.49e-08	662934276282234.8	765950061023254.0	522792177717307.06	662934276282234.8	765950061023254.0	522792177717307.06	523592153412970.25	523592153412970.25	662940891079485.2	662940891079485.2
2.5e-08	663490331743690.1	767600450149431.1	525568320757469.5	663490331743690.1	767600450149431.1	525568320757469.5	526324473496695.44	526324473496695.44	663497359937514.4	663497359937514.4
