R	10B1_4B1	10B2_4B2	4A2_10B1	4A2_10B2	10A2_4B1	10A2_4B2	10A2_4A2
Intensities	4.0996121919833565e-06	4.0996121919833565e-06	8.643135311947951e-07	8.643135311947951e-07	8.755973733957591e-07	8.755973733957591e-07	1.7048854578319266e-05
2.0	4966.359717499989	4966.3575226999965	4983.384364600002	4983.38216980001	4314.366434099997	4314.366434099997	4331.39108120001
2.01	4858.733748400002	4858.729358900004	4876.800900000002	4876.796510500004	4190.350099700008	4190.350099700008	4208.4172513000085
2.02	4755.762836299997	4755.76064149999	4774.975645400002	4774.973450599995	4071.333397399998	4071.333397399998	4090.546206500003
2.03	4657.3196857	4657.315296200002	4677.785694899998	4677.7813054	3957.191226499999	3957.191226499999	3977.657235699997
2.04	4563.27919619999	4563.272612100001	4585.097169200002	4585.092779800005	3847.8204341999954	3847.818239500004	3869.6384072000074
2.05	4473.522851599992	4473.5184620999935	4496.782772899998	4496.7783834	3743.1156723999884	3743.1156723999884	3766.375593699995
2.06	4387.9453038000065	4387.940914400009	4412.723989499995	4412.7196000999975	3642.9979305000015	3642.9979305000015	3667.77661619999
2.07	4306.454373700006	4306.449984299994	4332.813276800007	4332.808887399995	3547.3969764000067	3547.3969764000067	3573.7558795000077
2.08	4228.984218900005	4228.9776346	4256.973818400002	4256.967234099997	3456.2557468000014	3456.2557468000014	3484.2453462999983
2.09	4155.482165299996	4155.477775799998	4185.139771999995	4185.135382499997	3369.5500994999893	3369.5500994999893	3399.207706199988
2.1	4085.928460299998	4085.921875999993	4117.278216399995	4117.27163209999	3287.273450199995	3287.273450199995	3318.6232062999916
2.11	4020.3713882999873	4020.3669987999892	4053.4089042999985	4053.4045148000005	3209.452135899992	3209.452135899992	3242.489651900003
2.12	3958.898739199998	3958.8943497	3993.577925500009	3993.573536000011	3136.1432198999973	3136.1432198999973	3170.822406200008
2.13	3901.5895238000085	3901.5829395000037	3937.787474500001	3937.780890199996	3067.471802900007	3067.471802900007	3103.6697535999992
2.14	3848.6061534000037	3848.5995691999997	3886.1165623999987	3886.1099781999947	3003.5278696000023	3003.5278696000023	3041.0382785999973
2.15	3800.062754700004	3800.069338900008	3838.5805523000017	3838.5629943000094	2944.4299358999997	2944.454078099996	2982.9477334999974
2.16	3756.1085705999867	3756.1019862999965	3795.1816389999876	3795.1750546999974	2890.3426080999925	2890.3426080999925	2929.4156764999934
2.17	3716.4648680999962	3716.4582837999915	3755.1758034000086	3755.169219100004	2844.389009999999	2844.389009999999	2883.0999453000113
2.18	3682.088556799994	3682.08197259999	3720.7292601999943	3720.7226759999903	2797.311701899991	2797.311701899991	2835.9524052999914
2.19	3651.8888477999863	3651.884458299988	3689.5046045999916	3689.5002150999935	2758.2518020999996	2758.2518020999996	2795.867558900005
2.2	3625.975478099994	3625.971088700011	3662.0988074999914	3662.092223300002	2723.9215803999978	2723.9237752000045	2760.0449097999954
2.21	3604.0455731999973	3604.041183600013	3638.3121470999904	3638.3055628	2694.0401095999987	2694.0423043000046	2728.306683499992
