R	4B1_4A1	5B1_4B1	6B1_4B1	4B2_4A1	5B2_4B2	6B2_4B2	4A2_5B1	4A2_6B1	4A2_5B2	4A2_6B2	5A2_4B1	5A2_4B2	5A2_4A2	6A2_4B1	6A2_4B2	6A2_4A2
Intensities	7.149170384900084e-06	9.520499113785975e-05	8.753120076051293e-07	7.149170384900084e-06	9.520499113785975e-05	8.753595653404192e-07	1.1602894012781862e-05	9.542147359684933e-08	1.1602894012781862e-05	9.542147359684933e-08	7.093554558101011e-06	7.093554558101011e-06	6.459630182124728e-16	4.259957679297742e-06	4.259957679297742e-06	0.0001631590417539267
2.12	58.69410030267318	146.9931334269495	649.9565587789111	58.69410030267318	146.98654920776607	649.9543640308839	181.66793023115315	684.6313555831148	181.66134601196973	684.6291608350875	59.16158126115624	59.16158126115624	93.8363780653599	632.4073673655075	632.4073673655075	667.0821641697112
2.13	65.95432105871441	149.32614877312153	635.4975701620715	65.95432105871441	149.31956452901068	635.4953754140297	185.5219047471619	671.6933261361119	185.51532050305104	671.6911313880701	66.45691796089523	66.45691796089523	102.65267393493559	614.9744974984642	614.9744974984642	651.1702534725046
2.15	81.78283138026018	157.80225897081255	608.4978011692874	81.80477883572166	157.81323268606502	608.5153591286653	196.31566702981945	647.0112092282943	196.30469328961044	647.0068197322107	85.5775477241259	85.5994951795874	124.09095578313281	580.6398863911018	580.6618338465632	619.1532944501087
2.16	97.26896125692292	164.6542569155863	597.9761873942334	97.26896125692292	164.6476726714609	597.9739926462062	203.72293580479163	637.0448662834388	203.71635156066623	637.0426715354115	97.88787973042054	97.88787973042054	136.95655861962587	565.7814539302053	565.7814539302053	604.8501328194106
2.17	111.31533759135345	170.95098405508907	591.1395526857377	111.31533759135345	170.94659455900546	591.1373579377105	209.6553350439499	629.8439036745986	209.65094554786629	629.8417089265713	108.94940107445291	108.94940107445291	147.65375206331373	554.0702876650466	554.0702876650466	592.7746386539075
2.19	146.59149485979287	198.84840427308518	586.4954694987391	146.59368960783468	198.84620952504338	586.4954694987391	236.45538213966938	624.1024473653233	236.45099264358578	624.1002526172815	147.3530718312104	147.3552665792522	184.9600496977946	539.350124230943	539.3523189789848	576.9571020975272
2.2	167.14968346711248	215.03904774693365	590.2616541679745	167.14968346711248	215.03465825085004	590.2572646718909	251.14920859727135	626.3718150183122	251.14481910118775	626.3674255222286	167.96612908964744	167.96612908964744	204.07628993998514	537.8555020126514	537.8555020126514	573.9656628629891
2.22	213.3381193624955	253.70389329601312	608.4736589657987	213.3403141105373	253.70389329601312	608.4736589657987	285.85692659716005	640.6266922669456	285.85473184911825	640.6244975189038	214.27527602747432	214.27747077551612	246.42830932862125	545.883883984221	545.8860787322628	578.036917285368
2.23	238.3977326090244	275.5811244280485	622.1864338475134	238.3977326090244	275.5767349319649	622.1820443514298	305.50649021411664	652.1117996335815	305.50210071803303	652.1074101374979	239.4007316653442	239.4007316653442	269.32609745141235	554.8713700762601	554.8713700762601	584.7967358623282
2.25	290.9202063107077	322.7308591919136	656.5868873711443	290.922401033793	322.7286644189153	656.5846925981459	348.20088999773725	682.0569181769679	348.19650050165365	682.0525286808843	292.0724481340003	292.07464285708556	317.5424789398239	580.8835032240459	580.8856979471311	606.3535340298695
2.26	317.82999068370555	347.3778601310769	676.403251689524	317.82999068370555	347.37566538304964	676.3988621934404	370.7475187333621	699.7729102918092	370.74532398533484	699.7685207957256	319.065632857717	319.065632857717	342.4352914600022	597.0829256651195	597.0829256651195	620.4525842674047
2.28	371.78343896039587	397.48391813588387	719.3566315174248	371.78343896039587	397.48172338784207	719.3522420213558	417.0742236305814	738.9469370121224	417.0720288825396	738.9425475160533	373.1990503240668	373.1990503240668	392.7893558187643	633.9327160314133	633.9327160314133	653.5230215261108
2.3	424.74047244986286	447.33538561743626	764.7352060344128	424.74047244986286	447.33319086939446	764.7308165383292	463.75867218403437	781.158492601011	463.75647743599257	781.1541031049273	426.3623899796803	426.3623899796803	442.7856765462784	674.5684437993332	674.5684437993332	690.9917303659313
2.31	450.52435197604063	471.79363837477285	787.751510476548	450.52435197604063	471.78924887868925	787.7471209804644	486.8539874807757	802.8118595825508	486.8495979846921	802.8074700864672	452.2582015561493	452.2582015561493	467.3185506621521	695.6489819912968	695.6489819912968	710.7093310972996
2.33	500.2419399268838	519.2550271109649	833.5931764558918	500.2419399268838	519.2572218590067	833.5931764558918	531.977971399654	846.316120744581	531.9801661476959	846.316120744581	502.22599058406195	502.22599058406195	514.9489348727511	738.3565502631536	738.3565502631536	751.0794945518428
2.35	547.1261103774013	564.3658425665344	878.4208696137939	547.1261103774013	564.3658425665344	878.4208696137939	575.1881365737063	889.2431636209658	575.1881365737063	889.2431636209658	549.3976728033886	549.3976728033886	560.2199668105604	780.8424491076439	780.8424491076439	791.6647431148158
2.36	569.4488750124438	585.9643409219134	900.2717637942696	569.4488750124438	585.9643409219134	900.2717637942696	595.9723840545921	910.2798069269484	595.9723840545921	910.2798069269484	571.8696801804763	571.8696801804763	581.877723313155	801.7671603383933	801.7671603383933	811.775203471072
2.38	611.6692095685285	627.0675495984033	941.9873067001463	611.6692095685285	627.0675495984033	941.9873067001463	635.6797340748162	950.5994911765592	635.6797340748162	950.5994911765592	614.4126424490823	614.4126424490823	623.0248269254953	842.5301833679405	842.5301833679405	851.1423678443534
2.4	650.588645715703	665.3219776131155	934.7863440912915	650.588645715703	665.3219776131155	934.7863440912915	672.7841150392342	942.2484815174103	672.7841150392342	942.2484815174103	653.7183539271064	653.7183539271064	661.1804913532251	881.5417988579866	881.5417988579866	889.0039362841053
2.42	686.2598573071591	700.8000515516178	926.5428769863502	686.2598573071591	700.8000515516178	926.5428769863502	707.3118638245069	933.0546892592392	707.3118638245069	933.0546892592392	689.8285148024152	689.8285148024152	696.3403270753042	918.5913111463015	918.5913111463015	925.1031234191905
2.44	718.7442972880381	733.5873665375984	919.5416362745891	718.7442972880381	733.5873665375984	919.5416362745891	739.304680668356	925.2589504053467	739.304680668356	925.2589504053467	722.8045779452659	722.8045779452659	728.5218920760235	953.5580091904703	953.5580091904703	959.2753233212279
2.46	748.1297555051569	763.8068283366301	913.5829000839003	748.1297555051569	763.8068283366301	913.5829000839003	768.8547448388272	918.6308165860974	768.8547448388272	918.6308165860974	752.7387227484724	752.7387227484724	757.7866392506694	986.4023875756247	986.4023875756247	991.4503040778218
