R	10B1_10A1	10B1_11A1	11B1_10B1	10B2_10A1	10B2_11A1	11B2_10B2	10A2_11B1	10A2_11B2	11A2_10B1	11A2_10B2
Intensities	2.4684004889999995e-07	8.078054883999999e-07	1.1740970780099998e-05	2.4684004889999995e-07	8.078054883999999e-07	1.1740970780099998e-05	2.654722576e-07	2.654722576e-07	2.4729734409999997e-07	2.4729734409999997e-07
2e-08	11559752133564.053	99366903348460.47	111499247917770.45	11559338699318.87	99367316782705.66	111498834483525.27	11316658749014.932	11316658749014.932	11555617885281.44	11555204451036.258
2.0099999999999998e-08	11501045902148.14	96463425687266.0	114558999900295.45	11500219052492.166	96464252536921.97	114558173050639.47	11344358165409.568	11344358165409.568	11496911672705.402	11496084823049.43
2.0200000000000002e-08	11441512839916.129	93639325442383.61	117553844326076.19	11441099405668.205	93639738876631.53	117553430891828.27	11372057562967.072	11372057562967.072	11437378591633.518	11436965157385.594
2.03e-08	11382806589663.086	90898736880933.06	120482954270105.44	11381979740007.111	90899563730589.03	120482127420449.45	11400170432446.766	11400170432446.766	11378672360217.605	11377845510561.633
2.04e-08	11324100377084.307	88248274781327.75	123342608993697.02	11323273546265.465	88249101612146.6	123341782162878.17	11428283245415.06	11428283245415.06	11319966128804.436	11319139297985.594
2.0499999999999998e-08	11265807579916.318	85694140487733.14	126129914494803.44	11264980730260.346	85694967337389.12	126129087645147.47	11456809530302.805	11456809530302.805	11261259916225.658	11260433066569.684
2.0600000000000002e-08	11207101348503.148	83242535400828.88	128839909656643.5	11206274517684.309	83243362231647.72	128839082825824.67	11485749211764.207	11485749211764.207	11202967100220.537	11202140269401.695
2.07e-08	11149635382154.004	80898833996287.3	131468873721696.67	11148808551332.42	80899660827108.89	131468046890875.1	11514688893222.867	11514688893222.867	11145087718463.342	11144260887641.758
2.08e-08	11093409718545.889	78668824221705.73	134014739518726.05	11092169434641.99	78670064505609.62	134013499234822.16	11544042027769.326	11544042027769.326	11089275470263.275	11088035186359.377
2.09e-08	11038010866916.74	76565322256174.44	136472545987470.06	11037184017260.766	76566149105830.42	136471719137814.1	11573395124641.52	11573395124641.52	11033463203226.078	11032636353570.104
2.1000000000000003e-08	10980544938241.86	74586674343867.34	138840639409779.62	10979304654337.963	74587914627771.25	138839399125875.73	11601921390692.13	11601921390692.13	10975997255714.064	10974756971810.168
2.11e-08	10923492387300.764	72741975887519.78	141122740599689.44	10922665537644.79	72742802737175.75	141121913750033.47	11630034241331.951	11630034241331.951	10918944723610.102	10918117873954.129
2.12e-08	10867266723695.39	71037428174780.33	143325050957879.12	10866439874039.416	71038255024436.31	143324637542468.3	11657320242315.797	11656906808070.613	10862305625756.805	10861478776100.83
2.13e-08	10811041041250.143	69479646059419.17	145440128818599.53	10809800757346.244	69480886343323.07	145438888534695.62	11682539109742.512	11682539109742.512	10806493377556.74	10805253093652.842
2.1400000000000003e-08	10755642208458.127	68099636318777.82	147480376889024.25	10754401943391.363	68100876583844.586	147479136623957.47	11706931127513.252	11706931127513.252	10750681110522.283	10749440845455.518
2.15e-08	10749440845452.777	67283950498482.77	149446622075323.38	10746133446828.879	67287257897106.67	149443728092107.53	11728842596313.328	11728429180905.277	10695695711978.191	10692388313354.295
2.16e-08	10644017693220.865	65764203391967.08	151335556922356.16	10642777409319.709	65765443675868.24	151334730072700.2	11748686969227.799	11748273534982.615	10639056595282.28	10637816311381.121
2.17e-08	10578283249149.111	64857564279005.22	152544822519776.16	10577042965245.213	64858804562909.12	152543582235872.25	11728015746654.613	11728015746654.613	10599367868293.213	10598127584389.314
2.1800000000000003e-08	10536527407431.822	64098104141155.42	154885629941099.16	10535287142365.057	64099344406222.19	154884389676032.38	11779693765411.94	11779693765411.94	10531566328330.37	10530326063263.604
2.19e-08	10483609123610.47	63523031175278.71	156544287544998.8	10482782273954.498	63523858024934.68	156543460695342.84	11790029376697.162	11790029376697.162	10478648025671.885	10477821176015.912
2.2000000000000002e-08	10431931104855.885	63122009788924.25	158123154298343.94	10430690839791.861	63123250053988.27	158121914033279.94	11796644155110.562	11796644155110.562	10426556591506.508	10425316326442.484
2.21e-08	10380666520346.482	62894626491332.72	159620163086406.34	10379426236445.326	62895866775233.875	159618922802505.2	11797471004766.537	11797471004766.537	10375292006999.848	10374051723098.69
2.2200000000000004e-08	10329815332413.479	62840054527036.555	161031593076314.16	10328575067349.455	62841294792100.58	161030352811250.12	11792509906827.951	11792509906827.951	10324440819064.102	10323200554000.078
2.23e-08	10280204428381.633	62954573006649.79	162355377134510.25	10278964163314.867	62955813271716.555	162354136869443.5	11780934030475.963	11780934030475.963	10274829915032.256	10273589649965.49
2.2400000000000002e-08	10231006977432.102	63233634285321.64	163587794465791.62	10230180127776.129	63234461134977.61	163586967616135.62	11760676260990.576	11760676260990.576	10225632464085.467	10224805614429.492
2.25e-08	10183049772712.205	63670210169225.164	164725124256131.78	10181809507645.44	63671450434291.93	164723883991065.0	11730082880217.227	11730082880217.227	10177675259365.568	10176434994298.803
2.2599999999999997e-08	10135506002240.23	64257685861109.84	165762818841831.84	10134265718336.332	64258926145013.74	165761578557927.94	11688327019662.805	11688327019662.805	10130131488890.854	10128891204986.955
2.27e-08	10089615931080.205	64985725749693.18	166697157371188.34	10088375647176.307	64986966033597.08	166695917087284.44	11631274506395.975	11631274506395.975	10083827983485.645	10082587699581.746
2.29e-08	9999076034987.045	66822569162563.32	168228893769466.8	9997422335675.096	66824222861875.27	168227653504400.03	11464664592620.104	11464251158374.922	9993288106229.617	9991634406917.668
2.2999999999999998e-08	9955253078549.758	67907394103327.31	168814302346631.47	9954012813482.992	67908634368394.08	168813062081564.72	11347252129788.281	11347252129788.281	9949465130955.197	9948224865888.434
