R	12A1_9A1
Intensities	4.918905191095822e-07
2.0	1812.6914483
2.01	1832.3980754000077
2.02	1851.8084115999955
2.03	1870.8873412000103
2.04	1889.6019429000007
2.05	1907.9192955000035
2.06	1925.799893599993
2.07	1943.1998424000049
2.08	1960.070857100014
2.09	1976.3668484000082
2.1	1992.0175843000034
2.11	2006.9484434000042
2.12	2021.0760253000044
2.13	2034.2971770000004
2.14	2046.4955768999935
2.15	2055.8605592999957
2.16	2067.211787200009
2.17	2075.352101299999
2.18	2081.7410077999957
2.19	2086.1480583000084
2.2	2088.3537783999927
2.21	2088.1913672000082
2.22	2085.5752294999984
2.23	2080.5536500000017
2.24	2073.3263503999915
2.25	2064.2357112000027
2.26	2053.716292199999
2.27	2042.244353400005
2.29	2018.2338288000028
2.3	2006.4326779000112
2.31	1995.1538767999882
2.32	1984.5642259000015
2.33	1974.8063837999944
2.35	1958.0933906999999
2.36	1951.20847160001
2.37	1945.3024091999978
2.38	1940.3642300999927
2.4	1933.2532520000095
2.41	1931.0014423999964
2.43	1928.8110855999985
2.44	1928.8198646000092
2.46	1930.7402676000056
2.47	1932.6387230999972
2.49	1937.7195608000038
2.5	1940.8997481999977
2.52	1948.3201853999926
2.54	1956.8972540000104
2.55	1961.521584400005
2.57	1971.31234769999
2.59	1981.6166815000033
2.61	1992.234864099999
2.63	2002.9913156999974
2.65	2013.7609358999907
2.67	2024.4164290999906
2.69	2034.8151370999985
2.71	2044.9702283000079
2.74	2059.5170067
2.76	2068.6954358000075
2.79	2081.5939597000106
2.81	2089.5784468000056
2.84	2100.6092417000036
2.87	2110.4856001000007
2.89	2116.422388799998
2.92	2124.3717599000083
2.96	2133.238534899996
2.99	2138.6354161000054
3.02	2143.0117402000033
3.06	2147.3353904000105
3.09	2149.5213577999966
3.13	2151.1257172999904
3.17	2151.3495814000053
3.22	2149.8659329000075
3.26	2147.4604910000053
3.31	2143.101724799999
3.36	2137.4590320999996
3.42	2129.2397071000014
3.48	2119.7627926999994
3.54	2109.3070212999883
3.61	2096.193412099994
3.68	2082.4104054000054
3.76	2066.189035500007
3.85	2047.7465823999955
3.95	2027.3661681999947
4.05	2007.4707930000004
4.17	1984.4105935999978
4.31	1959.4168228000053
4.46	1934.627163199999
4.64	1907.864426900007
4.85	1880.6846886999992
5.11	1852.7170365999918
5.43	1826.0420901000034
5.85	1802.0535129999917
6.44	1783.5583859000035
7.37	1772.5144225999975
9.28	1767.725486100011
