12B1_9A1	12B2_9A1
Intensities	8.038915600000001e-09	8.038915600000001e-09
2e-08	341788891711494.5	341787651442817.6
2.0099999999999998e-08	345247184572240.8	345245944298862.94
2.0200000000000002e-08	348626926842143.2	348625686568765.3
2.03e-08	351924397715176.56	351923157446499.7
2.04e-08	355133809244206.8	355132568970831.7
2.0499999999999998e-08	358249373496211.4	358248133227534.56
2.0600000000000002e-08	361263648835621.06	361262408566944.25
2.07e-08	364168366787355.75	364167539938437.2
2.08e-08	366957739394884.75	366956499121506.8
2.09e-08	369620604230711.5	369619363957333.6
2.1000000000000003e-08	372143731698046.2	372142491429369.3
2.11e-08	374519680180118.3	374518439911438.7
2.12e-08	376733566401099.5	376732326132422.7
2.13e-08	378772987646020.5	378771747372642.56
2.1400000000000003e-08	380609417631893.0	380608177358515.1
2.15e-08	381043512970907.44	381040618999695.06
2.15e-08	381043512970907.44	381040618999695.06
2.16e-08	383588551920476.5	383587311651796.9
2.17e-08	385045871987503.56	385044218289666.4
2.1800000000000003e-08	385398522769162.75	385396869071325.5
2.19e-08	385762749430978.56	385761095733141.4
2.2000000000000002e-08	385710244566967.56	385709004293589.6
2.21e-08	385207934243890.7	385206280550754.5
2.2200000000000004e-08	384238868082427.3	384237627809049.44
2.23e-08	382811314557660.4	382809660859823.1
2.2400000000000002e-08	380959587876198.44	380958347602820.56
2.25e-08	378747768772809.94	378746115074975.5
2.2599999999999997e-08	376254407838338.8	376252754140501.56
2.27e-08	373567564407380.44	373565910709543.25
2.29e-08	367940448558798.56	367938794860964.1
2.2999999999999998e-08	365134125557845.75	365132471860008.56
2.3100000000000002e-08	362391056442742.7	362389816169364.75
2.32e-08	359759198427252.25	359760025276170.9
2.33e-08	357257982432755.4	357258809281674.0
2.3500000000000002e-08	352687992089639.94	352688818933857.5
2.36e-08	350628313065020.06	350628726489482.1
2.37e-08	348717880152657.6	348718293577116.94
2.3799999999999998e-08	346955039659413.56	346955453083872.9
2.4e-08	343841542525007.25	343841955949466.56
2.41e-08	342476002617413.1	342476416041875.2
2.4300000000000003e-08	340075248686592.56	340075662111051.9
2.44e-08	339032593032500.7	339033419881419.3
2.46e-08	337213940279568.44	337214353704027.75
2.4700000000000003e-08	336450345909808.9	336450759334268.2
2.49e-08	335066201915649.4	335066615340108.6
2.5e-08	334460948991545.25	334461362416004.56
2.52e-08	333393487879302.8	333393901303762.1
2.5400000000000002e-08	332483127944041.7	332483127944041.7
2.55e-08	332073011204857.1	332073424629319.2
2.57e-08	331328434350815.2	331328847770576.2
2.59e-08	330656620135787.56	330657033560246.9
2.61e-08	330031936271501.1	330031936271501.1
2.63e-08	329430404158128.6	329430817582587.94
2.65e-08	328837967378159.8	328837967378159.8
2.67e-08	328236021845026.3	328236021845026.3
2.69e-08	327586532536692.44	327586532536692.44
2.71e-08	326928361314713.2	326928361314713.2
2.7400000000000004e-08	325857592816198.4	325857592816198.4
2.76e-08	325076634633254.0	325076634633254.0
2.7900000000000002e-08	323790472160715.94	323790472160715.94
2.81e-08	322849518838977.2	322849518838977.2
2.84e-08	321305793135186.4	321305793135186.4
2.8700000000000002e-08	319595870930415.44	319595870930415.44
2.89e-08	318361386472972.5	318361386472972.5
2.92e-08	316367028465901.06	316367028465901.06
2.96e-08	313441639310010.94	313441639310010.94
2.99e-08	311052461254643.2	311052461254643.2
3.02e-08	308500807518429.1	308500807518429.1
3.06e-08	304855233532788.94	304855233532788.94
3.09e-08	301946381345863.4	301946381345863.4
3.13e-08	297853482443212.1	297853482443212.1
3.17e-08	293535680818082.3	293535680818082.3
3.2200000000000004e-08	287836215745548.75	287836629170008.06
3.26e-08	283077703994759.44	283078117419218.75
3.31e-08	276911069654679.03	276911483079138.34
3.3599999999999996e-08	270538963518202.0	270539790367120.62
3.42e-08	262678117088698.25	262678943937616.84
3.48e-08	254651074158214.38	254650660733755.06
3.54e-08	246517781226327.78	246518194646088.78
3.61e-08	236972644880323.53	236972644880323.53
3.6800000000000005e-08	227442805234604.22	227442805234604.22
3.76e-08	216687576464848.38	216687576464848.38
3.85e-08	204795844754572.8	204795844754572.8
3.95e-08	192005742404247.28	192005742404247.28
4.05e-08	179746476641177.06	179746476641177.06
4.17e-08	165841782837267.28	165850464746208.88
4.3099999999999996e-08	150845235906222.53	150845235906222.53
4.46e-08	136292706482413.97	136292706482413.97
4.64e-08	120922010711932.2	120922010711932.2
4.85e-08	105792341203741.4	105792341203741.4
5.11e-08	90990103613401.36	90990103613401.36
5.4299999999999997e-08	78100779477475.81	78100779477475.81
5.8499999999999994e-08	68413425230321.305	68413425230321.305
6.440000000000001e-08	63473006863201.52	63473006863201.52
7.37e-08	62639543811539.57	62639543811539.57
9.28e-08	63131518527837.65	63131518527837.65
