10A1_7A1	10A1_8A1	11A1_7A1	11A1_8A1	9B1_10A1	9B1_11A1	11B1_7A1	11B1_8A1	11B1_9B1	9B2_10A1	9B2_11A1	11B2_7A1	11B2_8A1	11B2_9B2	9A2_11B1	9A2_11B2	11A2_9B1	11A2_9B2	11A2_9A2
Intensities	3.8034750624999998e-06	1.0000000000000001e-16	1.0000000000000001e-16	3.8119048081e-06	1.943399056e-07	7.756225e-08	1.876882329e-07	4.27993344e-08	1.0785030201000002e-06	1.943399056e-07	7.756225e-08	1.876882329e-07	4.27951969e-08	1.0785030201000002e-06	1.846163089e-07	1.846163089e-07	1.953905209e-07	1.953905209e-07	3.7699270569e-06
2e-08	608454897974610.9	156118460706631.2	719381553456635.4	267045116188655.7	472800931771814.56	583727587253839.1	508515402190404.44	56178964922424.77	372861435987608.2	472800931771814.56	583727587253839.1	508515402190404.44	56178964922424.77	372861435987608.2	372272720030654.0	372272720030654.0	472805066020097.2	472805066020097.2	472216350063143.0
2.0099999999999998e-08	583409664116668.5	159095941289628.25	691374135706082.6	267060412879042.38	473000615634171.56	580965087223585.8	480351710118521.25	56037987291480.93	369942661636024.25	473000615634171.56	580965087223585.8	480351710118521.25	56037987291480.93	369942661636024.25	369400662599888.8	369400662599888.8	473004749863614.3	473004749863614.3	472462750827478.9
2.0200000000000002e-08	559356648151002.75	162005620313825.3	664437486433302.5	267086458596125.06	472742225540398.6	577823063822698.4	453244316664842.7	55893288827665.26	366629894054238.56	472742225540398.6	577823063822698.4	453244316664842.7	55893288827665.26	366629894054238.56	366138746187201.75	366138746187201.75	472746359788681.25	472746359788681.25	472255211921644.44
2.03e-08	536273111796829.06	164846257532998.28	638554655267425.2	267127801003594.44	471964574766620.56	574246118237216.8	427172964116386.7	55746109852555.93	362864427086178.25	471964574766620.56	574246118237216.8	427172964116386.7	55746109852555.93	362864427086178.25	362428678051930.7	362428678051930.7	471968708996066.06	471968708996066.06	471532959961818.5
2.04e-08	514140037493217.3	167618266324878.16	613712412651629.4	267190641483290.22	470603169077318.3	570175544235730.4	402121528876604.6	55599757708265.45	358584660460705.56	470603169077318.3	570175544235730.4	402121528876604.6	55599757708265.45	358584660460705.56	358206790808215.25	358206790808215.25	470607303325598.1	470607303325598.1	470229433673107.8
2.0499999999999998e-08	492937580942601.7	170321646727141.97	589897529010251.1	267281594794791.4	468586899609250.75	565546847676900.2	378073474027714.56	55457539812254.836	353722792694363.7	468586899609250.75	565546847676900.2	378073474027714.56	55457539812254.836	353722792694363.7	353406109803422.75	353406109803422.75	468591447272941.44	468591447272941.44	468274764382000.5
2.0600000000000002e-08	472650858813486.6	172955985286701.88	567100495562818.6	267405622036033.9	465847551294029.9	560297188043361.9	355018050505346.3	55323176978561.52	348214742985889.5	465847551294029.9	560297188043361.9	355018050505346.3	55323176978561.52	348214742985889.5	347959660309577.6	347959660309577.6	465851685542312.5	465851685542312.5	465596602866000.56
2.07e-08	453262920753856.0	175521282022403.28	545311390132297.3	267569751400844.6	462319389781761.2	554367859160202.5	332943682414313.4	55202043682860.62	342000151442218.56	462319389781761.2	554367859160202.5	332943682414313.4	55202043682860.62	342000151442218.56	341807082377112.06	341807082377112.06	462323937445451.9	462323937445451.9	462130868380345.4
2.08e-08	434762190887349.6	178017536934237.94	524524424827601.25	267779770874489.56	457960245739973.7	547722479680225.3	311840861087169.44	55096207134057.79	335038915939793.56	457960245739973.7	547722479680225.3	311840861087169.44	55096207134057.79	335038915939793.56	334905793352329.9	334905793352329.9	457964379988256.3	457964379988256.3	457831257400792.6
2.09e-08	417128824841061.2	180435654675990.16	504732157964152.4	268038987799081.34	452739112391323.1	540342445514414.3	291694289720507.9	55001119555436.836	327304577270769.75	452739112391323.1	540342445514414.3	291694289720507.9	55001119555436.836	327304577270769.75	327228507234244.44	327228507234244.44	452743660055013.75	452743660055013.75	452667590018488.44
2.1000000000000003e-08	400321893622924.0	182794239317833.34	485889112905033.2	268361458599942.56	446666738724825.6	532233958006934.8	272461799151386.22	54934144846295.58	318806644253287.9	446666738724825.6	532233958006934.8	272461799151386.22	54934144846295.58	318806644253287.9	318783905934831.8	318783905934831.8	446671286407353.44	446671286407353.44	446648548088897.4
2.11e-08	384426976068769.5	185083782192323.94	468092444343590.06	268749250467144.47	439798110233213.8	523463578508034.3	254227727856380.84	54884533979935.26	309598862020825.1	439798110233213.8	523463578508034.3	254227727856380.84	54884533979935.26	309598862020825.1	309625321172153.0	309625321172153.0	439802657896904.44	439802657896904.44	439829117048232.3
2.12e-08	369391567253670.4	187304283186439.12	451296262152146.06	269208978084914.84	432281646100149.56	514186340998625.3	236933783019486.62	54846498952255.4	299823861865965.8	432281646100149.56	514186340998625.3	236933369585241.47	54846085518010.21	299823448431720.6	299896211088453.75	299895797654208.56	432286607198088.1	432286607198088.1	432358956420576.06
