R	9A1_8A1	9B1_9A1	9B2_9A1
Intensities	1.7220339927845554e-05	1.002512657672214e-06	1.002512657672214e-06
2.0	37.03853859999799	1718.2120095999999	1718.2120095999999
2.01	36.22209290000319	1702.6490635999944	1702.6490635999944
2.02	35.49563190000481	1685.1042617000057	1685.1042617000057
2.03	34.87451870000223	1665.2747288999963	1665.2747288999963
2.04	34.38070080000034	1642.8378374000022	1642.8378374000022
2.05	34.03832039999543	1617.440233299989	1617.440233299989
2.06	33.871519699998316	1588.7461201000115	1588.7461201000115
2.07	33.91980400000466	1556.4460388000007	1556.4460388000007
2.08	34.21609489999537	1520.3490464999923	1520.3490464999923
2.09	34.76478139999381	1480.3432108999987	1480.3432108999987
2.1	35.717301199998474	1436.5382694	1436.5382694
2.11	37.086822999990545	1389.2897710999969	1389.2897710999969
2.12	38.95674680000229	1339.4690301000082	1339.4690301000082
2.13	41.428031100003864	1283.138671599998	1283.138671599998
2.14	44.57529740000609	1232.6090275000024	1232.6090275000024
2.15	32.11275359999854	1184.1204976000008	1184.1226923000067
2.16	53.70105249999324	1123.1043555999931	1123.1043555999931
2.17	60.002169100000174	1008.8612263999967	1008.8634212000034
2.18	67.7452340000018	1016.7008601999987	1016.7008601999987
2.19	77.16069569998945	966.3687434000021	966.3687434000021
2.2	88.46802860000753	918.725190600002	918.725190600002
2.21	101.84939679999661	874.2179304000019	874.2201251999941
2.22	117.39039539999794	833.1608113999973	833.1608113999973
2.23	135.05371350000496	795.6855183000007	795.6855183000007
2.24	154.6527980999963	761.7459615999978	761.7459615999978
2.25	175.85185259999707	731.1160821999947	731.1182770000014
2.26	198.23607009999978	703.4666683000105	703.4688631000026
2.27	221.3401642999961	678.4026654999907	678.4026654999907
2.29	267.98510750000423	634.5274923000106	634.5274923000106
2.3	290.8192479999998	615.1083770999976	615.110571799989
2.31	312.99276980001014	597.1487679999991	597.1487679999991
2.32	334.3037563999969	580.5016172999894	580.5016172999894
2.33	354.64466510000057	565.5532003000117	565.5532003000117
2.35	392.1814110999985	533.6701208000013	533.6701208000013
2.36	409.3289638999995	521.8689698999951	521.8689698999951
2.37	425.41206489999604	510.6867376000009	510.6867376000009
2.38	440.41754530000617	500.4065458999976	500.4065458999976
2.4	467.5182725999912	483.15803479999886	483.15803479999886
2.41	479.66619340000034	476.2226364000089	476.2226364000089
2.43	501.4380766999966	465.6571277999901	465.6571277999901
2.44	511.1212972999929	461.84704809999675	461.84704809999675
2.46	528.3566399999982	456.77279469999485	456.77279469999485
2.47	535.8999830999965	455.1442929000041	455.1442929000041
2.49	549.428399299999	453.78574500000104	453.78574500000104
2.5	555.3893301999924	453.71770789999573	453.71770789999573
2.52	565.8889965000126	454.3980792000075	454.3980792000075
2.54	574.685539699989	455.74784819998604	455.74784819998604
2.55	578.5241510000051	456.55551489999925	456.55551489999925
2.57	585.1720373999997	458.26741690000927	458.26741690000927
2.59	590.6150082999957	459.9463978999993	459.9463978999993
2.61	595.0023062000109	461.4739413000061	461.4739413000061
2.63	598.4656159000006	462.7820100999961	462.7820100999961
2.65	601.116869400008	463.81573560000106	463.81573560000106
2.67	603.0548303999967	464.57072830000834	464.57072830000834
2.69	604.4441048000008	465.18086780000885	465.18306250000023
2.71	605.1969027000014	465.3893686999945	465.3893686999945
2.74	605.4273510999919	465.23573639999086	465.23793119999755
2.76	605.0542442000005	464.8538505999895	464.8538505999895
2.79	603.8186021000001	463.9123045000015	463.91449919999286
2.81	602.6027125999972	463.0761060999939	463.0761060999939
2.84	600.2631130999944	461.55514690000564	461.55514690000564
2.87	597.3901901000063	459.78618140000617	459.78618140000617
2.89	595.2151965999947	458.50444950000383	458.50444950000383
2.92	591.6114230999956	456.4765039999911	456.47869869999704
2.96	586.2628263999941	453.6979551999975	453.6979551999975
2.99	581.904060300003	451.64147790000425	451.64147790000425
3.02	577.2928982999874	449.6925431999989	449.6925431999989
3.06	570.8183966999932	447.3814752999897	447.3814752999897
3.09	565.7682854000013	445.9724481000012	445.9746429000079
3.13	558.8131343999994	444.66218470000604	444.66218470000604
3.17	551.6845983999956	444.16397719999077	444.16397719999077
3.22	542.6115171999991	445.04626519999874	445.04626519999874
3.26	535.3249594999943	447.1883375999896	447.1883375999896
3.31	526.2891890000028	451.904847400001	451.904847400001
3.36	517.431192899996	459.07288880000124	459.0706940999953
3.42	507.25195960000565	470.79722360000596	470.7950287999993
3.48	497.77504509998835	484.9335845000023	484.9335845000023
3.54	489.26601360000495	498.8021863000031	498.8021863000031
3.61	480.89744610000344	508.65001300000586	508.652207799998
3.68	474.59632939999574	509.44231639998907	509.44231639998907
3.76	470.4021691999951	505.42373589999625	505.42593070000294
3.85	470.0532045	501.05180129999644	501.05180129999644
3.95	475.4764226000116	499.8995595000015	499.8995595000015
4.05	486.9154404000001	504.25832559999253	504.25832559999253
4.17	507.4494868000038	517.3455979000137	517.3302346000128
4.31	538.0420554000011	542.2120733999909	542.2120733999909
4.46	574.7360189000028	576.6498376999953	576.6498376999953
4.64	619.1532943999919	622.3795714999869	622.3795714999869
4.85	666.8100156	674.4916276000004	674.4916276000004
5.11	715.9350221000059	730.1657571000105	730.1657571000105
5.43	760.6310303999926	781.1299607999972	781.1299607999972
5.85	797.7376061000105	820.7407421000098	820.7407421000098
6.44	822.9969412999926	841.5974161999911	841.5974161999911
7.37	835.175588500002	844.5120392999961	844.509844500004
9.28	831.7078894000006	840.3178790999955	840.3156843999896
