R	8B1_12A1	8B2_12A1
Intensities	5.793054484001097e-10	5.793054484001097e-10
2.12	3297.4877994636918	3297.4877994636918
2.13	3317.170284276319	3317.170284276319
2.15	3239.726466304972	3239.726466304972
2.16	3190.061552282161	3190.061552282161
2.17	3083.9631266674114	3083.9631266674114
2.19	3052.2687953325803	3052.2687953325803
2.2	3006.835352189446	3006.8375469374732
2.22	2918.496813600432	2918.496813600432
2.23	2876.004330511816	2876.0065252598724
2.25	2795.1279293489206	2795.1279293489206
2.26	2756.9612911809963	2756.9612911809963
2.28	2685.6035047368496	2685.6056994848914
2.3	2621.3391383223643	2621.3391383223643
2.31	2592.1051176203036	2592.1051176203036
2.33	2540.181809634785	2540.181809634785
2.35	2526.519513908119	2526.519513908119
2.36	2533.836798088276	2533.836798088276
2.38	2549.232943370109	2549.232943370109
2.4	2564.664204620596	2564.664204620596
2.42	2579.955002096249	2579.955002096249
2.44	2595.087777837718	2595.087777837718
2.46	2610.0296106493042	2610.0296106493042
2.48	2624.683931692096	2624.6861264401377
2.5	2639.131946593683	2639.131946593683
2.52	2653.2573337827343	2653.2573337827343
2.54	2666.996445615994	2666.996445615994
2.56	2680.285634450149	2680.285634450149
2.59	2699.2745794307266	2699.2745794307266
2.61	2711.2249730577023	2711.2249730577023
2.63	2722.563032430364	2722.565227178391
2.66	2738.3498425640573	2738.352037312099
2.68	2748.116463586877	2748.118658334919
2.71	2761.324446818384	2761.324446818384
2.73	2769.2430914877186	2769.245286210804
2.76	2779.7888474662614	2779.7910421893466
2.79	2788.7434123875864	2788.7456071106717
2.82	2796.137512649366	2796.1397073974076
2.85	2802.0062642452394	2802.0084589932812
2.88	2806.408925347365	2806.408925347365
2.91	2809.3871960686956	2809.3893908167374
2.94	2811.0178925657237	2811.0178925657237
2.97	2811.3690519778174	2811.3712467258592
3.01	2809.968803825497	2809.968803825497
3.04	2807.611646300764	2807.611646300764
3.08	2802.875383795821	2802.875383795821
3.12	2796.4711140771396	2796.4711140771396
3.16	2788.594169620599	2788.594169620599
3.2	2779.3937931183027	2779.3915983702464
3.24	2769.1267699413293	2769.1267699413293
3.28	2757.9818482216506	2757.9818482216506
3.33	2743.1475579891994	2743.1475579891994
3.37	2730.8789261707425	2730.8789261707425
3.42	2715.531065295916	2715.531065295916
3.47	2701.056713442784	2701.056713442784
3.53	2687.0717900285526	2687.0717900285526
3.58	2681.1701172120665	2681.1701172120665
3.64	2683.709438674501	2683.709438674501
3.7	2694.705117652149	2694.705117652149
3.77	2713.17829724231	2713.17829724231
3.83	2731.2015538832784	2731.2015538832784
3.9	2752.951489703759	2752.951489703759
3.98	2777.379016013496	2777.379016013496
4.06	2800.035382076312	2800.035382076312
4.14	2820.3411748585204	2820.3411748585204
4.23	2839.4837520772126	2839.4837520772126
4.32	2853.6640079174103	2853.6640079174103
4.42	2863.323086386008	2863.323086386008
4.53	2866.7095799186063	2866.7095799186063
4.64	2863.7181407339813	2863.7181407339813
4.76	2855.3781047651282	2855.3781047651282
4.89	2843.080941272041	2843.080941272041
5.03	2828.529773287388	2828.529773287388
5.19	2812.341324586523	2812.341324586523
5.35	2797.8230778224824	2797.8230778224824
5.54	2783.3311679850303	2783.3311679850303
5.74	2771.4883169372188	2771.4883169372188
5.96	2761.963117999301	2761.963117999301
6.21	2754.6370548768755	2754.6370548768755
6.5	2749.310405598022	2749.312600346064
6.82	2745.77905879452	2745.77905879452
7.19	2743.277048023825	2743.277048023825
7.62	2742.2850226827577	2742.2850226827577
8.14	2741.681467445538	2741.681467445538
8.76	2741.2139864870696	2741.2139864870696
9.55	2740.854048082794	2740.854048082794
10.56	2740.636768226337	2740.638962949437
11.96	2740.542394110482	2740.542394110482
14.03	2740.522641403062	2740.522641403062
17.58	2740.520446655035	2740.520446655035
25.83	2740.529225647202	2740.5270308991603
