R	10A1_6A1	11A1_5A1	7B1_10A1	7B1_11A1	11B1_5A1	11B1_6A1	11B1_7B1	7B2_10A1	7B2_11A1	11B2_5A1	11B2_6A1	11B2_7B2	7A2_11B1	7A2_11B2	11A2_7B1	11A2_7B2	11A2_7A2
Intensities	8.00414663693996e-06	7.99379561184663e-06	6.19289505661779e-07	1.118544917862617e-07	2.6798126180885523e-07	6.003161868721678e-07	1.6845672213650944e-06	6.19289505661779e-07	1.118544917862617e-07	2.6798126180885523e-07	6.003161868721678e-07	1.6845672213650944e-06	6.152160318627063e-07	6.152160318627063e-07	6.22935028315323e-07	6.22935028315323e-07	8.297719399989334e-06
2.12	2099.094866749874	4250.936071326971	2294.8311207709194	2729.739852835686	3873.7886723959673	2156.8561998836376	2352.5924539046828	2294.8311207709194	2729.739852835686	3873.7842828998837	2156.851810387554	2352.588064408599	2352.952392308958	2352.9480028128746	2294.855262974408	2294.855262974408	2295.2152013786836
2.13	2114.236421483496	4175.539951681043	2250.923026293691	2677.263468792953	3806.662356806526	2171.6992691082414	2308.385873918436	2250.923026293691	2677.263468792953	3806.6579673104425	2171.694879612158	2308.3814844223525	2308.974065919363	2308.9696764232795	2250.949363245236	2250.949363245236	2251.537555246163
2.15	2190.3282757095003	4036.7200534716394	2277.163413063099	2691.51834601663	3679.500950934249	2247.4641061256407	2334.2992434792395	2277.163413063099	2691.51834601663	3679.483392974871	2247.446548166263	2334.2816855198616	2214.562664341327	2214.545106381949	2277.450924806966	2277.450924806966	2157.7143456690537
2.16	2157.8394462325377	3970.820601064057	2291.9933138244232	2697.7228938132757	3621.6649964419485	2214.4134215992817	2348.567289191167	2291.9933138244232	2697.7228938132757	3621.658412197823	2214.4068373551563	2348.560704947042	2204.5019473055727	2204.4953630614473	2292.019650775954	2292.019650775954	2147.9543088903592
2.17	2171.767306222653	3909.405015361248	2340.203111018811	2740.77064773209	3565.0624893756176	2227.9923169503018	2396.4281217464595	2340.203111018811	2740.77064773209	3565.058099879534	2227.987927454218	2396.423732250376	2261.7123991052067	2261.708009609123	2340.0933737165615	2340.0933737165615	2205.3776510753087
2.19	2198.6990381010255	3796.395333629567	2333.948084092088	2726.9305775887624	3459.135253933404	2254.421451901537	2389.670497892599	2333.948084092088	2726.9305775887624	3459.1286696892785	2254.4148676574114	2389.6639136484737	2244.6745835861366	2244.667999342011	2333.974421043633	2333.974421043633	2188.9785067371704
2.2	2211.6985204183147	3744.6344368743594	2347.3579839686863	2737.937230256721	3409.501066358236	2267.144396190226	2402.8038597405975	2347.3579839686863	2737.937230256721	3409.4944821141107	2267.1378119461006	2402.797275496472	2257.458980770083	2257.4523965259577	2347.386515668273	2347.386515668273	2202.041636697759
2.22	2236.7625231609272	3650.1528034088988	2373.3196379364963	2761.8621596642624	3316.5140551360237	2291.6662966158183	2428.2234113913873	2373.3196379364963	2761.8621596642624	3316.5074708918983	2291.659712371693	2428.216827147262	2282.112565978314	2282.1059817341884	2373.348169636083	2373.348169636083	2227.2373242230096
2.23	2248.824848838194	3607.24112374385	2385.8713920526498	2774.7562942003424	3272.9944307376863	2303.463057979723	2440.5096011941787	2385.8713920526498	2774.7562942003424	3272.9900412416027	2303.4586684836395	2440.505211698095	2293.9795592046867	2293.975169708603	2385.8999237522366	2385.8999237522366	2239.3698817627446
