R	9A1_5A1	9A1_6A1	7B1_9A1	7B2_9A1
Intensities	0.0001356708424178317	2.5838520728498914e-15	9.451761481107111e-06	9.451761481107111e-06
2.12	2860.6498853928642	1143.7174128805345	1339.4536669015797	1339.4536669015797
2.13	2784.867490391145	1149.9044026928605	1286.5910075030552	1286.5910075030552
2.15	2650.0595884070062	1218.022743598398	1304.8578809519968	1304.8578809519968
2.16	2580.9601959006104	1173.7086210579437	1307.8624886498292	1307.8624886498292
2.17	2521.0194797086733	1183.9493072833575	1352.3851120795152	1352.3851120795152
2.19	2413.836849409985	1209.123047378118	1344.3720933691802	1344.3720933691802
2.2	2366.853915347543	1224.497245179533	1360.1567087299045	1360.1567087299045
2.22	2286.488890078981	1261.6411315587757	1398.1982463343447	1398.1982463343447
2.23	2252.981698309406	1283.4503255514428	1420.4968687658984	1420.4968687658984
2.25	2197.968187577222	1332.5753320052754	1470.6929113904625	1470.6929113904625
2.26	2175.546659380154	1359.1273727220541	1497.8309494100395	1497.8309494100395
2.28	2138.2447512417566	1413.9192141016974	1553.9045225977025	1553.9045225977025
2.3	2107.8365412858693	1468.2435745228577	1609.6708313590207	1609.6708313590207
2.31	2094.3388515125553	1494.490545511435	1636.7254689779802	1636.7254689779802
2.33	2069.3626386417163	1544.1137593713793	1688.0803376699914	1688.0803376699914
2.35	2046.2190388880408	1589.3672333248687	1735.2827463369467	1735.2827463369467
2.36	2035.10703838896	1610.2568286119204	1757.258741031008	1757.258741031008
2.38	2013.5765771729493	1648.5134513746743	1797.3677296682872	1797.3677296682872
2.4	1992.820861416607	1682.3674130353174	1786.602499085231	1786.604693808331
2.42	1972.7762434766191	1712.0272145579365	1773.2277151273738	1773.2299098754156
2.44	1953.5107604175282	1737.8505994989537	1759.978031683102	1759.978031683102
2.46	1934.9322329962597	1760.0570425626793	1746.8600330713962	1746.862227819438
2.48	1916.9748187715886	1778.8857710610173	1733.8803034365556	1733.8824981845974
2.5	1899.9457822446857	1794.8042660023493	1721.4075602249504	1721.4075602249504
2.52	1883.7002701197052	1807.968354297962	1709.3408450516	1709.3430397996417
