R	7A1_5A1	7A1_6A1	8A1_5A1	8A1_6A1	7B1_7A1	7B1_8A1	9B1_5A1	9B1_6A1	9B1_7B1	7B2_7A1	7B2_8A1	9B2_5A1	9B2_6A1	9B2_7B2	7A2_9B1	7A2_9B2	9A2_7B1	9A2_7B2	9A2_7A2
Intensities	2.5838520728498914e-15	6.301936032319211e-05	7.306604943937536e-05	2.5838520728498914e-15	4.1241440483832084e-06	1.704285071961794e-06	1.333193319247148e-06	3.5179127943023436e-06	1.0078643223960556e-05	4.1241440483832084e-06	1.704285071961794e-06	1.333193319247148e-06	3.518008135214016e-06	1.0078643223960556e-05	3.5349038282910017e-06	3.5349038282910017e-06	4.244653898128803e-06	4.244653898128803e-06	6.541195643301374e-05
2.12	1855.1005310775217	138.16805856519204	2821.607543455204	1104.6750709428743	333.9043125862372	1300.4113249639195	2603.985279334913	887.0528068225831	1082.7890608436282	333.9043125862372	1300.4113249639195	2603.985279334913	887.0528068225831	1082.7890608436282	1083.1489992479037	1083.1489992479037	1302.979178125941	1302.979178125941	1303.3391165302164
2.13	1863.5151884048973	228.5521007066127	2743.3560588784458	1108.392971180161	365.2387055168074	1245.0795759903558	2527.1120954300713	892.1490077317867	1028.8356125419814	365.2387055168074	1245.0795759903558	2527.1120954300713	892.1490077317867	1028.8356125419814	1029.4238045429083	1029.4238045429083	1247.6430396812357	1247.6430396812357	1248.2312316821626
2.15	1986.8840726813505	554.8472278727422	2517.856850276643	1085.8200054680347	641.6823652263411	1172.6551428216335	2381.675037116671	949.6381923080626	1036.4733296616614	641.6823652263411	1172.6551428216335	2381.672842368629	949.6359975600208	1036.4711349136196	916.7367505237489	916.7345557757071	1252.361744201844	1252.361744201844	1132.6251650639315
2.16	1877.2762477185752	470.02467287590844	2527.1779378214123	1119.9263629787456	604.1785404677939	1254.080230570631	2315.319077490829	908.0675026481622	1042.2213702400477	604.1785404677939	1254.080230570631	2315.316882742787	908.0653079001204	1042.219175492006	898.1560283544532	898.1538336064114	1256.573462374101	1256.573462374101	1112.5081204885064
2.17	1877.414516720397	540.3443442950811	2460.9361049938743	1123.8659325685585	708.7801490912389	1292.3017373647162	2220.510426816778	883.4402543914621	1051.8760591876198	708.7801490912389	1292.3017373647162	2220.510426816778	883.4402543914621	1051.8760591876198	917.160336546367	917.160336546367	1274.476007922698	1274.476007922698	1139.7602852814452
2.19	1869.6912045019562	664.9774024700891	2336.59494810873	1131.881146076863	800.2264484611514	1267.1301920679252	2129.6457352535654	924.9319332216983	1060.1809792127606	800.2264484611514	1267.1301920679252	2129.6435405055236	924.9297384736565	1060.1787844647188	915.1850649062981	915.1828701582563	1269.6102553831588	1269.6102553831588	1124.6143410766963
2.2	1861.370921265494	719.0142510974838	2278.3024863732135	1135.9458162052033	854.6737146478554	1271.6052797555749	2073.0915125942556	930.7348424262455	1066.394305976617	854.6737146478554	1271.6052797555749	2073.0915125942556	930.7348424262455	1066.394305976617	921.0494270061026	921.0494270061026	1274.0809535996814	1274.0809535996814	1128.736074629167
2.22	1835.0032392344583	810.1554807142529	2169.0128996268613	1144.165141106656	946.712595489822	1280.722255882225	1967.429841465404	942.5820829451986	1079.1391977207677	946.712595489822	1280.722255882225	1967.429841465404	942.5820829451986	1079.1391977207677	933.0283523076941	933.0283523076941	1283.193540230248	1283.193540230248	1137.0826948171743
2.23	1816.9360876576247	847.4047148996615	2117.842389645535	1148.311016887572	984.4512581141171	1285.3575601020275	1918.1468133023009	948.6154405443376	1085.6619837587932	984.4512581141171	1285.3575601020275	1918.1468133023009	948.6154405443376	1085.6619837587932	939.1319417693012	939.1319417693012	1287.8244549290248	1287.8244549290248	1141.2944129395328
2.25	1772.1149787438626	906.7221231719159	2022.0307399151789	1156.6378843432321	1044.839702557103	1294.7554637284193	1826.248396235169	960.8555406632222	1098.9731200484093	1044.839702557103	1294.7554637284193	1826.246201487127	960.8533459151804	1098.9709253003675	951.527868874342	951.5256741263001	1297.2157743362332	1297.2157743362332	1149.7705231621658
2.26	1746.1840511987393	929.7647645406396	1977.2271889607946	1160.8079023026949	1068.468341228625	1299.5114789906802	1783.4662066047604	967.0469199466606	1105.750496634646	1068.468341228625	1299.5114789906802	1783.4662066047604	967.0469199466606	1105.750496634646	957.8026485334412	957.8026485334412	1301.9674001024105	1301.9674001024105	1154.0195520012057
2.28	1689.7834607775148	965.4579236374557	1893.4471384351054	1169.1216012950463	1105.4432321334607	1309.1069097910513	1703.867147778743	979.5416106386838	1119.5269191346888	1105.4432321334607	1309.1069097910513	1703.867147778743	979.5416106386838	1119.5269191346888	970.4816979112074	970.4816979112074	1311.554051910629	1311.554051910629	1162.5088306871476
2.3	1630.3826521795127	990.789685416501	1816.9448666747485	1177.3518999117368	1132.216942252664	1318.7791567478998	1631.7477843881352	992.1548176251235	1133.5820744612865	1132.216942252664	1318.7791567478998	1631.7455896400934	992.1526228770817	1133.5798797132447	983.2990163157519	983.2968215677101	1321.219714623352	1321.219714623352	1170.9366564778175
2.31	1600.479233823935	1000.6309278228146	1781.2714602853375	1181.4231542842172	1142.8658512893599	1323.6580777507625	1598.3525246688514	998.504218667731	1140.7391421342763	1142.8658512893599	1323.6580777507625	1598.3525246688514	998.504218667731	1140.7391421342763	989.7801021410269	989.7801021410269	1326.0701039515843	1326.0701039515843	1175.1110639583349
2.33	1541.4076371825795	1016.1587579122424	1714.6521311191318	1189.4032518487948	1160.1253362108546	1333.369830147407	1537.3012668664014	1012.0523875960644	1156.0189658946765	1160.1253362108546	1333.369830147407	1537.3012668664014	1012.0523875960644	1156.0189658946765	1003.5762773734314	1003.5762773734314	1335.7752721041034	1335.7752721041034	1183.3325835828582
2.35	1484.3859335398156	1027.5341279766435	1653.978369655364	1197.126564092192	1173.4496409887215	1343.04207710427	1512.5598918113537	1055.7080862481816	1201.6235992602597	1173.4496409887215	1343.04207710427	1512.5598918113537	1055.7080862481816	1201.6235992602597	1047.510708827147	1047.510708827147	1345.4431295399263	1345.4431295399263	1191.3302391068137
2.36	1456.8791781737236	1032.028968396684	1625.721011033107	1200.8708012560674	1179.0308808157715	1347.872713675155	1513.2490421473194	1088.3988323702797	1235.4007447893673	1179.0308808157715	1347.872713675155	1513.2490421473194	1088.3988323702797	1235.4007447893673	1080.3814241389045	1080.3814241389045	1350.25620817639	1350.25620817639	1195.2368875259272
2.38	1404.1218666063069	1039.0587408080319	1573.108552736594	1208.045426938319	1187.9130191016447	1356.8997052319319	1513.1766155118676	1148.1134897135926	1296.9677680072054	1187.9130191016447	1356.8997052319319	1513.1766155118676	1148.1134897135926	1296.9677680072054	1140.5174727567792	1140.5174727567792	1359.2305257801781	1359.2305257801781	1202.7802305297519
2.4	1354.5227949748223	1044.0693465935328	1525.260888644596	1214.8074402633065	1148.3044326434465	1319.0425263132202	1509.6694109368254	1199.215962555536	1303.4510486054496	1148.3066273665463	1319.04472103632	1509.6694109368254	1199.215962555536	1303.4532433285494	1191.995247239276	1191.995247239276	1321.3689573903393	1321.3711521134392	1209.9131560241658
2.42	1308.114884474926	1047.3658555562433	1481.7961329223326	1221.04710400365	1108.5663561256806	1282.2476045730873	1502.3916322213918	1241.6426033027092	1302.8431038721465	1108.5685508737224	1282.249799321129	1502.3916322213918	1241.6426033027092	1302.8452986201883	1234.8476687570947	1234.8476687570947	1284.5696461790794	1284.5718409271212	1216.5742110640276
2.44	1264.8608243899653	1049.2006634713907	1442.3587366616412	1226.6985757430666	1071.328095655539	1248.826007927215	1491.665907028233	1276.0057461096585	1298.1331782938068	1071.328095655539	1248.826007927215	1491.665907028233	1276.0057461096585	1298.1331782938068	1269.7002399779885	1269.7002399779885	1256.5646833819337	1256.5646833819337	1228.1317450661154
2.46	1224.6069825067243	1049.7317920731439	1406.551450766492	1231.6762603329116	1036.5347825818608	1218.4792508416285	1478.1616330357501	1303.2864426021697	1290.0894331108866	1036.5369773299026	1218.4814455896703	1478.1616330357501	1303.2864426021697	1290.0916278589284	1297.5098703491676	1297.5098703491676	1243.0933305851358	1243.0955253331776	1250.5137678234169
2.48	1187.1711948626034	1049.0821471520321	1374.014336882523	1235.9252891719516	1004.0766795275704	1190.9198215474898	1462.745735046512	1324.6566873359407	1279.651219711479	1004.0788742756122	1190.9220162955316	1462.745735046512	1324.6566873359407	1279.6534144595207	1319.4112436847063	1319.4112436847063	1227.956165347583	1227.9583600956248	1267.7161893208104
2.5	1152.4898138392018	1047.3482975968655	1344.5454783147143	1239.403962072378	973.9515918194666	1166.007256294979	1446.2324638850841	1341.0909476427478	1267.6942418653489	973.9515918194666	1166.007256294979	1446.2324638850841	1341.0909476427478	1267.6942418653489	1336.4710066841799	1336.4710066841799	1212.044254675333	1212.044254675333	1280.821019494164
2.52	1120.3389752860967	1044.6070594643534	1317.8068841392087	1242.0749683174654	945.9795502179913	1143.4474590711034	1429.308775164347	1353.5768593426037	1254.9493500962417	945.9817449660331	1143.4496538191452	1429.308775164347	1353.5768593426037	1254.9515448442835	1349.6197317684564	1349.6197317684564	1196.0028539684718	1196.0050487165136	1290.6732356406865
2.54	1090.556267997934	1040.939638382115	1293.5505480269785	1243.9339184111595	920.0310647134902	1123.0253447425348	1412.4948237708159	1362.878194154997	1241.9696204863722	920.0332594615174	1123.027539490562	1412.4948237708159	1362.878194154997	1241.9718152343994	1344.8132373511617	1344.8132373511617	1180.2687177378393	1180.2709124858666	1283.1123346026288
2.56	1062.9902544596844	1036.4382137179637	1271.5526058524993	1245.0005651107786	895.9744505232811	1104.536801916096	1396.1615217990475	1369.6094810573268	1229.1457178626442	895.9766452713229	1104.5389966641378	1396.1593270510057	1369.607286309285	1229.1457178626442	1331.9147133439546	1331.9125185959128	1165.1183840369922	1165.120578785034	1267.8873795183026
2.59	1028.3439893800096	1025.381081870015	1245.2310134804284	1242.2681059704337	863.1300721630832	1080.017096263502	1375.8996239527041	1372.9367164427094	1210.6857067357778	863.132266911125	1080.0192910115438	1375.8996239527041	1372.9367164427094	1210.6879014838196	1313.2791225235123	1313.2791225235123	1143.7920342640427	1143.7942290120845	1246.3854500517773
2.61	1022.2316209262353	1002.606199512782	1244.5901475764113	1224.964726162958	843.2105547117244	1065.5690813619003	1378.1185124506737	1358.4930910372204	1199.0974462361628	843.2127494597662	1065.5712761099421	1378.1185124506737	1358.4930910372204	1199.0996409842046	1301.5613720142428	1301.5613720142428	1130.5994142189302	1130.601608966972	1233.0633399970102
2.63	1015.6890822306887	981.503713840415	1243.4247372898099	1209.2393688995362	824.7329856504512	1052.4686407095724	1379.1083430436847	1344.922974653411	1188.1522464634472	824.7329856504512	1052.4686407095724	1379.1083430436847	1344.922974653411	1188.1522464634472	1290.4822926858615	1290.4822926858615	1118.2429925786273	1118.2429925786273	1220.5730388010415
2.66	1005.3606061085884	952.6954739089852	1240.9293107382982	1188.264178538695	799.4604819936503	1035.0291866233601	1378.8669209338404	1326.2017887342372	1172.9667968189024	799.4626767416921	1035.031381371402	1378.8669209338404	1326.2017887342372	1172.9689915669442	1275.1059001114627	1275.1059001114627	1101.2183455228515	1101.2205402708933	1203.3574488154118
2.68	998.2825492902339	935.2626040419418	1238.9035598932824	1175.8836146449903	784.1411527934542	1024.7621633965027	1377.7849110228854	1314.7649657745933	1163.6435145261057	784.143347541496	1024.7643581445445	1377.7849110228854	1314.7649657745933	1163.6457092741475	1265.6662962972478	1265.6662962972478	1090.8174427902559	1090.8196375382977	1192.840224561398
