5B1_12A1	6B1_12A1	5B2_12A1	6B2_12A1
Intensities	6.990736000000001e-10	3.1360000000000005e-13	6.990736000000001e-10	3.1360000000000005e-13
2e-08	573753730086276.0	1088850844446140.2	573753730086276.0	1088851671295796.2
2.0099999999999998e-08	577878462655487.6	1069263635977237.8	577878462655487.6	1069264876242301.8
2.0200000000000002e-08	581979630037747.4	1050587200850731.5	581979630037747.4	1050588441115798.2
2.03e-08	586053924853271.2	1032791359120110.0	586053924853271.2	1032792599385174.0
2.04e-08	590098866534245.9	1015847997934719.5	590098866534245.9	1015849238218620.8
2.0499999999999998e-08	594112801437876.2	999729417915845.4	594112801437876.2	999730244765501.4
2.0600000000000002e-08	598093662392928.1	984407919609418.5	598093662392928.1	984409159874482.5
2.07e-08	602039795737764.0	969858284166849.5	602039795737764.0	969859524450753.4
2.08e-08	605949961169640.0	956054052436807.5	605949961169640.0	956055292701874.2
2.09e-08	609822505008081.4	942974139762477.1	609822505008081.4	942975380046381.0
2.1000000000000003e-08	613656186969184.1	930608624004492.5	613656186969184.1	930609864269559.2
2.11e-08	617448113107409.5	918929392293373.9	617448113107409.5	918930632577277.8
2.12e-08	621197869969675.1	907917013709294.6	621197869969675.1	907918253974358.6
2.13e-08	625559494560430.5	897540481437225.2	625559494560430.5	897541721721129.1
2.1400000000000003e-08	628572116187891.6	887773749760091.2	628572116187891.6	887774990043995.2
2.15e-08	633062315683580.1	879438292426945.2	633062315683580.1	879440359541665.2
2.16e-08	635766936350913.5	869883647338179.0	635766936350913.5	869884887603243.0
2.17e-08	645687048384996.5	862134011997603.0	645687048384996.5	862134838847259.0
2.1800000000000003e-08	642774888811828.8	853893642224238.0	642774888811828.8	853894469073896.8
2.19e-08	646210029916710.5	846510714075211.1	646210029916710.5	846511540924869.9
2.2000000000000002e-08	649598454081936.5	839494493155404.9	649598454081936.5	839495320005060.9
2.21e-08	652941815044498.2	832824721657657.0	652941815044498.2	832825548507313.0
2.2200000000000004e-08	656239699332470.9	826485689438498.4	656239699332470.9	826486516288154.4
2.23e-08	659493760664006.4	820467474358563.2	659493760664006.4	820467887773971.4
2.2400000000000002e-08	662705239304168.4	814761807921283.8	662705239304168.4	814762221336694.5
2.25e-08	665874962121455.9	809362075348257.4	665874962121455.9	809362488763665.4
2.2599999999999997e-08	669004996230583.1	804262075257633.4	669004996230583.1	804262902107289.4
2.27e-08	672096995312030.6	799456019739491.5	672096995312030.6	799456433173739.4
2.29e-08	678175156888448.4	790700523496732.5	678175156888448.4	790700936912140.5
2.2999999999999998e-08	681165453612861.5	786737439762198.0	681165453612861.5	786737853196445.9
2.3100000000000002e-08	684136732870527.4	783051763644695.0	684136732870527.4	783052177078942.9
2.32e-08	687070390497084.5	779616209105567.9	687070390497084.5	779616209105567.9
2.33e-08	689978002406561.5	776431603013307.4	689978002406561.5	776431603013307.4
2.3500000000000002e-08	695722117268091.9	770785883072513.2	695722117268091.9	770785883072513.2
2.36e-08	698564821620821.9	768309059118182.2	698564821620821.9	768309059118182.2
2.37e-08	701383960748928.6	766050109662139.2	701383960748928.6	766050109662139.2
2.3799999999999998e-08	704674816843077.1	763997458846866.8	704674816843077.1	763997458846866.8
2.4e-08	709726859710146.8	760487901404777.0	709726859710146.8	760487901404777.0
