R	12B1_4A1	12B1_5B1	12B1_6B1	12B2_4A1	12B2_5B2	12B2_6B2	5A2_12B1	5A2_12B2	6A2_12B1	6A2_12B2	12A2_5B1	12A2_6B1	12A2_5B2	12A2_6B2	12A2_5A2	12A2_6A2
Intensities	1.3588466585274005e-06	2.1120324418593888e-05	1.8622237953809204e-07	1.3588466585274005e-06	2.1120324418593888e-05	1.862443157962275e-07	1.3586689017780861e-06	1.3586689017780861e-06	6.242596743165094e-07	6.242596743165094e-07	1.956525879017546e-06	1.5611024435069855e-08	1.956525879017546e-06	1.5617376189427938e-08	6.459630182124728e-16	3.4760221338483016e-05
2.12	4886.84186430031	4798.542831176033	4295.579405824072	4886.835280056199	4798.542831151106	4295.575016327988	4886.374383341827	4886.367799097716	4313.128597237475	4313.1220129933645	4730.9073344403005	4227.943909088339	4730.913918659484	4227.946103836366	4818.738886606094	4245.493100501742
2.13	4824.440837500559	4741.069009786152	4254.897588397202	4824.434253256433	4741.069009786137	4254.893198901118	4823.938240598378	4823.9316563542525	4275.420661060809	4275.4140768166835	4673.767114503149	4187.595693114199	4673.77369874726	4187.597887862241	4756.636345315375	4208.118765777806
2.15	4711.492608664135	4635.473181073583	4184.777638875108	4711.477245427843	4635.468791577499	4184.766665134899	4707.69789232027	4707.682529083977	4212.635553653294	4212.620190417001	4568.8231254347775	4118.127583236303	4568.8340991749865	4118.131972732386	4641.047836681464	4145.985498014488
2.16	4654.301909571921	4586.916613913258	4153.5946834346105	4654.295325327796	4586.916613913258	4153.590293938512	4653.682991098423	4653.676406854298	4185.789416898639	4185.782832654513	4520.595770231099	4087.2738397524517	4520.602354475224	4087.276034500479	4587.362147416265	4119.46857321648
2.17	4605.010102416665	4545.37445595293	4125.185887322281	4605.00351817254	4545.372261204888	4125.181497826183	4607.376038933566	4607.36945468944	4162.255152342972	4162.248568098847	4479.406966405964	4059.2183977753157	4479.411355902048	4059.220592523343	4541.4085493866005	4096.287662796007
2.19	4507.7169989313115	4455.460089518019	4067.8130242923653	4507.708219964086	4455.455700046878	4067.806440073182	4506.955421959894	4506.946642992669	4114.958369560161	4114.949590592936	4390.067623508687	4002.4205582830327	4390.07201300477	4002.4227530310745	4441.562955950561	4049.565903550829
2.2	4463.62235104524	4415.732986765419	4040.510380344378	4463.613572053073	4415.728597269335	4040.5059908482945	4462.805905422705	4462.797126430538	4092.916532499701	4092.907753507534	4350.643395736246	3975.420789315205	4350.64778523233	3975.425178811289	4397.716314393532	4027.8269414705283
2.22	4382.015099333599	4341.649325400082	3986.879559730296	4382.00851511443	4341.6449359289545	3986.875170259169	4381.07794266862	4381.0713584494515	4049.4693347118737	4049.462750492705	4277.154510640918	3922.384744971132	4277.156705388959	3922.386939719174	4316.583127909456	3984.9745199527097
2.23	4344.324721141267	4307.141329322243	3960.536019902778	4344.318136897142	4307.139134574201	3960.5338251547364	4343.321722084947	4343.315137840822	4027.8510836740315	4027.844499429906	4242.93622107993	3896.330911660465	4242.940610576014	3896.3353011565487	4279.116613842634	3963.6459754317184
2.25	4274.749068684221	4242.938415803015	3909.0823876237846	4274.742484465052	4242.93622107993	3909.0801929006993	4273.596826860929	4273.59024264176	3984.785771770883	3984.779187551714	4179.2995521061675	3845.443523926937	4179.303941602251	3845.4479134230205	4209.957963164081	3921.1469080740353
2.26	4242.69918846614	4213.151319018769	3884.1259274603217	4242.692604222029	4213.146929522685	3884.1237327122944	4241.463546292129	4241.456962048018	3963.446253484726	3963.4396692406153	4149.791188098578	3820.7657965401304	4149.793382846605	3820.770186036214	4178.103415371937	3900.086122564535
2.28	4183.686849972	4157.986370796512	3836.1136574149714	4183.678070979833	4157.979786552387	3836.1092679188732	4182.271238608329	4182.262459616162	3921.537572900983	3921.5287939088157	4095.166147445285	3773.293434063744	4095.1683421933267	3773.297823559813	4119.451015257102	3858.7173495497555
2.3	4130.973433340434	4108.378520172861	3790.978699755884	4130.966849096309	4108.374130676777	3790.976505007842	4129.351515810617	4129.344931566491	3881.1454619909637	3881.1388777468383	4046.085035927317	3728.6852155103406	4046.087230675359	3728.6896050064242	4067.058031565073	3818.8519777454203
2.31	4106.8026923269645	4085.5334059282322	3769.575533826457	4106.793913334797	4085.5290164321486	3769.5711443303735	4105.068842746856	4105.060063754689	3861.6780623117083	3861.669283319541	4023.492317532742	3707.534445430967	4023.4967070288258	3707.5388349270506	4043.0277543513657	3799.6369739162183
2.33	4062.5061277458735	4043.4930405617924	3729.1548912168655	4062.510517241957	4043.4952353098342	3729.159280712949	4060.5220770886954	4060.526466584779	3824.3915174096037	3824.3959069056873	3981.9611332876666	3667.6229839427397	3981.958938539625	3667.6229839427397	3998.9901698145695	3762.859610135478
2.35	4023.2201689752546	4005.9804367861216	3691.925409738862	4023.2245584713382	4005.984826282205	3691.9297992349457	4020.9486065492674	4020.952996045351	3789.503830245012	3789.5082197410957	3944.9247894626315	3630.869762415372	3944.9247894626315	3630.869762415372	3959.8929592257773	3728.448182921522
2.36	4005.2978706942813	3988.7824047848117	3674.4749819124554	4005.3022601654084	3988.7867942559387	3674.4793713835825	4002.8770655262488	4002.881454997376	3772.9795853683318	3772.983974839459	3927.9572058060294	3613.649782933673	3927.9572058060294	3613.649782933673	3942.0518665474665	3712.1543863895495
2.38	3972.6422404909536	3957.2439004610787	3642.3241433593357	3972.6444352389954	3957.2460952091205	3642.3263381073775	3969.8988076103997	3969.9010023584415	3741.7812666915415	3741.7834614395833	3896.86423501026	3581.944477908517	3896.86423501026	3581.944477908517	3909.519142159581	3681.401601240723
2.4	3943.9371536176477	3929.2038217202353	3659.739455242059	3943.9393483656895	3929.206016468277	3659.741649990101	3940.8074454062444	3940.809640154286	3712.984000475364	3712.986195223406	3869.249937065004	3599.785570586828	3869.249937065004	3599.785570586828	3880.853560751013	3653.030115820133
2.42	3918.7941400204145	3904.253945775956	3678.5111203412234	3918.796334768471	3904.256140524012	3678.51331508928	3915.2254825251584	3915.227677273215	3686.462686181272	3686.4648809293285	3844.7060891839647	3618.9632637492323	3844.7060891839647	3618.9632637492323	3855.6776259331673	3626.914829589281
2.44	3896.881792969638	3882.0387237200775	3696.084453983087	3896.8839877176797	3882.0409184681193	3696.0866487311287	3892.82151231241	3892.823707060452	3662.0680810672056	3662.0702758152474	3822.877142458936	3636.922872721945	3822.877142458936	3636.922872721945	3833.6599310512684	3602.906499806064
2.46	3877.8906532410183	3862.213580409545	3712.437508662275	3877.89284798906	3862.215775157587	3712.4397034103167	3873.281685997703	3873.2838807457447	3639.6180211705505	3639.6202159185923	3803.416327023806	3653.6402552765358	3803.416327023806	3653.6402552765358	3814.4844326119637	3580.8207677848113
2.48	3861.541988057914	3844.466861822162	3727.570284403744	3861.544182805941	3844.471251318231	3727.5724791517714	3856.331660325435	3856.3338550734625	3618.930342553562	3618.932537301589	3786.0141836043913	3669.1176061859733	3786.016378352433	3669.1176061859733	3797.8789821076643	3560.477664335791
2.5	3847.565843585937	3828.524224702269	3741.4652232231456	3847.5680383339786	3828.5264194503106	3741.4674179711874	3841.7036762341886	3841.7058709822304	3599.8162970095	3599.818491757542	3770.398563693103	3683.3395622139797	3770.398563693103	3683.3395622139797	3783.5780152250227	3541.690636000334
2.52	3835.7054346036894	3814.1464416881063	3754.093793420936	3835.707629351731	3814.148636436148	3754.095988168978	3829.158506387117	3829.160701135159	3582.0893311544787	3582.0915259025205	3756.325850407142	3696.2732021399715	3756.325850407142	3696.2732021399715	3771.3379151061526	3524.2687398735143
2.54	3825.7193389514287	3801.2062175180035	3765.348452467806	3825.7215336745285	3801.210606989145	3765.350647190906	3818.4591181953874	3818.4613129184872	3580.37303955869	3580.3752342817897	3743.6731380058627	3707.815372955665	3743.6753327539045	3707.815372955665	3760.9260386832466	3522.839960046549
2.56	3817.359550275156	3790.203954321172	3774.5202972455736	3817.3617450231977	3790.206149069214	3774.5224919936154	3809.3816474835767	3809.3838422316185	3585.245376342369	3585.247571090411	3732.9276601302117	3717.244003054613	3732.9276601302117	3717.244003054613	3752.105353292616	3527.9690821514087
2.59	3807.2834700031235	3791.2289008329535	3770.064962265329	3807.2856647511653	3791.2310955809953	3770.0693517364707	3798.2608679673867	3798.2630627154285	3589.597558239533	3589.599752987575	3734.321324013479	3713.1573854458547	3734.321324013479	3713.1595801689546	3741.3532911479124	3532.6899814200588
2.61	3801.844888698921	3798.047977582057	3760.2785885101475	3801.844888698921	3798.047977582057	3760.2785885101475	3792.179225986183	3792.179225986183	3590.6444522317324	3590.6444522317324	3741.364264888107	3703.5948758161976	3741.364264888107	3703.5948758161976	3735.495513292233	3533.9607395377825
2.63	3797.137157868623	3804.1362038073858	3750.5119674623857	3797.137157868623	3804.1362038073858	3750.5119674623857	3786.885497903	3786.885497903	3590.3152402750857	3590.3152402750857	3747.660992027624	3694.036755682624	3747.660992027624	3694.036755682624	3730.4102861232386	3533.840028495324
2.66	3790.9326100719773	3811.3349716681696	3736.2219742949965	3790.9326100719773	3811.3349716681696	3736.2241690430383	3779.928152127104	3779.928152127104	3587.4993807840365	3587.4993807840365	3755.142882161148	3680.029884787975	3755.142882161148	3680.0320795360167	3723.7360626200825	3531.307291277015
2.68	3787.056688125449	3814.7960866092326	3726.8482128721225	3787.056688125449	3814.7960866092326	3726.8504076201643	3775.6418126212666	3775.6418126212666	3584.2335982938966	3584.2335982938966	3758.7773820477305	3670.8295083106204	3758.7773820477305	3670.8317030586622	3719.6231080597645	3528.2148937323946
2.71	3781.203299715955	3817.9916372119624	3712.821589245097	3781.203299715955	3817.9916372119624	3712.821589245097	3769.2858273096062	3769.2858273096062	3577.511090358792	3577.511090358792	3762.2099652642355	3657.0399172973703	3762.2099652642355	3657.0399172973703	3713.5041553618794	3521.729418411065
2.73	3777.0640082041064	3818.81905654975	3703.388569650051	3777.0640082041064	3818.81905654975	3703.388569650051	3764.880971484381	3764.880971484381	3571.9496032391326	3571.9496032391326	3763.180043099943	3647.749556200244	3763.180043099943	3647.749556200244	3709.241958034574	3516.3105897893256
2.76	3770.2142050073744	3818.140879953993	3688.9493337655877	3770.2120102593326	3818.1386852059513	3688.949333740631	3757.7173195673095	3757.7151248192677	3562.1500610206567	3562.147866272615	3762.6971989301383	3633.505652741733	3762.6971989301383	3633.507847464818	3702.2736385434546	3506.706379996802
2.79	3762.350429014128	3815.2372306161706	3674.0140851981123	3762.348234266072	3815.235035868114	3674.011890450056	3749.6230952293554	3749.620900481299	3550.776885704312	3550.7746909562557	3759.971324033919	3618.7481786158605	3759.971324033919	3618.7481786158605	3694.3571886471036	3495.5109791220602
2.82	3753.283932042512	3810.189314113959	3658.440165449705	3753.283932042512	3810.189314113959	3658.442360172805	3740.387602783332	3740.387602783332	3537.9661515438784	3537.9661515438784	3755.088013510045	3603.3388648457912	3755.088013510045	3603.341059568891	3685.2863021794183	3482.8648509399645
2.85	3742.8961977981526	3803.0805308479903	3642.1266161853564	3742.8961977981526	3803.0805308479903	3642.128810933398	3729.8747680004453	3729.8747680004453	3523.818816899351	3523.818816899351	3748.132862482191	3587.178947819557	3748.132862482191	3587.1811425675987	3674.927099634646	3468.8711485335516
2.88	3731.119189166624	3794.0030601611215	3624.9988160714565	3731.116994418582	3794.0008654130797	3624.9966213234147	3718.0055800260307	3718.003385277989	3508.4116978773236	3508.409503129282	3739.200245041269	3570.196000951604	3739.200245041269	3570.196000951604	3663.2027649061783	3453.6088827574713
2.91	3717.9199849272845	3783.0381076311023	3606.993117414837	3717.9199849272845	3783.0381076311023	3606.993117414837	3704.7405333953793	3704.7405333953793	3491.799663128899	3491.799663128899	3728.3823405052535	3552.337350288988	3728.3823405052535	3552.337350288988	3650.0847662695305	3437.14389600305
2.94	3703.3007798282197	3770.2844368947844	3588.08757280992	3703.298585080178	3770.2822421467426	3588.0875727849634	3690.0818228565186	3690.0796281084768	3474.039776053265	3474.0375813052233	3715.769133543741	3533.5722694588767	3715.769133543741	3533.574464181962	3635.5665195054753	3419.524472702222
2.97	3687.292300292058	3755.838616741239	3568.266818945558	3687.290105544016	3755.8364219931973	3568.2646241975162	3674.040422149643	3674.038227401601	3455.1781263592566	3455.1759316112148	3701.470361409156	3513.898563613475	3701.470361409156	3513.898563613475	3619.6721668175596	3400.8098710271734
