R	10A1_4A1	5B1_10A1	5B1_11A1	6B1_10A1	6B1_11A1	11B1_4A1	11B1_5B1	11B1_6B1	5B2_10A1	5B2_11A1	6B2_10A1	6B2_11A1	11B2_4A1	11B2_5B2	11B2_6B2	5A2_11B1	5A2_11B2	6A2_11B1	6A2_11B2	11A2_5B1	11A2_6B1	11A2_5B2	11A2_6B2	11A2_5A2
Intensities	3.0915485584000004e-06	3.104644e-08	8.53749961e-08	1.1516520959999999e-07	8.346321e-10	2.2740639999999998e-10	1.4384644096e-06	1.196836e-08	3.104644e-08	8.53749961e-08	1.1516520959999999e-07	8.346321e-10	2.2740639999999998e-10	1.4384644096e-06	1.19705481e-08	1.315609e-10	1.315609e-10	1.651447044e-07	1.651447044e-07	5.5121648399999996e-08	8.90365921e-08	5.5121648399999996e-08	8.90365921e-08	3.0410825769e-06
2e-08	919900112151098.2	381438746440239.3	492365401922263.8	896535860800103.6	1007462516282128.1	819960616366891.9	281499250656032.9	796596365015897.1	381438746440239.3	492365401922263.8	896536687649759.5	1007463343131784.1	819960616366891.9	281499250656032.9	796597191865553.1	819922994773457.1	819922994773457.1	706637341196504.4	706637341196504.4	381442880688521.94	896539995048386.2	381442880688521.94	896540821898042.1	919866624805946.1
2.0099999999999998e-08	899426522338719.1	384982618095976.94	492947089685391.06	876367791417727.0	984332263007141.1	796368568340571.9	281924664097829.6	773309837419579.6	384982618095976.94	492947089685391.06	876369031682791.0	984333503272205.1	796368568340571.9	281924664097829.6	773311077684643.8	796328052782758.5	796328052782758.5	680185225012344.9	680185225012344.9	384986752325419.7	876371925647169.8	384986752325419.7	876373165912233.8	899390141010348.5
2.0200000000000002e-08	879795077460288.8	388473984883304.0	493554823165603.75	857081555696288.1	962162393978587.9	773682745974128.8	282361653397143.94	750969224210128.0	388473984883304.0	493554823165603.75	857082795961354.9	962163634243654.6	773682745974128.8	282361653397143.94	750970464475194.8	773638923017691.4	773638923017691.4	655056066036725.6	655056066036725.6	388478119131586.6	857085689944570.8	388478119131586.6	857086930209637.5	879755388752134.1
2.03e-08	860975597588121.5	391912019971401.7	494193563441997.8	838649454238240.4	940930997708836.5	751875449907679.1	282811872290959.3	729549306557798.0	391912019971401.7	494193563441997.8	838650694503304.4	940932237973900.6	751875449907679.1	282811872290959.3	729550546822862.1	751828732986863.1	751828732986863.1	631279217404187.4	631279217404187.4	391916154200847.2	838653588467685.9	391916154200847.2	838654828732749.9	860933014896750.9
2.04e-08	842941210117801.6	395296723303755.8	494869098462167.9	821045854704229.5	920618229862641.5	730922701501188.9	283278214687143.1	709027346087616.8	395296723303755.8	494869098462167.9	821047094988130.6	920619470146542.8	730922701501188.9	283278214687143.1	709028586371517.9	730872263766338.1	730872263766338.1	608893954388645.1	608893954388645.1	395300857552035.7	821049988952509.4	395300857552035.7	821051229236410.5	842894906631230.8
2.0499999999999998e-08	825663802274035.1	398628094974554.8	495588043042204.25	804244711452524.0	901204659520173.4	710799695359148.0	283763988059667.7	689380604537636.9	398628094974554.8	495588043042204.25	804245538302179.9	901205486369829.4	710799695359148.0	283763988059667.7	689381431387292.8	710745536791425.5	710745536791425.5	587946167098927.9	587946167098927.9	398632642638245.5	804249259116214.6	398632642638245.5	804250085965870.6	825614191370003.2
2.0600000000000002e-08	809118155095212.4	401906548323858.2	496356185073190.2	788220805540348.5	882670442289680.5	691485346787072.0	284273740015717.8	670587997232208.1	401906548323858.2	496356185073190.2	788222045805412.5	882671682554744.6	691485346787072.0	284273740015717.8	670589237497272.2	691427467405314.9	691427467405314.9	568483399286675.9	568483399286675.9	401910682572140.8	788224939788631.1	401910682572140.8	788226180053695.1	809064409961737.8
2.07e-08	793277396108780.4	405131256558524.1	497179725936965.44	772949744987609.5	864998214366050.9	672958157769237.8	284812018218981.44	652630506648066.9	405131256558524.1	497179725936965.44	772950985271513.4	864999454649954.8	672958157769237.8	284812018218981.44	652631746931970.8	672896144139197.9	672896144139197.9	550546993340515.75	550546993340515.75	405135804222214.8	772954292651300.1	405135804222214.8	772955532935204.1	793219930142431.2
2.08e-08	778117960052441.5	408303873340187.56	498066107280439.2	758407964607355.0	848170198547606.6	655196630252261.4	285382543540007.4	635486634807174.9	408303873340187.56	498066107280439.2	758409204872421.8	848171438812673.4	655196630252261.4	285382543540007.4	635487875072241.6	655130068977365.2	655130068977365.2	534160514485079.3	534160514485079.3	408308007588470.1	758412098855637.6	408308007588470.1	758413339120704.4	778055533025828.0
2.09e-08	763613801265624.4	411421504723309.6	499024837846400.8	744573139477705.4	832176472600796.5	638179266145071.1	285986969602756.3	619138604357152.0	411421504723309.6	499024837846400.8	744574379761609.2	832177712884700.4	638179266145071.1	285986969602756.3	619139844641055.9	638108157206484.4	638108157206484.4	519310319672772.06	519310319672772.06	411426052387000.25	744577687141396.0	411426052387000.25	744578927425299.9	763547239990728.4
2.1000000000000003e-08	749743421657260.1	414486217784933.3	500053437067042.5	731438654820241.6	817005874102350.9	621883327185722.2	286626123313395.56	603578560348703.9	414486217784933.3	500053437067042.5	731439895085308.4	817007114367417.6	621883327185722.2	286626123313395.56	603579800613770.6	621806843714951.8	621806843714951.8	505945557791015.1	505945557791015.1	414490765467461.1	731443202502769.4	414490765467461.1	731444442767836.1	749671485869017.4
2.11e-08	736482015813012.2	417497185750756.7	501162654025577.25	718978464936721.0	802643933211541.6	606282767600623.6	287297937538368.0	588779216724332.4	417497185750756.7	501162654025577.25	718979705220625.0	802645173495445.5	606282767600623.6	287297937538368.0	588780457008236.2	606200909616503.8	606200909616503.8	493970727845771.25	493970727845771.25	417501733414447.4	718983012600411.8	417501733414447.4	718984252884315.6	736404705492583.1
2.12e-08	723808499057220.1	420453995130017.75	502358690028493.44	707173138869637.2	789077833768113.0	591350714823036.4	287996210895834.0	574715354635453.5	420453995130017.75	502358690028493.44	707174379134701.2	789079074033177.0	591350301388791.2	287995797461588.8	574716181466272.4	591262655475913.9	591262242041668.8	483253534080403.75	483253120646158.56	420458956227956.3	707178099967575.8	420458956227956.3	707179340232639.9	723725400808036.2
2.13e-08	711701373374171.2	424012336626486.06	504303023727155.4	695993323503280.8	776284010603950.1	577072285596821.9	289383248849136.7	561364235725931.4	424012336626486.06	504303023727155.4	695994563787184.6	776285250887854.0	577072285596821.9	289383248849136.7	561365476009835.3	576977611471283.2	576977611471283.2	473625712919490.94	473625712919490.94	424016884290179.44	695997871166974.1	424016884290179.44	695999111450878.1	711611246912326.0
2.1400000000000003e-08	700137900426572.5	426207205318932.06	505062483846168.06	685408838891131.8	764264117418367.8	563413165746006.4	289482470638366.0	548684104210565.7	426207205318932.06	505062483846168.06	685410079175035.8	764265357702271.6	563413165746006.4	289482470638366.0	548685344494469.56	563311876823220.0	563311876823220.0	464919414146515.8	464919414146515.8	426212166416867.94	685413799989067.6	426212166416867.94	685415040272971.5	700041572601721.9
2.15e-08	689656771851930.0	428956475811190.3	506989867155125.9	675332452554555.4	753365843898491.0	550959590622059.4	290259294581319.7	536635271324684.8	428956475811190.3	506989867155125.9	675334519669275.4	753367911013211.0	550959177206651.3	290258881165911.6	536636925023996.75	550244366874894.75	550243953459486.75	456960586181953.5	456960172766545.44	429010220944664.9	675386197688030.0	429010220944664.9	675388264802750.0	688995293238240.0
2.16e-08	678564602417288.0	431749569241054.2	508157790326242.1	665866280228319.8	742274501313507.6	537873063188152.7	291058030011918.9	525174740999184.44	431749569241054.2	508157790326242.1	665867520493383.8	742275741578571.8	537872649753907.5	291057616577673.7	525175567830003.3	537756477574979.56	537756064140734.4	449589647362360.94	449589233928115.75	431754530338992.75	665871241326258.4	431754530338992.75	665872481591322.4	678452977902053.5
2.17e-08	668516742327922.2	440831257136383.3	516267104664537.6	657278220748989.9	732714068277144.1	526550203057295.25	298864717865756.25	515311681478362.8	440831257136383.3	516267104664537.6	657279047598645.8	732714895126800.1	526550203057295.25	298864717865756.25	515312508328018.75	526995874268582.9	526995874268582.9	443119146255050.56	443119146255050.56	440810172517239.25	657257136129845.8	440810172517239.25	657257962979501.8	668941328920065.8
2.1800000000000003e-08	658935638087828.2	437071991512491.2	511706623061078.44	648190744924900.5	722825376473487.8	514586535554160.9	292722888978823.9	503841642391233.2	437071991512491.2	511706623061078.44	648191571774559.2	722826203323146.5	514586535554160.9	292722888978823.9	503842469240891.9	514452586135878.4	514452586135878.4	436078533317476.4	436078533317476.4	437076952591592.7	648195706004002.0	437076952591592.7	648196532853660.6	658806649748647.1
2.19e-08	649803099023397.8	439652584938576.56	513659225237465.75	639953269097077.1	713959909395966.2	503742420602009.4	293591906517188.2	493892590675688.75	439652584938576.56	513659225237465.75	639954095946735.9	713960736245625.0	503742420602009.4	293591906517188.2	493893417525347.5	503598962440932.0	503598962440932.0	429728752090458.9	429728752090458.9	439657546036515.1	639958230195015.8	439657546036515.1	639959057044674.4	649664601960258.9
2.2000000000000002e-08	641101761329521.4	442178606362691.44	515732547256471.56	632074645436159.9	705628586329940.0	493410538136033.25	294487383169203.4	484383422242671.8	442178606362691.44	515732547256471.56	632075472285815.9	705629413179596.0	493410538136033.25	294487383169203.4	484384249092327.75	493256744363673.44	493256744363673.44	423551368724811.8	423551368724811.8	442183980876040.8	632080019949509.2	442183980876040.8	632080846799165.2	640953342070510.9
2.21e-08	632814674635343.1	444650882672168.94	517926175683848.1	624533789285327.6	697809082297006.9	483575178069283.25	295411386106109.06	475294292719267.75	444650882672168.94	517926175683848.1	624534616134983.6	697809909146662.8	483575178069283.25	295411386106109.06	475295119568923.75	483410635251390.25	483410635251390.25	417501319980199.44	417501319980199.44	444656257185515.56	624539163798674.2	444656257185515.56	624539990648330.2	632655506330796.8
2.2200000000000004e-08	624925301947727.1	447069000432755.5	520238870292205.56	617314990538782.9	690484860398233.0	474223524203826.44	296367222688854.9	466613212794882.25	447069000432755.5	520238870292205.56	617315817388438.9	690485687247889.0	474223524203826.44	296367222688854.9	466614039644538.25	474046992094170.6	474046992094170.6	411553800423440.3	411553800423440.3	447074374946104.9	617320365052132.2	447074374946104.9	617321191901788.2	624754144351420.8
2.23e-08	617417519726636.1	449433373041030.4	522668150476061.8	610407086735587.4	683641864170618.8	465342347020507.5	297358200334901.75	458331914029458.75	449433373041030.4	522668150476061.8	610407500150995.4	683642277586026.9	465342347020507.5	297358200334901.75	458332327444866.75	465152998769435.7	465152998769435.7	405700128161398.25	405700128161398.25	449438747554379.75	610412461248936.8	449438747554379.75	610412874664344.8	617233545988913.8
2.2400000000000002e-08	610275617847435.6	451743587062745.6	525208228325499.4	603800155679861.0	677264796942614.6	456918830359076.1	298386799574386.1	450443368191501.44	451743587062745.6	525208228325499.4	603800569095271.8	677265210358025.5	456918830359076.1	298386799574386.1	450443781606912.25	456716252532340.4	456716252532340.4	399943610573862.7	399943610573862.7	451748961576092.25	603805530193207.6	451748961576092.25	603805943608618.4	610078414534046.5
2.25e-08	603485126488234.8	453999642554412.6	527852902496350.0	597486755781214.1	671340015723151.5	448943052004815.1	299457568070993.06	442944681297794.5	453999642554412.6	527852902496350.0	597487169196622.1	671340429138559.5	448943052004815.1	299457568070993.06	442945094713202.56	448725590921937.94	448725590921937.94	394296236933753.9	394296236933753.9	454005017067759.25	597492130294560.8	454005017067759.25	597492543709968.8	603273039918704.1
2.2599999999999997e-08	597030748958638.5	456201952912596.8	530595144775946.9	591459031939647.0	665852223802997.1	441403436119046.94	300574640073005.25	435831719100055.44	456201952912596.8	530595144775946.9	591459858789303.0	665853050652653.0	441403436119046.94	300574640073005.25	435832545949711.4	441171091761193.8	441171091761193.8	388775784480431.94	388775784480431.94	456207327425946.2	591464406452996.4	456207327425946.2	591465233302652.4	596803779114134.8
2.27e-08	590898842229909.0	458350104684224.1	533425446364997.5	585709129111685.0	660784470792458.4	434291300789800.94	301742563244116.0	429101587671576.9	458350104684224.1	533425446364997.5	585709542545933.0	660784884226706.4	434291300789800.94	301742563244116.0	429102001105824.8	434042419476491.6	434042419476491.6	383401270793663.9	383401270793663.9	458355892631818.7	585714917059279.6	458355892631818.7	585715330493527.5	590655748864194.4
2.29e-08	579549523004235.1	462485172864721.0	539306818062271.4	575010539473005.1	651832184670555.5	421319705269755.4	304255355130241.25	416780721738525.4	462485172864721.0	539306818062271.4	575010952888413.1	651832598085963.5	421319291835510.25	304254941695996.06	416780721719688.25	421034442609243.8	421034029174998.6	373176051763826.3	373175638329581.1	462490960793478.44	575016327401762.5	462490960793478.44	575016740817170.6	579270048272481.0
