R	10B1_4A1	10B1_5B1	10B1_6B1	10B2_4A1	10B2_5B2	10B2_6B2	5A2_10B1	5A2_10B2	6A2_10B1	6A2_10B2	10A2_5B1	10A2_6B1	10A2_5B2	10A2_6B2	10A2_6A2
Intensities	1.065966338119251e-07	2.494870414519584e-06	1.9172637138511016e-08	1.065966338119251e-07	2.494790125838161e-06	1.917967619752048e-08	1.0958802976663241e-07	1.0958802976663241e-07	4.4554023404244344e-08	4.4554023404244344e-08	1.7860256295536558e-07	1.3301831961785793e-09	1.7860256295536558e-07	1.3301831961785793e-09	4.1188810614625065e-06
2e-08	819960616371699.8	796596365023728.6	705999427760786.2	819960616371699.8	796597191872647.2	705999427760786.2	819922994778818.9	819922994778818.9	706637341193664.6	706637341193664.6	785279706280237.1	694682769017294.8	785280533129155.8	694682769017294.8	695320682450173.0
2.0099999999999998e-08	796368568330032.1	773309837412976.2	679470414687770.1	796368568330032.1	773311077681653.1	679470414687770.1	796328052765933.4	796328052765933.4	680185225008951.4	680185225008951.4	761965479249521.1	668126056524315.0	761966719518198.0	668126056524315.0	668840866845496.2
2.0200000000000002e-08	773682745974339.8	750969224208080.4	654251542682423.6	773682745974339.8	750970464476757.2	654251542682423.6	773638923014569.2	773638923014569.2	655056066040744.1	655056066040744.1	739597166634061.0	642879485108404.2	739598406902737.9	642879485108404.2	643684008466724.8
2.03e-08	751875449903449.5	729549306545219.0	630370097744946.6	751875449903449.5	729550546818596.9	630370097744946.6	751828732977165.0	751828732977165.0	631279217406832.5	631279217406832.5	718149136126776.6	618969927326504.4	718150376400154.6	618969927326504.4	619879046988390.2
2.04e-08	730922701512838.8	709027346097948.1	607862047770388.2	730922701512838.8	709028586371326.0	607862047770388.2	730872263766420.4	730872263766420.4	608893954402644.2	608893954402644.2	697599062839784.0	596433764512224.1	697600303113161.9	596433764512224.1	597465671144480.1
2.0499999999999998e-08	710799695349052.4	689380604535112.2	586769562020682.0	710799695349052.4	689381431384030.9	586769562020682.0	710745536787201.4	710745536787201.4	587946167096140.1	587946167096140.1	677923795012767.0	575312752498336.8	677924621861685.6	575312752498336.8	576489357573794.9
2.0600000000000002e-08	691485346788176.8	670587997228093.8	567136463450897.1	691485346788176.8	670589237496770.6	567136876875356.5	691427467406194.8	691427467406194.8	568483399271928.5	568483399271928.5	659102248017108.0	555650714239911.44	659103488285784.9	555651127664370.75	556997650060942.8
2.07e-08	672958157772436.6	652630506665870.6	548998719970180.75	672958157772436.6	652631746939245.8	548998719970180.75	672896144150562.8	672896144150562.8	550546993343021.2	550546993343021.2	641115817761543.4	537484031065853.5	641117058034918.5	537484031065853.5	539032304438693.94
2.08e-08	655196630244054.4	635486634790667.6	532372041684483.75	655196630244054.4	635487875064045.6	532372041684483.75	655130068962530.2	655130068962530.2	534160514475394.8	534160514475394.8	623942592777939.0	520827999671755.06	623943833051316.9	520827999671755.06	522616472462666.2
2.09e-08	638179266154654.1	619138604369542.0	517235757389645.1	638179266154654.1	619139844642919.9	517236170814104.44	638108157204080.4	638108157204080.4	519310319680694.0	519310319680694.0	607565209243713.5	505662362263816.7	607566449517091.5	505662775688276.0	507736924554865.56
2.1000000000000003e-08	621883327177781.2	603578560347166.1	503530747444405.56	621883327177781.2	603579800620544.0	503530747444405.56	621806843713937.6	621806843713937.6	505945557797440.4	505945557797440.4	591976638952458.1	491928826049697.7	591977879225836.1	491928826049697.7	494343636402732.44
2.11e-08	606282767591309.2	588779216723342.9	491151175262424.94	606282767591309.2	588780456996720.8	491151175262424.94	606200909609497.4	606200909609497.4	493970727836670.6	493970727836670.6	577149182488910.4	479521141027992.5	577150422762288.2	479521141027992.5	482340693602238.1
2.12e-08	591350714814793.8	574715354624853.5	479955649786765.1	591350301390334.5	574716181473772.1	479955236362305.8	591262655475494.5	591262242051035.2	483253534079556.75	483253120655097.44	563058034399617.8	468298329561529.44	563059274672995.6	468298329561529.44	471596213854321.0
2.13e-08	577072285600607.4	561364235734653.7	469767638923773.1	577072285600607.4	561365476008031.6	469768052348232.44	576977611474660.2	576977611474660.2	473625712916919.75	473625712916919.75	549681696631506.4	458085099820625.8	549682936904884.3	458085513245085.06	461943173813772.44
2.1400000000000003e-08	563413165728035.5	548684104205864.6	460415158225331.94	563413165728035.5	548685344479242.56	460415158225331.94	563311876815440.6	563311876815440.6	464919414135844.56	464919414135844.56	536977173083129.2	448708227102596.5	536978413356507.1	448708227102596.5	453212483013109.1
2.15e-08	550959590624260.5	536635271328004.3	451722089017546.9	550959177199801.2	536636925021140.5	451722502442006.2	550244366878620.0	550243953454160.7	456960586184719.3	456960172760260.0	524906428723034.5	439993246412577.0	524908495840629.94	439994073261495.6	445231743579749.5
2.15e-08	550959177199801.2	536634857903545.0	451721675593087.56	550959177199801.2	536636925021140.5	451722915866465.5	550243953454160.7	550243953454160.7	456960172760260.0	456960172760260.0	524906428723034.5	439993246412577.0	524908495840629.94	439994486685954.94	445231743579749.5
2.16e-08	537873063176420.56	525174740985528.06	443535050948271.4	537872649751961.3	525175567834446.7	443535050948271.4	537756477572937.44	537756064148478.1	449589647353918.2	449589233929458.9	513426054020617.56	431786363983360.9	513427294293995.5	431786777407820.2	437840960389007.7
2.17e-08	526550203066042.25	515311681484231.56	436146748299584.4	526550203066042.25	515312508333150.2	436147161724043.7	526995874280512.3	526995874280512.3	443119146271360.4	443119146271360.4	503583665732878.6	424418732548231.44	503584492581797.25	424419145972690.75	431391130520007.44
2.1800000000000003e-08	514586535560972.6	503841642393291.75	428189160621839.75	514586535560972.6	503842469242210.4	428189987470758.4	514452586144304.6	514452586144304.6	436078533320225.75	436078533320225.75	492061948622142.6	416409466850690.6	492062775471061.25	416410293699609.2	424298839549076.56
2.19e-08	503742420598295.1	493892590674989.75	420859564199355.0	503742420598295.1	493893417523908.4	420860391048270.9	503598962428468.0	503598962428468.0	429728752085738.6	429728752085738.6	482102561301762.9	409069534826128.1	482103388150681.5	409070361675044.0	417938722712511.75
2.2000000000000002e-08	493410538136312.9	484383422233431.4	413692030037955.7	493410538136312.9	484384249082350.0	413692856886874.25	493256744359707.0	493256744359707.0	423551368719121.2	423551368719121.2	472586778073559.5	401895385878083.75	472587604922478.06	401896212727002.4	411754724559249.25
2.21e-08	483575178054982.7	475294292708676.0	406665473504334.2	483575178054982.7	475295119557594.6	406665886928793.44	483410635251837.06	483410635251837.06	417501319982526.7	417501319982526.7	463496821699885.44	394868002495543.6	463497648548804.06	394868415920002.94	405703848973736.1
2.2200000000000004e-08	474223524205460.1	466613212796107.56	399776587202807.8	474223524205460.1	466614039645026.2	399777414051726.44	474046992102399.56	474046992102399.56	411553800427201.1	411553800427201.1	454820702880825.94	387984077287526.2	454821529729744.5	387984904136444.8	399761290511919.5
2.23e-08	465342347019158.9	458331914030042.56	393033639627266.56	465342347019158.9	458332327454501.9	393034466476185.1	465152998767267.5	465152998767267.5	405700128158303.5	405700128158303.5	446550979985518.25	381252705582742.2	446551393409977.56	381253532431660.8	393919194113779.1
