R	5B1_9A1	6B1_9A1	5B2_9A1	6B2_9A1
Intensities	5.2206795728233886e-08	2.8216310598539025e-11	5.2206795728233886e-08	2.8216310598539025e-11
2.0	1233.197219499998	3967.6952822999883	1233.197219499998	3967.6996717999864
2.01	1235.387576299996	3844.0059651000047	1235.387576299996	3844.012549299994
2.02	1237.7491234000045	3725.447964799998	1237.7491234000045	3725.454549000002
2.03	1240.2994185999996	3611.8961807000014	1240.2994185999996	3611.902764899991
2.04	1243.0582145999942	3503.234291300003	1243.0582145999942	3503.240875599993
2.05	1246.0496538999869	3399.3481699999975	1246.0496538999869	3399.3525594999956
2.06	1249.3022678999987	3300.13027400001	1249.3022678999987	3300.1368581999996
2.07	1252.8511725999997	3205.4906187000015	1252.8511725999997	3205.4972030000063
2.08	1256.7380683999945	3115.337025099987	1256.7380683999945	3115.343609299991
2.09	1261.0002657000005	3029.6036502999923	1261.0002657000005	3029.610234599997
2.1	1265.7014121999964	2948.3080525999976	1265.7014121999964	2948.3146368000016
2.11	1270.900766199993	2871.375610499992	1270.900766199993	2871.382194799997
2.12	1276.6795332000038	2798.7865714000072	1276.6795332000038	2798.7931555999967
2.13	1286.6129550000041	2730.4794822999975	1286.6129550000041	2730.4860666000022
2.14	1290.4076713000104	2666.4323958000023	1290.4076713000104	2666.438980100007
2.15	1304.879828499994	2612.8169385000074	1304.879828499994	2612.827912199995
2.16	1307.8866309000005	2550.7429288999992	1307.8866309000005	2550.7495130999887
2.17	1352.4092543000006	2501.4620953999984	1352.4092543000006	2501.4664848999964
2.18	1330.560554900003	2451.327505699999	1330.560554900003	2451.331895200012
2.19	1344.3896513999935	2407.726675699989	1344.3896513999935	2407.7310652000015
2.2	1360.1720719000004	2368.273916200007	1360.1720719000004	2368.278305700005
2.21	1378.083396499991	2333.028485399991	1378.083396499991	2333.032874899989
2.22	1398.207025399999	2301.992578000005	1398.207025399999	2301.996967500003
2.23	1420.5034529999975	2275.0652356000064	1420.5034529999975	2275.067430299998
2.24	1444.7795418000023	2252.002841499998	1444.7795418000023	2252.005036200004
2.25	1470.6973009000067	2232.4278993000044	1470.6973009000067	2232.4300939999957
2.26	1497.8331442000053	2215.872927900011	1497.8331442000053	2215.877317400009
2.27	1525.719590599998	2201.830940999993	1525.719590599998	2201.8331357999996
2.29	1581.9972753000038	2179.361128500008	1581.9972753000038	2179.3633231999993
2.3	1609.6730260999902	2170.123441299991	1609.6730260999902	2170.125636099998
2.31	1636.7254690000118	2161.836079200002	1636.7254690000118	2161.838274000009
2.32	1662.8890395999915	2154.1873882999935	1662.8890395999915	2154.1873882999935
2.33	1688.0825324000034	2147.039099600006	1688.0825324000034	2147.039099600006
2.35	1735.2893305000034	2133.780637200005	1735.2893305000034	2133.780637200005
2.36	1757.265325299988	2127.5168312999886	1757.265325299988	2127.5168312999886
2.37	1778.1373625999986	2121.430799900001	1778.1373625999986	2121.430799900001
2.38	1800.5457222999976	2115.4720635999984	1800.5457222999976	2115.4720635999984
2.4	1834.4765000999905	2103.9518403999973	1834.4765000999905	2103.9518403999973
2.41	1851.2597251000116	2098.3596267000103	1851.2597251000116	2098.3596267000103
2.43	1882.1749215000018	2087.561474999995	1882.1749215000018	2087.561474999995
2.44	1896.3398139999917	2082.302862800003	1896.3398139999917	2082.302862800003
2.46	1922.3453630000004	2072.1258241999894	1922.3453630000004	2072.128018999996
2.47	1934.1179820999969	2067.062544500004	1934.1179820999969	2067.0647392999963
2.49	1955.9776552999974	2057.5944089999975	1955.9776552999974	2057.5944089999975
2.5	1965.979114200003	2053.0425052000064	1965.979114200003	2053.0425052000064
2.52	1984.2723246000096	2044.324972900009	1984.2723246000096	2044.3271676000004
2.54	2000.3576201999967	2036.2153852999909	2000.3576201999967	2036.2153852999909
2.55	2007.5037141999928	2032.532600999999	2007.5037141999928	2032.532600999999
2.57	2017.7378161000088	2028.2155349000095	2028.2155349000095	2017.740010900001
2.59	2035.923483999999	2014.7573506999906	2035.923483999999	2014.7573506999906
2.61	2046.0588224000094	2008.280654400005	2046.0588224000094	2008.280654400005
2.63	2055.333820300002	2001.7029996999918	2055.333820300002	2001.7029996999918
2.65	2063.5443662000034	1995.2767825000046	2063.5443662000034	1995.2789772999968
2.67	2070.7343551000085	1989.0502873000078	2070.7343551000085	1989.0502873000078
2.69	2077.1078983000043	1983.148614500009	2077.1078983000043	1983.148614500009
2.71	2082.465274000002	1977.282057599994	2082.465274000002	1977.282057599994
2.74	2088.9968389999995	1968.759857699988	2088.9968389999995	1968.759857699988
2.76	2092.436006499993	1963.2312917999952	2092.436006499993	1963.2312917999952
2.79	2096.3580182000005	1955.1195095000003	2096.3580182000005	1955.1195095000003
2.81	2098.2191630000016	1949.8104181999952	2098.2191630000016	1949.8104181999952
2.84	2099.981544299997	1941.9466421999969	2099.981544299997	1941.9466421999969
2.87	2100.6246049000038	1934.1684612999961	2100.6246049000038	1934.170656000002
2.89	2100.488530699993	1929.0151970000006	2100.488530699993	1929.0151970000006
2.92	2099.5052842999867	1921.2984689999867	2099.5052842999867	1921.2984689999867
2.96	2096.8869520000007	1911.0073035999958	2096.8869520000007	1911.0094984000025
2.99	2094.042560800008	1903.257654400004	2094.042560800008	1903.257654400004
3.02	2090.5199929999944	1895.4641102999885	2090.5199929999944	1895.4641102999885
3.06	2084.8751054999884	1884.9798072999984	2084.8751054999884	1884.9798072999984
3.09	2080.0093529000005	1877.0479940000077	2080.0093529000005	1877.0479940000077
3.13	2072.7491321999987	1866.3529954000114	2072.7491321999987	1866.3529954000114
3.17	2064.6922185000003	1855.5153380999982	2064.6922185000003	1855.5153380999982
3.22	2053.6899552999967	1841.7915894999896	2053.6899552999967	1841.7915894999896
3.26	2044.2481566999923	1830.6949521999923	2044.2481566999923	1830.6949521999923
3.31	2031.7402976000012	1816.6771076000005	2031.7402976000012	1816.6749128999945
3.36	2018.5937672	1802.540746700004	2018.5937672	1802.540746700004
3.42	2002.144143700003	1785.4853732000047	2002.144143700003	1785.4853732000047
3.48	1985.123886100002	1768.3904941999936	1985.123886100002	1768.3904941999936
3.54	1967.7151585000101	1751.352678700001	1967.7151585000101	1751.352678700001
3.61	1947.1262434999953	1731.672388699997	1947.1262434999953	1731.672388699997
3.68	1926.44953849999	1712.3432579999935	1926.44953849999	1712.3432579999935
3.76	1902.9679479000042	1690.865470699995	1902.9679479000042	1690.865470699995
3.85	1877.054578299998	1667.7240657000075	1877.054578299998	1667.7240657000075
3.95	1849.233974200004	1643.557714200011	1849.233974200004	1643.557714200011
4.05	1822.717049400002	1621.2568969999993	1822.717049400002	1621.2568969999993
4.17	1792.9343422000093	1597.2222303000017	1792.9343422000093	1597.2178408000036
4.31	1761.3256058999978	1573.2468216999987	1761.3256058999978	1573.2468216999987
4.46	1731.2444131999946	1552.4362373999902	1731.2444131999946	1552.4362373999902
4.64	1700.1865581999882	1533.9784208999918	1700.1865581999882	1533.9784208999918
4.85	1670.22607650001	1520.7616587000084	1670.22607650001	1520.7594639000017
5.11	1641.000834800012	1514.9104651000089	1641.000834800012	1514.9104651000089
5.43	1614.014234199989	1518.9883036999963	1614.014234199989	1518.9883036999963
5.85	1588.7614833000116	1531.9680332999997	1588.7614833000116	1531.9680332999997
6.44	1565.3896300000051	1546.7035599999945	1565.3896300000051	1546.7035599999945
7.37	1556.2682644000015	1544.427608099999	1556.2682644000015	1544.427608099999
9.28	1550.2788016999984	1544.8051044999884	1550.2788016999984	1544.8051044999884
