R	7A1_4A1	8A1_4A1	5B1_7A1	5B1_8A1	6B1_7A1	6B1_8A1	9B1_4A1	9B1_5B1	9B1_6B1	5B2_7A1	5B2_8A1	6B2_7A1	6B2_8A1	9B2_4A1	9B2_5B2	9B2_6B2	5A2_9B1	5A2_9B2	6A2_9B1	6A2_9B2	9A2_5B1	9A2_6B1	9A2_5B2	9A2_6B2	9A2_5A2	9A2_6A2
Intensities	0.00015727721036313912	6.459630182124728e-16	1.970843307601789e-06	3.838873014714625e-06	5.957660909396107e-06	3.5564398315913194e-08	1.0600641352640624e-08	6.454084748778662e-05	5.388802358628562e-07	1.970843307601789e-06	3.838773420782438e-06	5.957660909396107e-06	3.5564398315913194e-08	1.0600641352640624e-08	6.454084748778662e-05	5.389175512085293e-07	7.985560197675252e-09	7.990103255582339e-09	8.348900164208513e-06	8.348900164208513e-06	3.294661954832783e-06	4.514069686832095e-06	3.294661954832783e-06	4.514069686832095e-06	0.00015490080447403326	6.459630182124728e-16
2e-08	563082839843665.1	763781651455697.5	539718588495694.0	740417400107726.4	449121651232751.7	649820462844784.0	720372117681161.5	697007866333190.4	606410929070248.0	539719415344612.6	740418226956645.0	449121651232751.7	649820462844784.0	720372117681161.5	697008693182109.0	606410929070248.0	720334496088280.5	720334496088280.5	607048842503126.2	607048842503126.2	740923844670692.5	650326907407750.1	740924671519611.0	650326907407750.1	764250474425782.6	650964820840628.4
2.0099999999999998e-08	539088943542599.7	740330581041802.2	516030212625543.75	717271850124746.4	422190789900337.7	623432427399540.2	697080628981604.0	674021898064548.1	580182475339342.0	516031452894220.6	717273090393423.1	422190789900337.7	623432427399540.2	697080628981604.0	674023138333225.0	580182475339342.0	697040113417505.2	697040113417505.2	580897285660523.2	580897285660523.2	717777054414337.2	623937631689131.1	717778294683014.1	623937631689131.1	740795269767294.4	624652442010312.4
2.0200000000000002e-08	515991764183744.2	717789457134013.1	493278242417484.8	695075935367753.8	396560560891828.06	598358253842097.0	674706528423711.0	651993006657451.6	555275325131794.9	493279482686161.7	695077175636430.6	396560560891828.06	598358253842097.0	674706528423711.0	651994246926128.5	555275325131794.9	674662705463940.5	674662705463940.5	556079848490115.3	556079848490115.3	695579899383964.1	598862217858307.4	695581139652640.9	598862217858307.4	718249598190452.9	599666741216627.8
2.03e-08	493761948649297.9	696129340053083.8	471435805291067.3	673803196694853.1	372256596490795.0	574623987894580.9	653220049474627.0	630893906116396.5	531714697316124.1	471437045564445.25	673804436968231.1	372256596490795.0	574623987894580.9	653220049474627.0	630895146389774.4	531714697316124.1	653173332548342.5	653173332548342.5	532623816978010.06	532623816978010.06	674305507013229.0	575126298212956.6	674306747286606.9	575126298212956.6	696584933445175.0	576035417874842.6
2.04e-08	472371797523998.25	675322943803512.5	450476442109107.7	653427588388621.9	349311143781547.8	552262290061062.0	632594732997168.6	610699377582278.1	509534079254718.25	450477682382485.56	653428828661999.8	349311143781547.8	552262290061062.0	632594732997168.6	610700617855656.0	509534079254718.25	632544295250750.4	632544295250750.4	510565985886974.1	510565985886974.1	653928658433622.5	552763360106062.6	653929898707000.4	552763360106062.6	675773576102094.8	553795266738318.56
2.0499999999999998e-08	451794438241501.3	655342155540879.1	430375347427561.2	633923064726939.0	327764304913130.94	531312022212508.7	612803706410886.0	591384615596945.9	488773573082515.6	430376174276479.8	633923891575857.6	327764304913130.94	531312022212508.7	612803292986426.6	591385029021405.1	488773159658056.3	612749547849035.0	612749134424575.8	489950178157973.8	489949764733514.5	634423307927716.5	531812265413286.3	634424134776635.1	531812265413286.3	655788240179805.8	532988870488744.5
2.0600000000000002e-08	432002998235457.6	636162169825829.0	411105648675374.6	615264820265746.0	307654114898178.1	511813286488549.5	593820097154136.1	572922747594053.1	469471213816856.6	411106888944051.5	615266060534422.9	307654528322637.44	511813699913008.8	593820097154136.1	572923987862730.0	469471627241315.9	593762217772154.1	593762217772154.1	470818149637887.94	470818149637887.94	615763823188447.4	512312289411250.9	615765063457124.2	512312702835710.2	636603293366548.4	513659225232282.25
2.07e-08	412973085472184.2	617756114077920.8	392645434365618.06	597428462971354.6	289013647669928.25	493796676275664.8	575619926627089.2	555292275520523.1	451660488824833.3	392646674638993.25	597429703244729.8	289013647669928.25	493796676275664.8	575619926627089.2	555293515793898.3	451660488824833.3	575557913005215.2	575557913005215.2	453208762197673.75	453208762197673.75	597926639049838.5	494294852354148.6	597927879323213.6	494294852354148.6	618192276534530.6	495843125726989.06
2.08e-08	394679481087867.0	600100423126481.9	374969485634480.3	580390427673095.1	271854892528296.38	477275834566911.2	558177149102915.06	538467153649528.3	435352560543344.4	374970725907858.25	580391667946473.0	271854892528296.38	477275834566911.2	558177149102915.06	538468393922906.25	435352560543344.4	558110587821390.9	558110587821390.9	437141033334255.5	437141033334255.5	580886536633983.5	477771943527799.56	580887776907361.4	477771943527799.56	600529970805846.0	479560416318710.6
