5A1_4A1	6A1_4A1	5B1_5A1	5B1_6A1	6B1_5A1	6B1_6A1	7B1_4A1	7B1_5B1	7B1_6B1	5B2_5A1	5B2_6A1	6B2_5A1	6B2_6A1	7B2_4A1	7B2_5B2	7B2_6B2	5A2_7B1	5A2_7B2	6A2_7B1	6A2_7B2	7A2_5B1	7A2_6B1	7A2_5B2	7A2_6B2	7A2_5A2	7A2_6A2
Intensities	1.0000000000000001e-16	7.951272039999999e-06	2.5714026809999997e-07	2.0475625e-07	1.9166884e-09	3.131969296e-07	5.312952100000001e-09	3.4444761648999998e-06	3.60924004e-08	2.5713012640000004e-07	2.0475625e-07	1.9166884e-09	3.131969296e-07	5.312952100000001e-09	3.4444761648999998e-06	3.60924004e-08	3.8105928999999994e-09	3.8093584e-09	4.6063368999999995e-07	4.6063368999999995e-07	2.9785397759999993e-07	2.3106287609999998e-07	2.9785397759999993e-07	2.3106287609999998e-07	8.190757802499999e-06	1.0000000000000001e-16
2e-08	563082839845153.6	503964008455.58124	24621474134294.684	537957401702403.4	539718588494158.94	22860287342539.074	113961188597125.55	424500177113733.4	90596937246130.89	24621474134294.684	537957401702403.4	539719415343814.94	22859460492883.1	113961188597125.55	424500177113733.4	90597764095786.88	113923567003690.88	113923567003690.88	637913426738.1034	637913426738.1034	26605083106863.36	541702197466727.6	26605083106863.36	541703024316383.6	565028827224287.6	451743173647334.8
2.0099999999999998e-08	539088943545148.94	790053518623.1475	24645039302406.707	513653850724119.06	516030212624156.75	22268677402369.047	116898153641143.61	397545750601598.6	93839422720151.42	24645039302406.707	513653850724119.06	516031452889220.75	22267437137305.023	116898153641143.61	397545750601598.6	93840662985215.45	116857638083330.23	116857638083330.23	714810312916.6625	714810312916.6625	26624514045529.906	518009687367279.94	26624514045529.906	518010927632344.0	541027902730458.75	424885074960045.2
2.0200000000000002e-08	515991764181063.4	1091026284929.4647	24670671604078.605	490230066292055.3	493278242417062.7	21622495479071.203	119431203296756.98	371889889280227.75	96717681532756.31	24670671604078.605	490230066292055.3	493279482682129.44	21621255214004.438	119431203296756.98	371889889280227.75	96718921797823.08	119387380340319.7	119387380340319.7	804523359353.8485	804523359353.8485	26645185249265.957	495252756062250.06	26645185249265.957	495253996327316.8	517922454869813.44	399339597888847.56
2.03e-08	493761948656030.1	1406468891969.2244	24698371039310.375	467657108724750.56	471435805306149.06	20919674457911.836	121505352165418.83	347558225451300.94	99179208815537.77	24698371039310.375	467657108724750.56	471437045571213.1	20918434192847.812	121505352165418.83	347558225451300.94	99180449080601.78	121458635244602.83	121458635244602.83	909119661927.0444	909119661927.0444	26667923586561.883	473405357853400.6	26667923586561.883	473406598118464.6	495684784282465.6	375135268699789.9
2.04e-08	472371797515980.4	1737208189395.659	24727310701934.645	445907278624650.1	450476442102408.3	20158147224176.434	123060653731812.06	324583833082233.7	101165298318239.97	24727310701934.645	445907278624650.1	450477682386309.44	20156906940275.277	123060653731812.06	324583833082233.7	101166538602141.12	123010215996961.38	123010215996961.38	1031906619268.3704	1031906619268.3704	26691902170081.957	452441033570555.6	26691902170081.957	452442273854456.75	474285951249277.0	352307641871584.0
2.0499999999999998e-08	451794438250681.4	2083657630291.085	24758730951201.1	424952049669189.2	430375347429170.25	19335433191220.062	124030133343304.1	303005573956176.2	102611042521792.95	24758730951201.1	424952049669189.2	430376174278826.2	19334606341564.09	124030133343304.1	303005573956176.2	102611869371448.92	123975974775581.6	123975974775581.6	1176605083084.0388	1176605083084.0388	26717534490590.99	432334150968560.1	26717534490590.99	432334977818216.06	453699083222348.75	330899713529851.2
2.0600000000000002e-08	432002998218051.4	2445817158146.844	24791391446697.19	404765789613207.3	411105648663187.56	18451532396716.992	124348883330133.36	282862723441220.8	103451533775269.53	24791391446697.19	404765789613207.3	411106888928251.56	18450292131652.97	124348469895885.44	282863136875468.75	103452360606085.62	124291003948376.17	124290590514128.23	1346935829737.213	1346522395489.2886	26744820472740.44	413059077689230.8	26744820472740.44	413060317954294.8	433898547862337.44	310954479743698.5
2.07e-08	412973085475665.44	2824513660290.436	24826945925409.13	385321625889965.9	392645434354494.5	17503137460880.455	123959437801291.02	264186701748965.28	103631786680120.12	24826945925409.13	385321625889965.9	392646674638398.44	17501897176976.557	123959437801291.02	264186701748965.28	103633026964024.02	123897424171251.2	123897424171251.2	1548273372569.0461	1548273372569.0461	26774173588447.027	394592662017532.44	26774173588447.027	394593902301436.3	414858299508663.5	292509148709981.4
2.08e-08	394679481080753.75	3219747136727.3423	24865394368499.777	366594339575526.6	374969485635667.25	16490248308359.182	122824588559924.27	246989498152329.72	103114593114837.73	24865394368499.777	366594339575526.6	374970725900734.0	16489008043292.416	122824588559924.27	246989498152329.72	103115833379904.5	122758027285028.19	122758027285028.19	1788472792742.1948	1788472792742.1948	26805593818879.094	376909685086046.56	26805593818879.094	376910925351113.3	396553119256237.0	275583564763951.0
2.09e-08	377101927301499.8	3631517568614.948	24909630759184.99	348560778973699.9	358061265513580.7	15409144219304.148	120943508756368.9	231248787785945.9	101902846968449.81	24909630759184.99	348560778973699.9	358062505797484.6	15407903935400.25	120943095340960.86	231249201201353.97	101903673836945.66	120872399817782.17	120871986402374.12	2074562284069.887	2074148868661.837	26838667748620.367	359990302503016.06	26838667748620.367	359991542786920.0	378959855352348.44	260162017818636.16
