States	4B1_2A1	4B1_2B1	4B2_2A1	4B2_2B2	4A2_2B1	4A2_2B2
Frequency	10395.07566428106	10379.376643994125	10395.07566428106	10379.378838742166	10379.411759937822	10379.413954685864
Intensity	3009790.867538366	3082226.8074145867	3009801.338647941	3082233.30877007	2899643.5328848804	2899639.5785039957
300 Broad	1.6835777615911792e-10	1.6237167627397105e-10	1.683577762050037e-10	1.6231086860028933e-10	1.622918666919359e-10	1.622309034584223e-10
300 Shift	1.2118984112399678e-10	1.1985478976953512e-10	1.2118984109996256e-10	1.1933894087554455e-10	1.2009568228691194e-10	1.195797664601624e-10
350 Broad	1.7075477331079454e-10	1.646823729481076e-10	1.7075477334087776e-10	1.646216701735205e-10	1.6458859640025247e-10	1.645277674545266e-10
350 Shift	1.2843911341022228e-10	1.2618356013554438e-10	1.2843911340590277e-10	1.2566226145301452e-10	1.2639449421577297e-10	1.2587311729607522e-10
400 Broad	1.7267351162085486e-10	1.6662559129426171e-10	1.7267351165406125e-10	1.6656535580937608e-10	1.6652346403516158e-10	1.6646312675966685e-10
400 Shift	1.3429303711173638e-10	1.312281137636239e-10	1.342930371282744e-10	1.3070215725407666e-10	1.3141184894349753e-10	1.3088580792254967e-10
450 Broad	1.7429662581189193e-10	1.6834393355447434e-10	1.742966258640843e-10	1.6828438030975917e-10	1.6823734264704098e-10	1.6817770800750625e-10
450 Shift	1.3909884842176057e-10	1.3531531119456794e-10	1.3909884844859077e-10	1.3478532797790794e-10	1.3547436168518193e-10	1.3494429084422421e-10
500 Broad	1.7573206420778767e-10	1.6991828776837833e-10	1.7573206428550576e-10	1.6985954283976588e-10	1.698099218232691e-10	1.697511127330955e-10
500 Shift	1.4309703012536e-10	1.3866972825485124e-10	1.430970301451779e-10	1.381362275506062e-10	1.3880625298651144e-10	1.3827266357887022e-10
550 Broad	1.7704600110670034e-10	1.7139662909359206e-10	1.7704600120611072e-10	1.713387633608242e-10	1.71288309973512e-10	1.712303947871049e-10
550 Shift	1.4645826471963445e-10	1.4145062355429336e-10	1.4645826471482248e-10	1.409140220338018e-10	1.415664687939915e-10	1.4102977881284132e-10
600 Broad	1.7827952025065037e-10	1.728081700601855e-10	1.7827952035982216e-10	1.7275121939586503e-10	1.7270109102205276e-10	1.7264410357396096e-10
600 Shift	1.4930648018708247e-10	1.437738590165666e-10	1.4930648014443686e-10	1.4323450290193598e-10	1.4387064227218963e-10	1.4333119879655347e-10
650 Broad	1.7945778448262458e-10	1.7417069430160737e-10	1.7945778458499429e-10	1.7411467209346442e-10	1.740656033549988e-10	1.740095553668258e-10
650 Shift	1.5173359184936752e-10	1.4572547682477106e-10	1.51733591762443e-10	1.4518365883805474e-10	1.4580466340230078e-10	1.4526275970081496e-10
700 Broad	1.8059544574496587e-10	1.7549456427828305e-10	1.8059544582263443e-10	1.7543946941308967e-10	1.7539190629757296e-10	1.7533679527532428e-10
700 Shift	1.5380911765132378e-10	1.4737044204068642e-10	1.538091175208444e-10	1.468264146997105e-10	1.4743339902688043e-10	1.468892879543102e-10
750 Broad	1.81700041124711e-10	1.7678505896113956e-10	1.8170004116096854e-10	1.767308810272195e-10	1.766850829447767e-10	1.7663089731715323e-10
750 Shift	1.5558656649824565e-10	1.4875847248610182e-10	1.555865663313044e-10	1.4821245870538166e-10	1.4880650028444931e-10	1.482604049500534e-10
800 Broad	1.8277424519203266e-10	1.7804385540592818e-10	1.8277424517298437e-10	1.7799057813965498e-10	1.7794669221008123e-10	1.7789341472747987e-10
800 Shift	1.5710776941949512e-10	1.4992805123374993e-10	1.5710776922816662e-10	1.4938025281485864e-10	1.4996239814756012e-10	1.49414520451444e-10
850 Broad	1.8381743646416626e-10	1.7927005762542844e-10	1.83817436379569e-10	1.7921766122059993e-10	1.7917577365875253e-10	1.79123383667395e-10
850 Shift	1.5840588295975066e-10	1.5090926726440955e-10	1.5840588275954876e-10	1.5035987163787079e-10	1.5093113326032603e-10	1.503816606669857e-10
900 Broad	1.8482682823686896e-10	1.8046096983133153e-10	1.8482682808036866e-10	1.8040943249622514e-10	1.8036960210708596e-10	1.8031807707971116e-10
900 Shift	1.5950752173333998e-10	1.5172587567745728e-10	1.5950752154177395e-10	1.5117506114464052e-10	1.5173641031341325e-10	1.5118552111549307e-10
950 Broad	1.8579830501306815e-10	1.816127076939718e-10	1.8579830478203263e-10	1.8156200670178e-10	1.8152428510595092e-10	1.8147360167230353e-10
950 Shift	1.604343075832128e-10	1.523968212009719e-10	1.6043430741856507e-10	1.5184476087573363e-10	1.5239711917882516e-10	1.518449864538492e-10
1000 Broad	1.8672704747236626e-10	1.8272069128449167e-10	1.8672704716747535e-10	1.826708036777933e-10	1.826352461770335e-10	1.8258538081302952e-10
1000 Shift	1.6120401771931555e-10	1.5293738121464564e-10	1.6120401759968098e-10	1.5238424584734566e-10	1.5292847768641857e-10	1.5237527213117808e-10
