States	5A1_2A1	6A1_2A1	2B1_5A1	2B1_6A1	7B1_2A1	7B1_2B1	2B2_5A1	2B2_6A1	7B2_2A1	7B2_2B2	7A2_2B1	7A2_2B2
Frequency	11764.136458752284	11770.927003801815	11748.43743846535	11755.22798351488	11771.27377371784	11755.574753430905	11748.439633213391	11755.230178262922	11771.271578969798	11755.574753430905	11756.12124526895	11756.123440016992
Intensity	17272916.233215675	0.00018348050670145878	4422059.220836481	12787979.963337673	13210549.722291714	12986365.57127159	4422176.836179747	12787876.555572378	13210552.906964136	12986375.380247038	12773061.031948516	12773065.072545825
300 Broad	1.8428998980691461e-10	2.615996505425993e-10	1.8058594317506808e-10	2.617692764141168e-10	2.2925557109500102e-10	2.2952963176444872e-10	1.8051852236622747e-10	2.6172076540283044e-10	2.2933240490549178e-10	2.2956817169595058e-10	2.3380467628170364e-10	2.3372937375289834e-10
300 Shift	1.3904625699127997e-10	1.1223331486642615e-10	1.373913081651327e-10	1.1656206154210577e-10	8.29054272363565e-11	8.308673108533871e-11	1.3688278330399622e-10	1.1608754873148211e-10	8.38443364939109e-11	8.353330111127274e-11	1.6900468443692101e-10	1.685285020094779e-10
350 Broad	1.8646759062077366e-10	2.7770996425426686e-10	1.8287313403804865e-10	2.770309146422509e-10	2.441324762214278e-10	2.448901804381927e-10	1.828066847236983e-10	2.7698042417443383e-10	2.4420789694660104e-10	2.449286470965462e-10	2.3903565523811605e-10	2.3895850371637986e-10
350 Shift	1.459401075930355e-10	1.2617979132254345e-10	1.4364748598963478e-10	1.3092713562079157e-10	8.700447011283386e-11	8.730011087080751e-11	1.4313291561353044e-10	1.3045161079699088e-10	8.794723072314561e-11	8.774846277945542e-11	1.824058222772843e-10	1.8192445690286052e-10
400 Broad	1.8833109653374488e-10	2.9114101312954985e-10	1.848872248706053e-10	2.896225292949822e-10	2.5861576664808343e-10	2.598148457865974e-10	1.8482198141979288e-10	2.8956997518827955e-10	2.586898626502101e-10	2.598532881533473e-10	2.4293355867170313e-10	2.428550552954373e-10
400 Shift	1.513923022077433e-10	1.3972919254018866e-10	1.485494382305445e-10	1.4468343027037268e-10	9.088997791048546e-11	9.146600680894977e-11	1.480297926733865e-10	1.4420659505534905e-10	9.183563201323662e-11	9.191586520581168e-11	1.9402529069766572e-10	1.9353913978938258e-10
450 Broad	1.90015821807817e-10	3.024040308630212e-10	1.867450625768556e-10	3.0009121927489115e-10	2.727224157458927e-10	2.742754044037209e-10	1.8668113173280004e-10	3.0003665961758726e-10	2.727953855984115e-10	2.743138671022403e-10	2.458959764333543e-10	2.458165121391462e-10
450 Shift	1.5578078024427136e-10	1.527041524466085e-10	1.5245949766472495e-10	1.5770263904672432e-10	9.486024993889186e-11	9.582686992422653e-11	1.5193552646309175e-10	1.5722426388024555e-10	9.580808542939734e-11	9.627803859790179e-11	2.0418871799555209e-10	2.0369814974186848e-10
