States	4A1_2A1	2B1_4A1	5B1_2A1	5B1_2B1	6B1_2A1	6B1_2B1	2B2_4A1	5B2_2A1	5B2_2B2	6B2_2A1	6B2_2B2	5A2_2B1	5A2_2B2	6A2_2B1	6A2_2B2
Frequency	11604.532313086951	11588.833292800016	11614.03556454445	11598.336544257516	11619.399524515058	11603.700504228123	11588.835487548058	11614.03556454445	11598.338739005558	11619.399524515058	11603.702698976165	11587.479134331588	11587.48132907963	11606.141062103561	11606.143256851603
Intensity	1.3704240838286129e-05	50305.02775587764	47850.91805412239	72804.41749606805	12.447488106438295	175.9452601251562	50306.681705551324	47850.22421148286	72802.27077781792	12.482996217865965	175.9491368030275	38258.12819602555	38258.532021869294	15602.072380122478	15602.46813045167
300 Broad	1.8249230337559855e-10	1.805953431096608e-10	1.4030240550166303e-10	1.4160554545021993e-10	2.622053158185359e-10	2.611050467419056e-10	1.805298345521966e-10	1.402857812199505e-10	1.4156135774205902e-10	2.62205592730124e-10	2.610571439856109e-10	2.427426010417626e-10	2.4266748066101227e-10	2.3617370319686733e-10	2.361481174094348e-10
300 Shift	1.3947216220569025e-10	1.3799679890726164e-10	5.0614660769600314e-11	5.030909015602536e-11	1.1239342292580025e-10	1.1578391935122862e-10	1.374862635301967e-10	5.021650807567663e-11	4.93842358949281e-11	1.1239206180744785e-10	1.1530871178866087e-10	1.6519295474757424e-10	1.6471402475437697e-10	5.661385372954476e-11	5.6121449649103844e-11
350 Broad	1.854989328690335e-10	1.837516500046016e-10	1.4773325028485166e-10	1.4918901541770606e-10	2.7590736664811113e-10	2.740317254745733e-10	1.8368801882999542e-10	1.4771813312229388e-10	1.4914959636982645e-10	2.7590794153398205e-10	2.739812474353038e-10	2.4674407151792937e-10	2.466684302727489e-10	2.563530201220643e-10	2.563285340365258e-10
350 Shift	1.4479955854057837e-10	1.4294197967191065e-10	4.846405730124182e-11	4.814757374001279e-11	1.2746328381155078e-10	1.3082203512545265e-10	1.4242595387873e-10	4.8064755146345077e-11	4.721953563442314e-11	1.2746186916041907e-10	1.3034467955608262e-10	1.76730526284511e-10	1.7624495203681832e-10	6.091863065028304e-11	6.042640653077575e-11
400 Broad	1.8822818950603186e-10	1.8664985533680225e-10	1.5464155208848386e-10	1.5623809644189553e-10	2.869679937755377e-10	2.844042696510933e-10	1.8658811565515065e-10	1.5462770077084737e-10	1.5620270662144054e-10	2.869688394328927e-10	2.8435149458788145e-10	2.498295429969247e-10	2.4975393268819484e-10	2.75458358623097e-10	2.7543443533899935e-10
400 Shift	1.4889024195782507e-10	1.4670759337781278e-10	4.630735595973921e-11	4.598388919013394e-11	1.414845238830269e-10	1.4468881423403692e-10	1.4618700981506442e-10	4.5907133321384534e-11	4.505324715024189e-11	1.414831079502716e-10	1.4420911784289124e-10	1.8621242102917881e-10	1.857210558272916e-10	6.625764091511629e-11	6.576595107379241e-11
450 Broad	1.9078195931511093e-10	1.8938044686152537e-10	1.6111135771238322e-10	1.6283959101227966e-10	2.9600505860962293e-10	2.928430343580611e-10	1.8932055134517716e-10	1.6109859029040292e-10	1.628076670099063e-10	2.960061459630788e-10	2.9278826088113226e-10	2.523310314704483e-10	2.522558045626273e-10	2.9337421896843595e-10	2.933504041500508e-10
450 Shift	1.5208249480721507e-10	1.4961930077236866e-10	4.416774322677257e-11	4.383974665397251e-11	1.5444172613411998e-10	1.5741062666922504e-10	1.4909486299011113e-10	4.376676080247227e-11	4.290691136815467e-11	1.5444034463613847e-10	1.5692849699367364e-10	1.9412127858304678e-10	1.9362482798308562e-10	7.248219564828869e-11	7.19911841138719e-11
500 Broad	1.9321673586374098e-10	1.919936537572785e-10	1.6720620722277447e-10	1.6905870362796584e-10	3.0347174518430164e-10	2.9979532539156533e-10	1.9193552744166062e-10	1.6719438234556641e-10	1.6902980418577295e-10	3.034730464642867e-10	2.997388371923261e-10	2.544475316456699e-10	2.543729153669269e-10	3.100675751920319e-10	3.100435073968464e-10
500 Shift	1.5460144031123877e-10	1.5189328378975466e-10	4.205733802573397e-11	4.172622373443229e-11	1.663846857950214e-10	1.6906563771179437e-10	1.513655368436162e-10	4.16557136391406e-11	4.0791499348764234e-11	1.6638336297957348e-10	1.6858105045903457e-10	2.0079970539958722e-10	2.002987553007535e-10	7.940876690722074e-11	7.891845330674382e-11
550 Broad	1.955652170002321e-10	1.9451877306666215e-10	1.7297554832592782e-10	1.7494591801783408e-10	3.097041515771825e-10	3.055884773075399e-10	1.9446233019314547e-10	1.7296455348414326e-10	1.7491968957255203e-10	3.097056414939021e-10	3.0553053046726834e-10	2.56303034416849e-10	2.562291751319892e-10	3.2555878856409965e-10	3.2553419080442096e-10
550 Shift	1.5660263725098497e-10	1.5367858166038505e-10	3.998250295600158e-11	3.9649074666468404e-11	1.773887239740394e-10	1.7974840042348536e-10	1.531479577341736e-10	3.9580326337767546e-11	3.87126951880776e-11	1.7738747611647035e-10	1.7926137628873942e-10	2.0649701445722941e-10	2.0599205536894944e-10	8.686253721381434e-11	8.637287121495285e-11
600 Broad	1.9784664142763124e-10	1.9697329142804445e-10	1.7845840789128402e-10	1.8054098835694253e-10	3.149545373050875e-10	3.104654236139558e-10	1.9691844399866768e-10	1.7844815171230452e-10	1.805171421396373e-10	3.149561933346279e-10	3.104062437632113e-10	2.5797691734490223e-10	2.579039080193957e-10	3.398989790181864e-10	3.398736450735172e-10
600 Shift	1.581969223369352e-10	1.5508112614071869e-10	3.7946421000041576e-11	3.761121656674103e-11	1.875355533644054e-10	1.8955373893807186e-10	1.545479753954174e-10	3.754376316289745e-11	3.667336894359009e-11	1.8753439115811212e-10	1.890643281627247e-10	2.1139858535093935e-10	2.1089003225701008e-10	9.469177682164595e-11	9.420267212701133e-11
650 Broad	2.0007201097458624e-10	1.9936741289847444e-10	1.8368557884930594e-10	1.8587530879776427e-10	3.1941424256324443e-10	3.1460859266857217e-10	1.993140750001072e-10	1.8367598585905267e-10	1.8585360509186607e-10	3.194160448520519e-10	3.145483763175751e-10	2.5952068897838053e-10	2.594485866868103e-10	3.5315464637156857e-10	3.5312842710930504e-10
650 Shift	1.5946526126010236e-10	1.5617807063545675e-10	3.5950503470586154e-11	3.5614013885514666e-11	1.969042087378476e-10	1.9856974011506509e-10	1.5564268304353847e-10	3.55474231942433e-11	3.4674853955627375e-11	1.9690313893478668e-10	1.9807801276278646e-10	2.1564475188404336e-10	2.151329603917968e-10	1.0277000985780333e-10	1.0228136549314815e-10
700 Broad	2.022468757112524e-10	2.017064241414286e-10	1.886810352318064e-10	1.9097340848246161e-10	3.2322959318274477e-10	3.1815620691149804e-10	2.016545140445998e-10	1.8867204217828656e-10	1.9095364547409348e-10	3.2323152430321143e-10	3.1809512437505886e-10	2.609676456115136e-10	2.608964829930476e-10	3.6539784854190887e-10	3.653706400263037e-10
700 Shift	1.6046800226655124e-10	1.5702671077595657e-10	3.399523465732517e-11	3.3658010134299744e-11	2.0556701060609332e-10	2.0687509260322547e-10	1.5648933222838208e-10	3.3591783329879795e-11	3.2717674507116406e-11	2.0556603715151217e-10	2.063811328144996e-10	2.1934329725707305e-10	2.1882857681269827e-10	1.1099355103082207e-10	1.1050526483230415e-10
750 Broad	2.0437293774304254e-10	2.0399203832196828e-10	1.934629801756147e-10	1.95854017416377e-10	3.2651312878316265e-10	3.212136423162966e-10	2.03941479387815e-10	1.93454533376339e-10	1.9583602308689946e-10	3.2651517344709355e-10	3.211518410620824e-10	2.623387152400803e-10	2.6226850816372867e-10	3.7670024592612047e-10	3.7667197968146726e-10
750 Shift	1.612508606456654e-10	1.5767026068312636e-10	3.2080698671343465e-11	3.174337300495487e-11	2.1358810236184658e-10	2.1453852349574154e-10	1.5713110524666553e-10	3.1676924088861443e-11	3.080198835983703e-11	2.1358722718627259e-10	2.1404242637352572e-10	2.2257796954898223e-10	2.2206059430649464e-10	1.1927774436902232e-10	1.1878972162475444e-10
800 Broad	2.064490838594788e-10	2.0622326937409389e-10	1.9804473998402556e-10	2.0053094945244117e-10	3.2935171085018536e-10	3.238615424799904e-10	2.0617399031946464e-10	1.9803679336621416e-10	2.005145755478435e-10	3.2935385562776966e-10	3.2379915037981797e-10	2.6364619097726126e-10	2.635769437688938e-10	3.8712974243681935e-10	3.8710037769873424e-10
800 Shift	1.6184892508189895e-10	1.5814172993714773e-10	3.020689993613706e-11	2.9870166938843786e-11	2.2102332005821486e-10	2.216192472236522e-10	1.5760098933821252e-10	2.980284933204758e-11	2.892785742089867e-11	2.2102254363542482e-10	2.2112111734139664e-10	2.2541446120272427e-10	2.2489467893664117e-10	1.275532900176706e-10	1.2706544899685535e-10
850 Broad	2.0847214061342926e-10	2.0839709567204843e-10	2.0243559745275866e-10	2.050139170590454e-10	3.31812519715715e-10	3.2616176004593e-10	2.0834903049263766e-10	2.0242811107598173e-10	2.0499903451754702e-10	3.3181475277955684e-10	3.2609888831628597e-10	2.6489625765012564e-10	2.648279667118827e-10	3.9674883073115886e-10	3.967183483593315e-10
850 Shift	1.6228942723981455e-10	1.5846661072074934e-10	2.8373939781429534e-11	2.8038509008190306e-11	2.279207411282533e-10	2.2816788363968854e-10	1.579244616908637e-10	2.796966220138709e-11	2.7095402019698612e-11	2.2792006287224872e-10	2.276678344407528e-10	2.2790472809713422e-10	2.2738276741972845e-10	1.35763150632563e-10	1.352754260135114e-10
900 Broad	2.104374849729289e-10	2.105090232722364e-10	2.0664158869681822e-10	2.0930931322873398e-10	3.3394758715080806e-10	3.281618046504483e-10	2.1046211099002723e-10	2.0663452762037176e-10	2.092958086588419e-10	3.339498980512894e-10	3.2809855041379254e-10	2.6609079556126286e-10	2.6602345190728363e-10	4.0561402257518223e-10	4.055824202905163e-10
900 Shift	1.6259371237035621e-10	1.5866479231830988e-10	2.6582092577903715e-11	2.624864244335029e-11	2.3432155096817603e-10	2.342275599915022e-10	1.5812140220613851e-10	2.6177640655971275e-11	2.5304872979723804e-11	2.3432096951862586e-10	2.33725713575935e-10	2.3009018707689266e-10	2.295662631570158e-10	1.4386012785948701e-10	1.4337247266132743e-10
950 Broad	2.123395640010479e-10	2.125535860712029e-10	2.106662544342008e-10	2.1342095551727252e-10	3.3579728044403515e-10	3.298982313143287e-10	2.1250777039932562e-10	2.1065958783646864e-10	2.134087284498562e-10	3.357996599161402e-10	3.2983467978093233e-10	2.6722872229117124e-10	2.6716231333847204e-10	4.1377593708597965e-10	4.137432257384696e-10
950 Shift	1.6277867601324623e-10	1.5875195582838568e-10	2.4831815093969676e-11	2.4500953392847777e-11	2.4026102063435613e-10	2.3983504017860913e-10	1.582074867699924e-10	2.4427246274668024e-11	2.35566670400723e-11	2.4026053406424915e-10	2.3933152715451925e-10	2.320041298960421e-10	2.3147844885434793e-10	1.5180503523422043e-10	1.513174216371199e-10
1000 Broad	2.1417234054989553e-10	2.1452478857753019e-10	2.1451132609877252e-10	2.1735077262468172e-10	3.373930104232351e-10	3.313992522023354e-10	2.1448001755475444e-10	2.145050265843879e-10	2.1733973334639684e-10	3.3739545022231104e-10	3.3133547850284646e-10	2.683070156595171e-10	2.682415264984038e-10	4.2127975563845844e-10	4.2124595626850984e-10
1000 Shift	1.6285783160630459e-10	1.5874060730994332e-10	2.3123715411613247e-11	2.2795951378378727e-11	2.4576947635854485e-10	2.4502179420703213e-10	1.5819521919493992e-10	2.2719092670776145e-11	2.1851306105147576e-11	2.457690823271952e-10	2.445167534223458e-10	2.3367357110267856e-10	2.331463332550415e-10	1.5956534286748955e-10	1.590777621895786e-10
