States	4B1_1A1	4B1_1B1	4B2_1A1	4B2_1B2	1A2_4B1	1A2_4B2	2A2_4B1	2A2_4B2	4A2_1B1	4A2_1B2	4A2_1A2	4A2_2A2
Frequency	10942.513428630773	10935.7206888332	10942.513428630773	10935.7206888332	10942.513428630773	10942.513428630773	10933.392063008054	10933.392063008054	10935.755804776898	10935.755804776898	10942.54854457447	10933.427178951752
Intensity	6486272.181186565	6361363.148894549	6486259.895839919	6361356.824928728	6486149.743285419	6486521.875077476	2191539.4779949	2191171.030371618	6607464.731597566	6607470.59083986	0.005099711150522931	8583372.613871936
300 Broad	1.7948796819961464e-10	1.6740858953759957e-10	1.794879682239108e-10	1.6740612252896418e-10	1.7947496722312117e-10	1.79474967181818e-10	1.634275497670853e-10	1.634275497042005e-10	1.673246860855028e-10	1.6732222988527367e-10	1.7937120795337519e-10	1.6335612721008972e-10
300 Shift	1.2302325209038501e-10	1.2092521246384346e-10	1.230232522213373e-10	1.209732183280573e-10	1.2300730067194225e-10	1.2300730067872983e-10	1.2003090275945932e-10	1.2003090284883797e-10	1.2118533466963856e-10	1.212332471469318e-10	1.2334953524286663e-10	1.2026719309271616e-10
350 Broad	1.823556342141909e-10	1.6981309819237217e-10	1.8235563422664025e-10	1.6981002269593272e-10	1.8231963774057058e-10	1.8231963776313195e-10	1.6579504581807823e-10	1.6579504576598743e-10	1.69713723479035e-10	1.6971066876375036e-10	1.8218720330848645e-10	1.6571059139256348e-10
350 Shift	1.317034590651465e-10	1.278613592022764e-10	1.3170345916651232e-10	1.2790871220314934e-10	1.3169695957553506e-10	1.3169695955763606e-10	1.2637578103046852e-10	1.2637578109779562e-10	1.280913810772824e-10	1.2813864028975948e-10	1.3200633119182334e-10	1.2658355928475856e-10
400 Broad	1.8454195267863782e-10	1.717738555232519e-10	1.8454195267911914e-10	1.717703360396243e-10	1.8449033633131863e-10	1.8449033638308206e-10	1.6778845475074728e-10	1.6778845470163356e-10	1.7166453067259857e-10	1.716610401879188e-10	1.8433615651079e-10	1.6769617812768704e-10
400 Shift	1.3883812108679162e-10	1.3345273083232645e-10	1.3883812117481723e-10	1.3349946660414032e-10	1.3886190456753962e-10	1.3886190448635724e-10	1.31432600864501e-10	1.314326009180294e-10	1.3365331336742163e-10	1.336999563349583e-10	1.391379827346595e-10	1.3161438934514022e-10
450 Broad	1.8629343648900798e-10	1.7347048508609876e-10	1.8629343648412643e-10	1.734666379837195e-10	1.862465056925275e-10	1.862465057245418e-10	1.695511449693078e-10	1.6955114492025853e-10	1.7335402124432756e-10	1.7335020995567817e-10	1.8607475713973517e-10	1.6945467082137896e-10
450 Shift	1.4478723015594706e-10	1.3803921106929037e-10	1.4478723024306874e-10	1.380853737841452e-10	1.4485436825326945e-10	1.4485436809811335e-10	1.3552940724494146e-10	1.355294072938632e-10	1.3821185242761225e-10	1.3825792409768523e-10	1.4509875393336113e-10	1.3568762680867122e-10
500 Broad	1.8775773693279234e-10	1.7500849065879892e-10	1.8775773693299699e-10	1.7500440025452239e-10	1.877410842389492e-10	1.8774108420650607e-10	1.7116459592272372e-10	1.7116459587601565e-10	1.7488628854774996e-10	1.748822396540661e-10	1.8755470231904475e-10	1.7106650227337835e-10
500 Shift	1.4980784841354752e-10	1.4184964449349886e-10	1.4980784850509478e-10	1.4189527907304242e-10	1.4991867790606933e-10	1.4991867769297306e-10	1.3889195998310496e-10	1.388919600348556e-10	1.4199665828704436e-10	1.4204220399164104e-10	1.5013428405416024e-10	1.3902874769886232e-10
550 Broad	1.8902709418258457e-10	1.7644965824086002e-10	1.8902709419790974e-10	1.7644538691761408e-10	1.8906440955160753e-10	1.890644094247677e-10	1.7267735751146845e-10	1.7267735747264264e-10	1.7632259349694326e-10	1.763183684805229e-10	1.8886594041608025e-10	1.7257947996234948e-10
550 Shift	1.5408797052543972e-10	1.4504281671379105e-10	1.540879706194131e-10	1.450879656646238e-10	1.5423044814839757e-10	1.5423044791097928e-10	1.4168064897778374e-10	1.4168064903591394e-10	1.4516707710981553e-10	1.4521213954430383e-10	1.5442079859962806e-10	1.4179782640494166e-10
600 Broad	1.9016096998712266e-10	1.77828899115474e-10	1.9016097002401703e-10	1.7782449386652917e-10	1.9026930347951797e-10	1.90269303246281e-10	1.7411928555537835e-10	1.741192855306667e-10	1.77697815548757e-10	1.776934606658233e-10	1.9006127812964918e-10	1.7402290555093874e-10
600 Shift	1.5776785860262507e-10	1.4773280972419278e-10	1.5776785869168332e-10	1.4777751195657262e-10	1.5792073823811982e-10	1.5792073801753215e-10	1.440123725472026e-10	1.440123726108157e-10	1.478374255717705e-10	1.4788204370149283e-10	1.580894200107002e-10	1.4411148283735317e-10
650 Broad	1.9119839200936446e-10	1.7916439663182238e-10	1.9119839206924013e-10	1.7915989340862282e-10	1.913859757391045e-10	1.9138597540401247e-10	1.7550889909229166e-10	1.7550889908648397e-10	1.7903031963328533e-10	1.7902587022256937e-10	1.9117100677128838e-10	1.754148756384696e-10
650 Shift	1.6095385516815468e-10	1.5000455479426234e-10	1.6095385524235666e-10	1.500488453022463e-10	1.61090669247389e-10	1.610906690844162e-10	1.4597406194617977e-10	1.459740620106241e-10	1.5009258394154236e-10	1.5013679273700288e-10	1.612409746205027e-10	1.4605643046292944e-10
700 Broad	1.9216499208104317e-10	1.8046395498955354e-10	1.9216499216024254e-10	1.8045938166310757e-10	1.9243100032121391e-10	1.924309999018403e-10	1.7685736319330085e-10	1.7685736320845355e-10	1.8032813683643386e-10	1.8032362025259327e-10	1.922117458078577e-10	1.7676623428594314e-10
700 Shift	1.6372761578783948e-10	1.5192335273556612e-10	1.6372761583714492e-10	1.5196726264274633e-10	1.63820305620852e-10	1.638203055508302e-10	1.4763137976515842e-10	1.4763137982333462e-10	1.5199759968030542e-10	1.5204143019755522e-10	1.6395504009148245e-10	1.4769817421389028e-10
750 Broad	1.9307722806129558e-10	1.81729029022759e-10	1.9307722815191968e-10	1.8172440744706533e-10	1.934127436282866e-10	1.9341274315119375e-10	1.7817077641417722e-10	1.7817077644913165e-10	1.8159290848857613e-10	1.8158834614564787e-10	1.9319182427006472e-10	1.7808284066205153e-10
750 Shift	1.661524802457517e-10	1.535407549743549e-10	1.6615248026183815e-10	1.535843117242323e-10	1.6617419003032463e-10	1.66174190080521e-10	1.490345278603062e-10	1.4903452790406864e-10	1.5360365359607516e-10	1.53647133188735e-10	1.6629560217677208e-10	1.4908680743266318e-10
800 Broad	1.9394507323561922e-10	1.8295729902329248e-10	1.9394507332672937e-10	1.8295264650287832e-10	1.943346584675298e-10	1.9433465796453823e-10	1.794515980897323e-10	1.7945159814023045e-10	1.8282242738744903e-10	1.8281783621187917e-10	1.9411457251581537e-10	1.7936698068756401e-10
800 Shift	1.6827800158942788e-10	1.5489828061057767e-10	1.682780015667551e-10	1.5494150820594463e-10	1.6820495098461461e-10	1.682049511733988e-10	1.502222621344553e-10	1.5022226215580376e-10	1.5495184591946798e-10	1.5499499849139169e-10	1.6831474141786908e-10	1.5026101299528023e-10
850 Broad	1.9477384451462598e-10	1.8414432655491388e-10	1.9477384459348605e-10	1.8413965690788747e-10	1.951972985941158e-10	1.9519729809924256e-10	1.8069963233876644e-10	1.8069963239792795e-10	1.8401228923399103e-10	1.8400768271687958e-10	1.9498035372865598e-10	1.8061833752349085e-10
850 Shift	1.7014325029733126e-10	1.5602985360077377e-10	1.701432502335676e-10	1.5607277285381837e-10	1.699557958401403e-10	1.6995579617731015e-10	1.5122475420000008e-10	1.5122475419194391e-10	1.5607568225389812e-10	1.561185285171738e-10	1.7005517133484247e-10	1.5125091251900926e-10
900 Broad	1.9556552142422467e-10	1.8528462776544758e-10	1.9556552147740023e-10	1.8527995210619203e-10	1.9599956773040202e-10	1.9599956727754658e-10	1.8191277152913958e-10	1.819127715881054e-10	1.8515697583558697e-10	1.85152364807102e-10	1.9578783531790826e-10	1.8183472324956915e-10
