States	5A1_1A1	6A1_1A1	1B1_5A1	1B1_6A1	7B1_1A1	7B1_1B1	1B2_5A1	1B2_6A1	7B2_1A1	7B2_1B2	1A2_7B1	1A2_7B2	2A2_7B1	2A2_7B2	7A2_1B1	7A2_1B2	7A2_1A2	7A2_2A2
Frequency	12311.574223101998	12318.364768151529	12304.781483304425	12311.572028353956	12318.711538067553	12311.91879826998	12304.781483304425	12311.572028353956	12318.709343319511	12311.916603521939	12318.711538067553	12318.709343319511	12309.590172444834	12309.587977696792	12312.465290108026	12312.465290108026	12319.258029905599	12310.13666428288
Intensity	2.4983449139974105e-05	6265822.692961546	5540182.481371796	2526948.4735886315	1886784.2777493596	2711312.4125583284	5540109.206230944	2527009.5650785016	1886771.8253647422	2711301.098629003	2015715.995768478	2015443.8121769023	3828968.3711237926	3829248.4141166275	2462048.602223059	2462052.75298307	6530013.783129798	0.0037853579962063327
300 Broad	1.9325662441874835e-10	2.617434391811796e-10	1.847874990182549e-10	2.6244206027592626e-10	2.3026925588289264e-10	2.301132850813394e-10	1.8478818945441066e-10	2.624515313622694e-10	2.3034654398073846e-10	2.301957017472984e-10	2.302426080890407e-10	2.3031987633919373e-10	2.3012372955265984e-10	2.3020117611607494e-10	2.3759092326980005e-10	2.375991015413943e-10	2.43993983873017e-10	2.34565638587378e-10
300 Shift	1.420829949480583e-10	1.0795005634152744e-10	1.3860971430286782e-10	1.1413628661725106e-10	8.38283663688771e-11	8.293315266254463e-11	1.3865191463736842e-10	1.1418337296019713e-10	8.476619395930613e-11	8.391425117278513e-11	8.379603663600078e-11	8.473387659875064e-11	8.306651606404722e-11	8.400505806493383e-11	1.6652354156164802e-10	1.6657459751423478e-10	1.5823482119144606e-10	1.6972048834486083e-10
350 Broad	1.9553008214323083e-10	2.78922495668165e-10	1.8708334274129762e-10	2.782170968097897e-10	2.447326014542226e-10	2.453001727638815e-10	1.8708400519439703e-10	2.7822591851749703e-10	2.448085692923131e-10	2.4538187548820687e-10	2.446776961143277e-10	2.4475364598658153e-10	2.456270634674338e-10	2.457030085410606e-10	2.4341582221699326e-10	2.4342244220643846e-10	2.518535438209826e-10	2.396920871345127e-10
350 Shift	1.5019081378178088e-10	1.2119367589173868e-10	1.4539346085408648e-10	1.2828388959750865e-10	8.796841617668456e-11	8.712687123575814e-11	1.454353426582846e-10	1.2833228790773872e-10	8.89102919890234e-11	8.811178943185076e-11	8.795170182112951e-11	8.889360176967356e-11	8.734627599972908e-11	8.828839953542081e-11	1.802355326559411e-10	1.8028747085145434e-10	1.7232945069376726e-10	1.8315969792092004e-10
400 Broad	1.973708894401292e-10	2.9346819909197904e-10	1.8906106901633667e-10	2.9130037463329934e-10	2.5880517106088416e-10	2.600752163435029e-10	1.8906173531192375e-10	2.9130842811978645e-10	2.5887981601237854e-10	2.601563489161358e-10	2.587351221046858e-10	2.5880975902866086e-10	2.606804078117511e-10	2.6075505994057566e-10	2.4778848768400215e-10	2.477936836714007e-10	2.5798788875270916e-10	2.4349933652696623e-10
400 Shift	1.5669969528987908e-10	1.343161782496344e-10	1.507503489396982e-10	1.4193571823781094e-10	9.170543342463882e-11	9.121835060637383e-11	1.5079194609650055e-10	1.4198516140295218e-10	9.265042085137424e-11	9.220634157278137e-11	9.172257211040939e-11	9.266759328852956e-11	9.161016522796103e-11	9.255491781818387e-11	1.9220899248793783e-10	1.9226145891733212e-10	1.8497297226877447e-10	1.9478544771291036e-10
450 Broad	1.9895826943726476e-10	3.0583250244709937e-10	1.9085590049216878e-10	3.0222447999795316e-10	2.7255659831048214e-10	2.744367761404307e-10	1.9085658927768938e-10	3.0223171662845035e-10	2.726300466219708e-10	2.7451750913992094e-10	2.724930325521145e-10	2.725664874658176e-10	2.7524948536573107e-10	2.7532312318823933e-10	2.511302437942039e-10	2.5113416021533245e-10	2.628456377292215e-10	2.463854727821977e-10
450 Shift	1.6201379953389007e-10	1.4708088829793158e-10	1.550563473688114e-10	1.549447894539203e-10	9.537882370871736e-11	9.546660865938736e-11	1.550976889712606e-10	1.5499505192279354e-10	9.632619742850972e-11	9.645713220208333e-11	9.543635378500244e-11	9.63837645312384e-11	9.608611203005066e-11	9.703281831921886e-11	2.0275428649329922e-10	2.0280703690343073e-10	1.9636371875706992e-10	2.0493480193044644e-10
500 Broad	2.0039217263729782e-10	3.1639354118430564e-10	1.925413497813923e-10	3.1141511211043706e-10	2.859740381878471e-10	2.883408968714505e-10	1.9254207202520835e-10	3.114215247720546e-10	2.860464793216804e-10	2.8842139741469193e-10	2.8593857686125854e-10	2.8601103964727e-10	2.892790564604369e-10	2.8935196934562427e-10	2.5372920622100703e-10	2.537319809912979e-10	2.667469605276611e-10	2.4861314503500177e-10
500 Shift	1.6641081713996265e-10	1.59358865057754e-10	1.585646730054551e-10	1.6725513598831192e-10	9.918271916097268e-11	9.998569624534494e-11	1.58605783776409e-10	1.6730603243602187e-10	1.0013193103486543e-10	1.0097836094794034e-10	9.927448285519438e-11	1.0022372753731673e-10	1.0086831638009864e-10	1.0181650664901828e-10	2.121138968568116e-10	2.121667609868736e-10	2.0666831192118424e-10	2.1386833802410752e-10
550 Broad	2.0173048805692883e-10	3.254599488069959e-10	1.9415850274044466e-10	3.1920766373812834e-10	2.990200293768799e-10	3.0173992180186923e-10	1.9415926476986648e-10	3.19213269374101e-10	2.9909167523280157e-10	3.018203393936326e-10	2.990284920475126e-10	2.991001714858756e-10	3.027239566016548e-10	3.0279641536821985e-10	2.55786458266327e-10	2.557882168353479e-10	2.6992215489731527e-10	2.50360855581953e-10
