States	4A1_1A1	1B1_4A1	5B1_1A1	5B1_1B1	6B1_1A1	6B1_1B1	1B2_4A1	5B2_1A1	5B2_1B2	6B2_1A1	6B2_1B2	1A2_5B1	1A2_6B1	1A2_5B2	1A2_6B2	2A2_5B1	2A2_6B1	2A2_5B2	2A2_6B2	5A2_1B1	5A2_1B2	5A2_1A2	5A2_2A2	6A2_1B1	6A2_1B2	6A2_1A2	6A2_2A2
Frequency	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0	2290069741737196.0
Intensity	15046545.409270056	13368428.108325977	390016.51187369926	21168923.501501642	21705747.41141157	186450.20877540525	13368440.528817592	390007.12018669734	21168921.920980196	21705758.08098808	186457.34522158874	2127874.748106818	19864863.054628484	2128505.957680451	19864675.24435689	18063000.10708442	141908.11359768917	18062383.191039633	142078.08900662872	13468044.870915657	13467928.048578026	14875977.078422667	0.011577296714124332	8527109.49381044	8527227.304829676	0.017345270445135164	24808680.765557297
300 Broad	6.447487784210516e-10	9.284144306159705e-10	6.665115543654195e-10	9.418538655032037e-10	7.743256552268236e-10	1.0080243952271746e-09	9.28413090314458e-10	6.665095478618933e-10	9.418487554828885e-10	7.743256435941766e-10	1.008019783887233e-09	9.411351472476008e-10	1.0059736455417042e-09	9.411334724887863e-10	1.00596578840193e-09	8.148238367331989e-10	8.97371491322745e-10	8.148222039992975e-10	8.973688782304336e-10	9.253686699200073e-10	9.253652777904513e-10	9.234731286372851e-10	7.922248803293609e-10	9.220993108527832e-10	9.220985275385045e-10	9.200982853758323e-10	7.880186740012439e-10
300 Shift	4.075812845060997e-10	5.019258994219786e-10	4.1799661035562294e-10	5.058372963372366e-10	4.589502179656537e-10	5.164945964687303e-10	5.019249084656959e-10	4.1799672648648336e-10	5.05835900631563e-10	4.589503048662653e-10	5.16491620005904e-10	5.050917849764838e-10	5.159316088677043e-10	5.050919231448847e-10	5.159394466692389e-10	4.748169523058907e-10	4.957753201862405e-10	4.74815950195789e-10	4.957728404743465e-10	5.015244868193298e-10	5.01524217353753e-10	5.006611258612838e-10	4.684052044955348e-10	5.008850484726533e-10	5.008837352748456e-10	5.001855647168783e-10	4.665088035498759e-10
350 Broad	6.745682310342592e-10	9.725685779820697e-10	6.974715269634166e-10	9.867304417280887e-10	8.104944502595114e-10	1.0565749277149837e-09	9.725670004627362e-10	6.974694504180157e-10	9.86725218287516e-10	8.10494325969515e-10	1.0565703556328753e-09	9.858578762344249e-10	1.0542456577941087e-09	9.858561403297369e-10	1.054237876597408e-09	8.528216058811724e-10	9.395473504604351e-10	8.528198385502869e-10	9.395442642512966e-10	9.692835482586782e-10	9.69280155408874e-10	9.67343104969378e-10	8.291024827050782e-10	9.658551034706705e-10	9.658540380478876e-10	9.638210576003086e-10	8.247010795302336e-10
350 Shift	4.309310531209624e-10	5.355732228493685e-10	4.4214637494869986e-10	5.398659345971697e-10	4.869659459276341e-10	5.529432251406171e-10	5.355721520505795e-10	4.421463744764787e-10	5.398643779476213e-10	4.869659447639438e-10	5.529403109562219e-10	5.391007163740104e-10	5.522457059423063e-10	5.391007696976029e-10	5.522538708381012e-10	5.043561709612485e-10	5.282301168513068e-10	5.043551094189474e-10	5.282279412582944e-10	5.349975804993967e-10	5.349971877686141e-10	5.341313969849688e-10	4.973831047948662e-10	5.341959982706699e-10	5.341946588024298e-10	5.334699363506996e-10	4.952613763608255e-10
400 Broad	7.014415352867465e-10	1.0123250885789488e-09	7.253764608352825e-10	1.0271367479615195e-09	8.430800239757658e-10	1.100264265519327e-09	1.0123233050734923e-09	7.253742977172019e-10	1.0271313965723139e-09	8.430797845909388e-10	1.1002597642521596e-09	1.026123166663996e-09	1.097691646090179e-09	1.026121372174211e-09	1.0976839597209998e-09	8.870081639655353e-10	9.775033562508428e-10	8.870062668892079e-10	9.77499892972199e-10	1.0088256070316812e-09	1.0088221966113003e-09	1.0068414629594941e-09	8.622960062338154e-10	1.0052546326144784e-09	1.005253321229152e-09	1.0031864896414156e-09	8.577145930695875e-10
400 Shift	4.520408223881623e-10	5.66028807295877e-10	4.6398785381757057e-10	5.706625339697661e-10	5.123076713206059e-10	5.859566113138768e-10	5.660276742139693e-10	4.6398773397649237e-10	5.706608060996417e-10	5.123075888996944e-10	5.859537319133651e-10	5.698900033027846e-10	5.851365415167002e-10	5.698899770423046e-10	5.851449705236416e-10	5.31073918110819e-10	5.576123331310991e-10	5.310728056606252e-10	5.576104326409261e-10	5.652995710982456e-10	5.652990719074537e-10	5.644292090051003e-10	5.2361157971046e-10	5.643471931914924e-10	5.643458279292713e-10	5.635983562044809e-10	5.212699478887769e-10
450 Broad	7.259817990486939e-10	1.048602340362233e-09	7.508592495789642e-10	1.0640027738171792e-09	8.728284592101847e-10	1.1401077595132775e-09	1.0486003751920525e-09	7.508569920720371e-10	1.063997268735099e-09	8.728281070628427e-10	1.140103349545387e-09	1.0628637314877795e-09	1.13732306831824e-09	1.0628618803421634e-09	1.1373154836971467e-09	9.181801663563755e-10	1.012123162979903e-09	9.181781465440062e-10	1.0121193952508373e-09	1.04490876734918e-09	1.044905328941032e-09	1.0428821327848748e-09	8.925702598049622e-10	1.0412086828117561e-09	1.0412071547977769e-09	1.0391057922575446e-09	8.878235453006896e-10
450 Shift	4.713708297908745e-10	5.939402101361274e-10	4.839932949044142e-10	5.988831444681867e-10	5.355220393670433e-10	6.162284800393071e-10	5.939390247704971e-10	4.839930570917462e-10	5.988812555387885e-10	5.355218822345612e-10	6.162256399928543e-10	5.981121127264275e-10	6.152964272475646e-10	5.981120127468552e-10	6.153050742693594e-10	5.555487167629398e-10	5.845467292562601e-10	5.55547560198008e-10	5.845450765187654e-10	5.930735675818694e-10	5.930729743875958e-10	5.921971500126853e-10	5.476483854895294e-10	5.919810258612685e-10	5.919796346742561e-10	5.91211469318427e-10	5.45100358486781e-10
