R	10A1_3A1	11A1_3A1	3B1_10A1	3B1_11A1	11B1_3A1	11B1_3B1	3B2_10A1	3B2_11A1	11B2_3A1	11B2_3B2	11A2_3B1	11A2_3B2
Intensities	4.019559999999999e-09	5.510158498810382	4.154874962269081	1.3916288587982402	3.7447055146157053	4.473325124660268	4.155137465262086	1.3913671723987986	3.7447641491072763	4.473270641816423	4.172736497201844	4.172623575978005
2e-08	2085434104750490.0	2196360760232514.5	1927103411527471.8	2038030067009496.2	1985494608966283.5	1827163915743265.2	1927104238377127.8	2038030893859152.2	1985494608966283.5	1827164742592921.2	1927107545775754.2	1927108372625410.2
2.0099999999999998e-08	2089116473488203.5	2197080945077617.8	1931541933004408.5	2039506404593822.5	1986058519490056.2	1828483979006261.0	1931543173269475.2	2039507644858889.2	1986058519490056.2	1828485219271328.0	1931546067233851.2	1931547307498918.0
2.0200000000000002e-08	2092724839285277.2	2197805677567577.0	1935962677223150.8	2041043515505450.5	1986612507799117.2	1829850345736990.5	1935963917488217.5	2041044755770517.2	1986612507799117.2	1829851586002057.2	1935966811471433.2	1935968051736500.0
2.03e-08	2096254241100284.2	2198535784570880.5	1940363163691244.8	2042644707161840.8	1987154093419842.0	1831263016010802.2	1940364403956311.5	2042645947426907.5	1987154093419842.0	1831264256275869.0	1940367297920690.2	1940368538185757.0
2.04e-08	2099699717797614.2	2199272092956026.2	1944742978917928.2	2044315354076340.5	1987681209181001.5	1832724470301315.8	1944744219182995.0	2044316594341407.2	1987681209181001.5	1832725710566382.5	1944747113166208.2	1944748353431275.0
2.0499999999999998e-08	2103055894901592.0	2200015842969241.5	1949100469279241.0	2046060417346890.5	1988191787986705.0	1834236362364354.0	1949101709544307.8	2046061657611957.2	1988191787986705.0	1834237602629420.8	1949105016942931.8	1949106257207998.5
2.0600000000000002e-08	2106319464994756.8	2200769101744088.8	1953435221265583.5	2047884858014915.5	1988686656686616.2	1835802412957443.2	1953436461549487.5	2047886098298819.5	1988686656686616.2	1835803653241347.0	1953439355513866.0	1953440595797770.0
2.07e-08	2109484226732940.0	2201532696111381.2	1957745167856421.5	2049793637234862.8	1989164988393397.2	1837425929516878.8	1957746408121488.2	2049794877499929.5	1989164988393397.2	1837427169781945.5	1957749715520112.2	1957750955785179.0
2.08e-08	2112547286114088.8	2202309520054340.5	1962025761312715.8	2051787995252967.2	1989625956313908.5	1839104431512535.5	1962027001577782.5	2051789235518034.0	1989625956313908.5	1839105671777602.2	1962029895560998.2	1962031135826065.0
2.09e-08	2115502855247123.0	2203106188370214.0	1966287750679999.5	2053891083803090.5	1990068320126569.5	1840853215559446.0	1966288577529655.2	2053891910652746.5	1990068320126569.5	1840854042409102.0	1966292298343690.0	1966293125193346.0
2.1000000000000003e-08	2118348453507723.0	2203915672789832.2	1970519146647669.8	2056086365929779.0	1990488359036185.2	1842659052176132.0	1970520386912736.5	2056087606194845.8	1990488359036185.2	1842660292441198.8	1970523694330197.8	1970524934595264.5
2.11e-08	2121080360194874.5	2204745828469695.2	1974722429802374.8	2058387898077195.2	1990881111982486.0	1844523181589986.0	1974723670086278.8	2058389138361099.2	1990881111982486.0	1844524421873890.0	1974726977466065.5	1974728217749969.2
2.12e-08	2123694854381520.0	2205599549279995.8	1978896773256778.2	2060801468155254.0	1991237070147336.2	1846438989022594.8	1978898013521845.2	2060802708420320.8	1991236656713091.2	1846439815853416.2	1978901734354717.0	1978902974619783.8
2.13e-08	2126190695859109.5	2206481382959778.8	1983042177010886.2	2063332864111555.5	1991561608081760.2	1848413089233536.8	1983043417275953.0	2063334104376622.2	1991561608081760.2	1848414329498603.5	1983046724674579.5	1983047964939646.2
2.1400000000000003e-08	2128550520803693.8	2207405799330929.8	1987156987384223.5	2066012265911459.2	1991825786123127.8	1850432252703657.2	1987158227649290.2	2066013506176526.2	1991825786123127.8	1850433492968724.0	1987161948482159.2	1987163188747226.0
2.15e-08	2130754071426947.5	2208787462770883.0	1991194074040557.8	2069227465384493.2	1992056890197076.8	1852496892810687.2	1991195314305624.5	2069228705649560.0	1992056476781668.8	1852497719660345.8	1991247819174032.2	1991249059439099.0
2.16e-08	2132932403163937.2	2209340624249125.2	1995297308537540.2	2071705529622728.2	1992240863934802.0	1854605769308405.0	1995298135387196.2	2071706356472384.2	1992240450500556.8	1854606182723815.8	1995302269635478.8	1995303096485134.8
2.17e-08	2134937510208735.2	2210373357736889.5	1999317858219584.0	2074753705747738.2	1992970970938108.0	1857351318948957.0	1999319098484648.0	2074754946012802.2	1992970970938108.0	1857352559214021.0	1999296773600440.0	1999298013865504.0
2.1800000000000003e-08	2136820243711602.5	2211454875260189.8	2003304920537638.5	2077939552086225.8	1992471141177935.0	1858955818003971.2	2003306160802705.2	2077940792351292.5	1992471141177935.0	1858957058269038.0	2003309881616740.0	2003311121881806.8
2.19e-08	2138583911052326.0	2212590551351215.2	2007259322341362.8	2081265962640251.8	1992523232630937.5	1861198643919974.2	2007260562625263.8	2081267202924153.0	1992523232630937.5	1861199884203875.5	2007264283439301.2	2007265523723202.5
2.2000000000000002e-08	2140230992779876.5	2213784933673656.5	2011179409950276.0	2084733350844056.0	1992539769586388.2	1863488186756788.0	2011180650234179.8	2084734591127960.0	1992539769586388.2	1863489427040691.8	2011184784463625.2	2011186024747529.2
2.21e-08	2141765209727128.2	2215040502738807.5	2015066010214040.0	2088341303225719.2	1992525713161068.5	1865826513647980.0	2015066837063696.0	2088342130075375.0	1992525713161068.5	1865827340497636.0	2015071384727386.5	2015072211577042.5
2.2200000000000004e-08	2143191522992009.2	2216361392851459.2	2018917469433334.5	2092087339292784.5	1992489745248108.5	1868215691689433.8	2018918709698401.2	2092088579557851.2	1992489745248108.5	1868216931954500.5	2018922843946683.8	2018924084211750.5
2.23e-08	2144514893634794.5	2217749671069826.0	2022734201004741.2	2095968978439772.8	1992439720928666.0	1870659028298612.8	2022735441288642.5	2095970218723673.8	1992439720928666.0	1870660268582513.8	2022739575518090.8	2022740815801991.8
2.2400000000000002e-08	2145741936452732.0	2219206577715485.8	2026515378116270.5	2099980019379024.2	1992385148964372.5	1873158590627911.0	2026516618381337.5	2099981259644091.0	1992385148964372.5	1873159830892977.8	2026520752629617.2	2026521992894684.0
2.25e-08	2146878852827661.2	2220732112769598.8	2030261000730253.5	2104114260672191.0	1992336778344241.8	1875718926246834.0	2030261827579912.2	2104115087521849.8	1992336778344241.8	1875719753096492.8	2030266375243600.2	2030267202093259.0
2.2599999999999997e-08	2147933084349977.8	2222326276213327.8	2033970655468951.0	2108363847332301.0	1992305771510386.2	1878343342629359.5	2033971895734015.0	2108365087597365.0	1992305771510386.2	1878344582894423.5	2033976029982300.5	2033977270247364.5
2.27e-08	2148912072685424.8	2223987414366198.2	2037643515445032.5	2112718857125806.0	1992304531245316.8	1881035974004924.5	2037644755710099.2	2112720097390872.8	1992304531245316.8	1881037214269991.2	2037649303392627.2	2037650543657694.0
2.29e-08	2150676153479236.0	2227497798676786.5	2044880918299427.8	2121702563496978.0	1992446335744756.2	1886651100564948.0	2044882158564494.5	2121703803762044.8	1992445922310511.2	1886651927395769.5	2044886706228185.2	2044887946493252.0
2.2999999999999998e-08	2151476542571470.2	2229339189753347.2	2048443807459586.8	2126306454641463.8	1992617493303388.5	1889584758191505.0	2048445047724653.5	2126307694906530.5	1992617493303388.5	1889585998456571.8	2048449595407181.2	2048450835672248.0
2.3100000000000002e-08	2152232695310693.2	2231267813327374.5	2051970315291377.8	2131005433308059.0	1992875469981753.2	1892613089962437.8	2051971555556444.5	2131006673573125.8	1992875469981753.2	1892614330227504.5	2051976103238972.2	2051977343504039.2
2.32e-08	2152951639871895.2	2233203878529471.2	2055459201529737.0	2135711440187313.0	1993235148960638.5	1895742710618480.0	2055458374680081.0	2135710613337657.0	1993235148960638.5	1895741883768824.0	2055464989477331.5	2055464162627675.5
2.33e-08	2153640817901974.5	2235177978759247.8	2058910466174661.5	2140447627031934.8	1993715134385568.5	1898984782658255.5	2058909639325005.5	2140446800182278.8	1993715134385568.5	1898983955808599.5	2058916254122256.0	2058915427272600.0
2.3500000000000002e-08	2154956746897853.2	2239217545945715.8	2065699717249961.2	2149960516297823.5	1995096797825524.5	1905839768177632.2	2065699303834553.2	2149960102882415.5	1995096797825524.5	1905839354762224.2	2065705918612966.5	2065705505197558.5
2.36e-08	2155594660362265.8	2241269369911329.5	2069038943983077.5	2154713653532141.2	1996024108161054.0	1909468391781865.8	2069038117133421.5	2154712826682485.2	1996024108161054.0	1909467564932210.0	2069045145327243.0	2069044318477587.0
2.37e-08	2156226785841409.2	2243334423433773.0	2072340135650839.8	2159447773243203.2	1997129190871309.0	1913242540680739.2	2072339722235428.8	2159447359827792.5	1997129190871309.0	1913242127265328.5	2072346337013845.0	2072345923598434.2
2.3799999999999998e-08	2156858084489734.0	2245407745452778.8	2075602465478937.5	2164152126441982.2	1998430650026457.0	1917175031015660.5	2075601638629281.5	2164151299592326.5	1998430650026457.0	1917174204166004.8	2075608666841942.8	2075607839992287.0
2.4e-08	2158131430813079.2	2249556043190102.5	2082010952937371.0	2173435565314394.0	2001631379639926.0	1925510901764217.5	2082010126087715.0	2173434738464738.0	2001631379639926.0	1925510074914561.5	2082017154300373.5	2082016327450717.5
2.41e-08	2158780920135003.8	2251621923581036.2	2085157937417362.5	2177998940863394.8	2003533544081457.0	1929910561363815.5	2085157524001951.8	2177998527447984.0	2003533544081457.0	1929910147948404.8	2085164138780365.0	2085163725364954.2
2.4300000000000003e-08	2160109665291135.8	2255714822485570.5	2091336147632662.8	2186941304827097.5	2007901783450628.5	1939128265792155.5	2091335320783006.8	2186940477977441.5	2007901783450628.5	1939127438942499.5	2091342762429913.2	2091341935580257.2
2.44e-08	2160802564135252.2	2257742254414579.5	2094367373367971.5	2191307063647298.5	2010350494591988.5	1943915303824707.8	2094366959933723.5	2191306650213050.5	2010350494591988.5	1943914890390459.8	2094373574730977.0	2094373161296729.0
2.46e-08	2162242106956968.2	2261741306024396.5	2100313652659666.8	2199812851727095.0	2015672916844594.0	1953744462547292.2	2100313239225421.5	2199812438292849.8	2015672916844594.0	1953744049113047.0	2100320267438080.0	2100319854003834.8
2.4700000000000003e-08	2163032987325244.8	2263733183512367.5	2103227879347554.5	2203928075534677.2	2018548281673983.0	1958743173696292.5	2103227465932146.2	2203927662119269.2	2018548281673983.0	1958742760280884.5	2103234907560215.8	2103234494144807.8
2.49e-08	2164592009705675.5	2267607794446694.5	2108940987412903.2	2211956772153922.5	2024449911140747.8	1968798888847975.5	2108940573978655.2	2211956358719674.5	2024449911140747.8	1968798475413727.8	2108947602210153.8	2108947188775906.0
2.5e-08	2165401494181802.2	2269511612587543.0	2111738628525292.2	2215848746931033.2	2027479483195581.8	1973816617539071.5	2111738215091044.2	2215848333496785.2	2027479483195581.8	1973816204104823.8	2111745656719116.5	2111745243284868.5
2.52e-08	2167079582724374.0	2273250620441947.0	2117182184054758.5	2223353221772331.8	2033612216755130.0	1983714818085514.8	2117216498249569.5	2223387535967142.8	2033612216755130.0	1983749132280325.5	2117189212267420.0	2117223526462230.8
2.5400000000000002e-08	2168832914453812.2	2276900328665327.5	2122503366023457.5	2230570780234972.8	2039756112756787.8	1993426564326433.0	2122538093652513.2	2230605507864028.5	2039756112756787.8	1993461291955489.0	2122510394236118.8	2122545121865174.8
2.55e-08	2169731285089046.0	2278690868553952.5	2125100496442673.2	2234060079907579.8	2042805942562270.0	1998175153915897.2	2125100496442673.2	2234060079907579.8	2042805942562270.0	1998175153915897.2	2125107938070742.5	2125107938070742.5
2.57e-08	2171585078910452.0	2282211588475823.5	2130185613258321.2	2240812122823692.8	2048826224775765.0	2007426759123634.2	2130186026673729.2	2240812536239100.8	2048826224775765.0	2007427172539042.5	2130193054886390.8	2130193468301798.8
2.59e-08	2173495098376628.8	2285650036960494.5	2135113628884143.0	2247268567468009.0	2054703048790513.8	2016321579298028.0	2135113628884143.0	2247268567468009.0	2054703048790513.8	2016321579298028.0	2135121070531049.5	2135121070531049.5
2.61e-08	2175452248216706.8	2289009521463099.0	2139883303092751.2	2253440576339143.5	2060406648113067.8	2024837702989112.5	2139883303092751.2	2253440576339143.5	2060406648113067.8	2024837702989112.5	2139891158155068.8	2139891158155068.8
2.63e-08	2177444952516662.2	2292291282211029.0	2144494635846472.0	2259340965540839.0	2065916764917430.2	2032966448247240.2	2144494635846472.0	2259340965540839.0	2065916764917430.2	2032966448247240.2	2144502490908789.2	2144502490908789.2
2.65e-08	2179465769686094.8	2295499453471404.5	2148948040598387.2	2264981724383697.0	2071223890498483.5	2040706161410776.2	2148948040598387.2	2264981724383697.0	2071223890498483.5	2040706161410776.2	2148956309094949.8	2148956309094949.8
2.67e-08	2181503950660633.8	2298633621809974.5	2153243517329657.5	2270373188478998.0	2076320996624726.0	2048060563293749.8	2153243930745068.2	2270373601894409.0	2076320996624726.0	2048060976709160.5	2153251785807382.8	2153252199222793.8
2.69e-08	2183499548924965.2	2301659059597691.5	2157381479436856.0	2275540990109582.5	2081155578408918.5	2055037508920809.2	2157381892871104.0	2275541403543830.0	2081155578408918.5	2055037922355057.2	2157390161348829.2	2157390574783077.2
2.71e-08	2185541864147787.0	2304646048942318.0	2161361513561089.2	2280465698355620.0	2085826030828300.2	2061645680241602.5	2161361926976497.2	2280466111771028.0	2085826030828300.2	2061646093657010.5	2161370195454225.2	2161370608869633.2
2.7400000000000004e-08	2188580531511170.5	2308985348630028.0	2167038653732315.2	2287443470851172.5	2092438336378536.2	2070896458599681.0	2167039067147726.2	2287443884266583.5	2092438336378536.2	2070896872015091.8	2167047749059696.8	2167048162475107.5
2.76e-08	2190576956625155.2	2311782576289332.0	2170628002024967.8	2291833621689144.5	2096584566982300.0	2076635612382112.5	2170628002024967.8	2291833621689144.5	2096584566982300.0	2076635612382112.5	2170637097352349.2	2170637097352349.2
2.7900000000000002e-08	2193508960571237.5	2315830411972362.0	2175721387318338.5	2298042838719463.0	2102424182837859.2	2084636609584960.2	2175721800752586.5	2298043252153711.0	2102424182837859.2	2084637023019208.2	2175730896079967.8	2175731309514215.8
2.81e-08	2195411124993937.0	2318427128938490.0	2178924597499615.2	2301940601444168.5	2106070997096858.2	2089584469602536.5	2178925010915023.2	2301941014859576.5	2106070997096858.2	2089584883017944.5	2178934519676652.5	2178934933092060.5
2.84e-08	2198170731078646.0	2322164896508993.0	2183445803791488.0	2307439969221835.0	2111184226763148.8	2096459299475990.8	2183446217206896.0	2307440382637243.0	2111184226763148.8	2096459712891398.8	2183456139402773.0	2183456552818181.2
2.8700000000000002e-08	2200800521974518.0	2325707114465418.5	2187629656007523.5	2312536248498424.0	2115886512828368.0	2102715646861373.5	2187630069422934.2	2312536661913835.0	2115886512828368.0	2102716060276784.2	2187640405034219.5	2187640818449630.2
2.89e-08	2202474062853399.0	2327956968575243.0	2190234641451379.5	2315717547173223.5	2118802806630984.0	2106563385228964.5	2190234641451379.5	2315717547173223.5	2118802806630984.0	2106563385228964.5	2190246217327731.5	2190246217327731.5
2.92e-08	2204855385851372.5	2331159765341106.5	2193870706683685.2	2320175086173419.0	2122864285305086.2	2111879606137399.0	2193871120099093.2	2320175499588827.0	2122864285305086.2	2111880019552807.0	2193882695994282.2	2193883109409690.5
2.96e-08	2207781188434449.5	2335112100030107.5	2198227783610747.2	2325558695206405.5	2127737728966614.5	2118184324142912.2	2198227783610747.2	2325558695206405.5	2127737315551203.8	2118183910727501.5	2198240599752166.0	2198240599752166.0
2.99e-08	2209764383991610.0	2337818374396750.0	2201130847856533.8	2329184838261673.5	2131002539324843.2	2122369003189766.8	2201131261271944.5	2329185251677084.5	2131002539324843.2	2122369416605177.5	2201144490847608.2	2201144904263019.2
3.02e-08	2211566086341179.0	2340306360793182.5	2203734593035325.8	2332474867487329.0	2133965963501354.8	2126134470195501.5	2203734593035325.8	2332474867487329.0	2133965963501354.8	2126134470195501.5	2203749062876053.8	2203749062876053.8
3.06e-08	2213683231316622.2	2343285081678923.5	2206757963689477.2	2336359814051778.5	2137494538466708.5	2130569270839563.5	2206757963689477.2	2336359814051778.5	2137494538466708.5	2130569270839563.5	2206773673814112.0	2206773673814112.0
3.09e-08	2215053318899060.5	2345263316138142.5	2208703537672043.0	2338913534911125.0	2139854776826700.8	2133504995599683.2	2208703537672043.0	2338913534911125.0	2139854776826700.8	2133504995599683.2	2208720074627496.5	2208720074627496.5
3.13e-08	2216597458023349.8	2347566501966036.5	2210888897621694.2	2341857941564381.0	2142680117336649.8	2136971556934994.2	2210888484206283.5	2341857528148970.0	2142680117336649.8	2136971143519583.5	2210907088276459.8	2210906674861049.0
