R	10B1_3A1	10B1_3B1	10B2_3A1	10B2_3B2	10A2_3B1	10A2_3B2
Intensities	2.8789583906604097	2.59271022591025	2.8789085743147025	2.5927745694818705	2.5206623069019845	2.520773888838031
2e-08	2096993856884054.0	1938663163661035.8	2096993443449808.8	1938663577076446.5	1815847256994250.2	1815848083843906.2
2.0099999999999998e-08	2100617519390351.8	1943042978906556.5	2100616692540695.8	1943043392321967.2	1817139620840851.5	1817140861105918.2
2.0200000000000002e-08	2104166352125193.5	1947404190063066.8	2104165938690945.5	1947405016893885.8	1818478288174023.5	1818479528439090.2
2.03e-08	2107637047689947.5	1951745970280907.8	2107636220840291.5	1951746383696318.5	1819862845578355.5	1819864085843422.2
2.04e-08	2111023818174698.5	1956067079295012.8	2111022991343879.8	1956067492729260.5	1821296187055900.5	1821297427320967.2
2.0499999999999998e-08	2114321702481508.2	1960366276859157.2	2114320875631852.2	1960366690274568.2	1822779552834051.0	1822780793099117.8
2.0600000000000002e-08	2117526566343259.8	1964642322614086.8	2117525739512441.0	1964642736067171.8	1824316663745679.0	1824317904029582.8
2.07e-08	2120633862115094.0	1968894803238575.5	2120633035284272.2	1968895216672820.8	1825911240623656.0	1825912480888722.8
2.08e-08	2123640695832634.8	1973119171031261.5	2123639455548730.8	1973119171012424.5	1827560389484766.2	1827561629749833.0
2.09e-08	2126540866114039.8	1977325761546916.2	2126540039264383.8	1977325761546916.2	1829279820434804.5	1829280647284460.5
2.1000000000000003e-08	2129328998445965.0	1981499691585911.8	2129327758162061.0	1981499691567074.5	1831057130785440.0	1831058371050506.8
2.11e-08	2132003852582175.2	1985645922189675.5	2132003025732519.5	1985646335623923.5	1832893147348654.0	1832894387632558.0
2.12e-08	2134562121105215.5	1989764039980473.8	2134561294255559.5	1989764453395884.5	1834781668780278.8	1834782909045345.5
2.13e-08	2137001736900359.8	1993853218052136.2	2137000496616455.8	1993853218033299.2	1836730550123794.2	1836731790388861.0
2.1400000000000003e-08	2139306163012152.0	1997912629592681.5	2139304922747085.0	1997912629592681.5	1838725321576144.0	1838726561841210.8
2.15e-08	2141503512272400.2	2001943514886010.5	2141500204873776.2	2001941447752453.5	1840768050214373.8	1840769290479440.5
2.16e-08	2143576420857158.2	2005941326230761.0	2143575180573257.0	2005940912796516.0	1842857082339177.2	1842857909188833.0
2.17e-08	2145515793457884.2	2009896141468733.0	2145514553173980.2	2009896141449893.2	1845623303202302.2	1845624543467366.2
2.1800000000000003e-08	2147356771119034.2	2013841447945070.5	2147355530853967.5	2013841447945070.5	1847176124238559.2	1847177364503626.0
2.19e-08	2149067520175936.5	2017742931464973.0	2149066693326280.5	2017743344899218.2	1849408614543277.2	1849409854827178.2
2.2000000000000002e-08	2150662923884732.2	2021611341055131.8	2150661683619668.2	2021611341073971.8	1851691542601677.2	1851692782885581.2
2.21e-08	2152145876247474.8	2025446676734386.5	2152144635963573.5	2025446263300141.2	1854029042643213.5	1854029869492869.5
2.2200000000000004e-08	2153521338324422.8	2029247284765748.0	2153520098059358.8	2029247284765750.8	1856423181782605.8	1856424422047672.5
2.23e-08	2154795098063176.2	2033014405433123.0	2154793857798109.5	2033014405451957.2	1858878094268136.8	1858879334552037.8
2.2400000000000002e-08	2155972943430164.0	2036746385093702.8	2155972116580508.2	2036746798509113.5	1861397914366920.5	1861399154631987.2
2.25e-08	2157061902600373.5	2040444050502965.8	2157060662335306.8	2040443637087557.8	1863988843366616.8	1863989670216275.5
2.2599999999999997e-08	2158068590352218.0	2044106161471191.2	2158067350068314.0	2044106161452351.5	1866655015609696.5	1866656255874760.8
2.27e-08	2159001688616505.0	2047733131376112.8	2159000448332601.0	2047733131357275.8	1869404699498528.5	1869405939763595.2
2.29e-08	2160675229514223.2	2054879994334414.8	2160673575814911.2	2054879580900169.5	1875186435972327.8	1875187676237394.8
2.2999999999999998e-08	2161431795650020.0	2058399060538136.5	2161430555384953.2	2058399060538136.5	1878237506061716.8	1878238746326783.5
2.3100000000000002e-08	2162144952282461.8	2061882572263146.2	2162143298583149.8	2061882158828901.0	1881410122843380.2	1881411363108447.0
2.32e-08	2162819660471815.8	2065327222129657.2	2162820487321471.8	2065327222129657.2	1884717102477571.2	1884716275627915.2
2.33e-08	2163467909509836.2	2068737557782523.2	2163468322925247.0	2068737144348278.0	1888170020802973.2	1888169193953317.2
2.3500000000000002e-08	2164704047655155.0	2075447018007263.0	2164704874504811.0	2075447431441511.0	1895569485907453.8	1895569072492045.5
2.36e-08	2165303926073050.5	2078748209693862.2	2165304339507295.8	2078747796278451.5	1899534636756708.0	1899533809907052.2
2.37e-08	2165898016543351.2	2082011366352781.8	2165898843393007.2	2082011779787027.0	1903689549272448.0	1903689135857037.2
2.3799999999999998e-08	2166492520447897.2	2085236901437101.0	2166493347297553.2	2085236901437101.0	1908044145650542.0	1908043318800886.0
2.4e-08	2167695171248066.8	2091574693372358.2	2167695998097722.8	2091574693372358.2	1917320969725703.2	1917320142876047.2
2.41e-08	2168310346356343.2	2094687363638702.0	2168310759790591.2	2094687363657539.0	1922218805405002.2	1922218391989591.5
2.4300000000000003e-08	2169573357087238.0	2100799839428765.0	2169573770502648.8	2100799425994519.8	1932431621727669.0	1932430794878013.0
2.44e-08	2170234422266680.0	2103799231499399.2	2170234835700925.2	2103799231499396.5	1937692443803314.0	1937692030369066.2
2.46e-08	2171612364892598.5	2109683910595297.0	2171612778308009.5	2109683910576462.5	1948383178398516.5	1948382764964271.2
2.4700000000000003e-08	2172373892145171.2	2112568784167480.8	2172374305579416.2	2112568784186318.0	1953760999502745.5	1953760586087337.5
2.49e-08	2173875448578087.0	2118224426285315.0	2173875862012335.0	2118224426285315.0	1964467444222582.8	1964467030788334.8
2.5e-08	2174657233618984.8	2120994367962474.8	2174657647053230.0	2120994367962472.0	1969759273113249.2	1969758859679001.2
2.52e-08	2176281163612668.5	2126383764943053.2	2176281577028079.2	2126418492553274.8	1980115547596987.8	1980149861791798.5
2.5400000000000002e-08	2177982817342189.2	2131653268911834.5	2177982817342189.2	2131687996540890.5	1990184492305494.8	1990219219934550.8
2.55e-08	2178857622790471.2	2134226834144098.2	2178858036205882.0	2134227247559509.2	1995079847454663.0	1995079847454663.0
