R	3A2_8B1	3A2_8B2	8A2_3A2
Intensities	0.9431398780621321	0.9431494925101456	0.9609913642047889
2e-08	1893551976136647.8	1893551976136647.8	1937467954488938.5
2.0099999999999998e-08	1895033274818912.8	1895033274818912.8	1938788431167347.8
2.0200000000000002e-08	1896563770933290.0	1896563770933290.0	1940150663668631.8
2.03e-08	1898140570590746.8	1898140570590746.8	1941552171481499.5
2.04e-08	1899763260300526.5	1899763260300526.5	1942992541152868.8
2.0499999999999998e-08	1901430599835239.2	1901430186400991.5	1944469292152605.8
2.0600000000000002e-08	1903140522023648.5	1903140522023648.5	1945981597612215.0
2.07e-08	1904893026922270.8	1904893026922270.8	1947527390454656.0
2.08e-08	1906685633944455.5	1906685633944455.5	1949105016924094.5
2.09e-08	1908518756562125.5	1908518756562125.5	1950714477077047.5
2.1000000000000003e-08	1910390741000622.5	1910390741000622.5	1952354117176528.5
2.11e-08	1912300760504473.5	1912300760504473.5	1954022283542060.2
2.12e-08	1914247161317858.2	1914247161317858.2	1955718149342823.5
2.13e-08	1916230356875019.0	1916230356875019.0	1957440474257240.5
2.1400000000000003e-08	1918247866626987.5	1918247866626987.5	1959188431492169.5
2.15e-08	1920299690592604.2	1920299277177193.2	1960960367329458.2
2.16e-08	1922383761638303.2	1922383761638303.2	1962755041466365.8
2.17e-08	1918821699327800.2	1918821699327800.2	1960746627041778.5
2.1800000000000003e-08	1926649885253866.8	1926649471838458.8	1966412604770897.8
2.19e-08	1928828630406267.5	1928828630406267.5	1968273013351880.0
2.2000000000000002e-08	1931037142127459.8	1931037142127459.8	1970153266305779.5
2.21e-08	1933274593530110.8	1933274593530110.8	1972053363613756.0
2.2200000000000004e-08	1935539744330321.8	1935539744330321.8	1973971238142250.2
2.23e-08	1937831767734943.2	1937831354300698.0	1975907303363184.2
2.2400000000000002e-08	1940149423403565.0	1940149009988157.0	1977859905539571.5
2.25e-08	1942492297958450.5	1942492297958450.5	1979829871521068.0
2.2599999999999997e-08	1944859564531104.2	1944859564531104.2	1981815134192951.5
2.27e-08	1947251223121525.8	1947250809687280.5	1983816520404877.5
2.29e-08	1952103168748499.2	1952103168748499.2	1987862288973185.0
2.2999999999999998e-08	1954565936277507.5	1954565936277507.5	1989906671291892.5
2.3100000000000002e-08	1957058470375307.5	1957058056959899.5	1991964283205100.8
2.32e-08	1959595654260366.2	1959595654260366.2	1994034297825480.0
2.33e-08	1962259345935635.5	1962259345935635.5	1996117128587280.8
2.3500000000000002e-08	1966650737057508.5	1966650737057508.5	2000318344608423.0
2.36e-08	1969328071723852.2	1969328071723852.2	2002437143283178.2
2.37e-08	1971927269257791.0	1971927269257791.0	2004566277550386.8
2.3799999999999998e-08	1974519025125980.2	1974519025125980.2	2006704920579219.2
2.4e-08	1979684759660678.8	1979684759660678.8	2011011146337185.5
2.41e-08	1982271140996684.5	1982271140996684.5	2013176661932756.5
2.4300000000000003e-08	1987456719885463.0	1987456719885463.0	2016564259267166.2
2.44e-08	1990053436851593.8	1990053436851593.8	2019726540456381.8
2.46e-08	1995252658731444.2	1995252658731444.2	2024130747719673.2
2.4700000000000003e-08	1997852683096201.5	1997852683096201.5	2026341739970996.2
2.49e-08	2003051491541804.2	2003051078126393.5	2030782328581490.2
2.5e-08	2005647795073687.0	2005647795073687.0	2033010271203677.5
2.52e-08	2010832547112806.8	2010832547112806.8	2037478559230568.8
2.5400000000000002e-08	2016001175611886.8	2016001175611886.8	2041960903645105.5
2.55e-08	2018576807940036.2	2018576807940036.2	2044204969845009.8
2.57e-08	2023713189340191.0	2023713189340191.0	2048701784100277.2
2.59e-08	2028822284758199.0	2028822284758199.0	2053203146038072.8
2.61e-08	2033900786776594.0	2033900373361183.2	2057705748259772.0
2.63e-08	2038945388034428.5	2038945388034428.5	2062205869932503.2
2.65e-08	2043953607945058.2	2043953194529647.5	2066699790223392.2
2.67e-08	2048922552600615.5	2048922139166370.5	2071183788374915.2
2.69e-08	2053849741395618.5	2053849327980210.5	2075654556931937.2
2.71e-08	2058733107215349.8	2058733107215349.8	2080109201930082.2
2.7400000000000004e-08	2065973404034123.5	2065972990599875.5	2086753754560406.2
2.76e-08	2070739357409857.2	2070739357409857.2	2091152587329182.8
2.7900000000000002e-08	2077794440207002.0	2077794440207002.0	2097698745019933.5
2.81e-08	2082433058961706.5	2082433058961706.5	2102023574848075.8
2.84e-08	2089290525030051.5	2089290525030051.5	2108446118731829.0
2.8700000000000002e-08	2096024377291399.0	2096023963857151.2	2114782670383182.5
2.89e-08	2100442640961173.5	2100442640961173.5	2118956186987933.0
2.92e-08	2106961512669777.2	2106961512669777.2	2125133156938169.2
2.96e-08	2115470194713955.2	2115470194713955.2	2133230068531622.5
2.99e-08	2121670316416890.0	2121670316416890.0	2139149888690821.2
3.02e-08	2127727806789574.5	2127727806789574.5	2144948575554322.0
3.06e-08	2135578317618689.0	2135578317618689.0	2152482816907903.8
3.09e-08	2141293492798755.2	2141293492798755.2	2157980117589684.8
3.13e-08	2148676834363193.0	2148676834363193.0	2165096387167213.2
3.17e-08	2155777807250335.0	2155777807250335.0	2171953026385902.2
3.2200000000000004e-08	2164257136159966.2	2164257549594211.5	2180159495379864.5
3.26e-08	2170707379460114.2	2170707792894362.2	2186418323295383.5
3.31e-08	2178333400974856.0	2178333814409101.0	2192913629817035.5
3.3599999999999996e-08	2185440575243837.8	2185440988659248.5	2197222749558220.2
3.42e-08	2193200546176859.0	2193200546176859.0	2201225521982069.5
3.48e-08	2199925303091988.2	2199925303091988.2	2203927662100432.2
3.54e-08	2205165867379310.8	2205165867379310.8	2205362243843044.0
3.61e-08	2208418275011531.5	2208418275011531.5	2205550351810211.8
3.6800000000000005e-08	2208384787647542.2	2208384787647542.2	2204355556072362.5
3.76e-08	2205786416982102.5	2205786416982102.5	2201642253493061.2
3.85e-08	2201167642600312.2	2201167642600312.2	2197362900320668.2
3.95e-08	2195037389589732.0	2195037389589732.0	2191692374927858.2
4.05e-08	2188581358360823.8	2188581358360823.8	2185612559670965.5
4.17e-08	2181134762901279.5	2181136003185183.5	2178402856251802.2
4.3099999999999996e-08	2173691474840364.8	2173691474840364.8	2170802880435309.0
4.46e-08	2167887826897762.5	2167887826897762.5	2164185200371726.5
4.64e-08	2163923502898161.2	2163923502898161.2	2158541960979897.5
4.85e-08	2162101956175677.8	2162101956175677.8	2154650399637034.8
5.11e-08	2161414018429499.8	2161414018429499.8	2152298016339359.8
5.4299999999999997e-08	2160688872505295.0	2160688872505295.0	2151080895698462.2
5.8499999999999994e-08	2158897505729342.5	2158897505729342.5	2150430166092634.0
6.440000000000001e-08	2155675691477892.5	2155675691477892.5	2150059324652805.0
7.37e-08	2151978439465203.0	2151978439465203.0	2149859640790445.2
9.28e-08	2149436294501042.8	2149436294501042.8	2150703852895628.0
1e-06	2149858813965906.2	2149858813965906.2	2149858813965906.2
