R	9A1_2A1	2B1_9A1	2B2_9A1
Intensities	3.8973407136250895	3.6100796484393216	3.610080826452413
2e-08	2469739947523553.0	2068228632676129.0	2068229046091539.8
2.0099999999999998e-08	2448817792516673.5	2069871993589644.8	2069872407023892.8
2.0200000000000002e-08	2428901911865064.5	2071583569496205.8	2071584396345861.8
2.03e-08	2409967500060196.0	2073365427510531.8	2073365840925939.8
2.04e-08	2391990991990473.0	2075218394463444.5	2075219221313100.5
2.0499999999999998e-08	2374951303017906.5	2077145777753568.0	2077146604603224.0
2.0600000000000002e-08	2358829002166163.0	2079151298213776.5	2079152125063435.2
2.07e-08	2343605485365061.5	2081239090073513.2	2081239916923169.2
2.08e-08	2329265042546476.0	2083414527864961.5	2083415354714617.5
2.09e-08	2315787415865581.0	2085686293462423.2	2085687120312079.2
2.1000000000000003e-08	2303172191925796.5	2088061828512802.0	2088062655362458.0
2.11e-08	2291404074017899.5	2090551055211975.5	2090551882061631.5
2.12e-08	2280476033966905.0	2093168443381842.2	2093169270231498.2
2.13e-08	2270386004620417.0	2095930529996682.0	2095931356846338.0
2.1400000000000003e-08	2261067424703538.5	2098860880262289.5	2098861707093108.2
2.15e-08	2253844078293303.0	2103161318072661.0	2103162558337727.8
2.16e-08	2245107186120715.0	2105314430942224.2	2105315257791880.2
2.17e-08	2238422944763402.0	2108905846349599.5	2108906673199258.0
2.1800000000000003e-08	2232626738448871.8	2112790792914051.5	2112791619763707.5
2.19e-08	2227739651796268.8	2117010613043041.5	2117011439892697.5
2.2000000000000002e-08	2223780702310019.8	2121605408822474.2	2121606235672130.2
2.21e-08	2220761465885305.2	2126606187123869.0	2126607427388935.8
2.2200000000000004e-08	2218675327724883.5	2132027831184538.0	2132029071449602.0
2.23e-08	2217491694429138.0	2137861659092500.0	2137862485942158.8
2.2400000000000002e-08	2217151859804330.2	2144069635838920.5	2144070462688576.5
2.25e-08	2217569831599220.5	2150587267282454.8	2150588094132113.5
2.2599999999999997e-08	2218643080644798.2	2157333522250976.0	2157334762534877.2
2.27e-08	2220261636106295.2	2164219514566531.8	2164220754850435.5
2.29e-08	2224717521388341.2	2178078318317381.2	2178079145148202.8
2.2999999999999998e-08	2227376665418757.0	2184913872898088.8	2184915113163153.0
2.3100000000000002e-08	2230237146973170.2	2191627467352276.8	2191628294201932.8
2.32e-08	2233228683962650.0	2198167837095430.2	2198168250529675.2
2.33e-08	2236317375664310.8	2204519272021762.2	2204519685456010.2
2.3500000000000002e-08	2242664676342360.2	2216604072801763.2	2216604486236011.0
2.36e-08	2245878222116079.5	2222328343328050.5	2222329170177706.5
2.37e-08	2249098796121300.0	2227840940719055.2	2227841354134466.0
2.3799999999999998e-08	2252315235840566.5	2233141451484020.8	2233142278333676.8
2.4e-08	2258705532644231.5	2243141767802911.8	2243142594652567.5
2.41e-08	2261868227248857.5	2247854802894829.5	2247855629744485.5
2.4300000000000003e-08	2268122094085272.5	2256766573477756.0	2256767400327412.0
2.44e-08	2271204997820499.0	2260971923728344.0	2260972337143754.5
2.46e-08	2277280678866786.0	2268934472488104.0	2268934885922352.0
2.4700000000000003e-08	2280269321910724.0	2272680095120924.0	2272680921970580.0
2.49e-08	2286159788935379.0	2279855484345276.5	2279856311194932.5
2.5e-08	2289058718932883.0	2283271194530326.0	2283271607945737.0
