R	10B1_1A1	10B1_1B1	10B2_1A1	10B2_1B2	1A2_10B1	1A2_10B2	2A2_10B1	2A2_10B2	10A2_1B1	10A2_1B2	10A2_1A2	10A2_2A2
Intensities	0.0350633714246656	0.04487791846792811	0.0350649293799424	0.0448736520293604	0.036861684516360904	0.0368665152429025	0.008735141705520401	0.0087328875480064	0.0611791582205241	0.0611724850557184	7.452900000000001e-12	0.0642810205104804
2e-08	2289598650854295.5	2833804131445522.0	2289598237420050.5	2833803718011277.0	2289598650854295.5	2289598237420050.5	2836056466104314.5	2836056052670069.5	2710988224778736.5	2710988224778736.5	2166782744187510.2	2713240559437529.0
2.0099999999999998e-08	2294522118816429.5	2815169452141896.0	2294521291966773.5	2815168625292240.0	2294522118816429.5	2294521291966773.5	2817549121440557.5	2817548294590901.5	2689266094076191.0	2689266094076191.0	2168618760750724.5	2691645763374852.5
2.0200000000000002e-08	2299436904904264.5	2797405857510197.0	2299436491470016.5	2797405444075949.0	2299436904904264.5	2299436491470016.5	2799918235962074.0	2799917822527826.5	2668479955621153.5	2668479955621153.5	2170511003015221.0	2670992334073031.0
2.03e-08	2304341355361974.0	2780483994378198.5	2304340528512318.0	2780483167528542.5	2304341355361974.0	2304340528512318.0	2783134456477804.0	2783133629628148.0	2648600869675646.5	2648600869675646.5	2172458230659421.8	2651251331775251.5
2.04e-08	2309234229943331.5	2764373269402804.5	2309233403112513.0	2764372442571985.5	2309234229943331.5	2309233403112513.0	2767166362832665.5	2767165536001847.0	2629602377163692.5	2629602377163692.5	2174463337704219.8	2632395470593553.5
2.0499999999999998e-08	2314113461552454.5	2749044742902553.5	2314112634702798.5	2749043916052897.5	2314113461552454.5	2314112634702798.5	2751985842176020.0	2751985015326364.0	2611458018877447.5	2611458018877447.5	2176526737527348.2	2614399118150913.5
2.0600000000000002e-08	2318977396452353.5	2734469888573720.5	2318976569621535.0	2734469061742901.5	2318977396452353.5	2318976569621535.0	2737564781619546.5	2737563954788728.0	2594144229705313.0	2594144229705313.0	2178651737583946.0	2597239122751139.0
2.07e-08	2323825621227621.0	2720622660736900.0	2323824794396799.5	2720621833906078.5	2323825621227621.0	2323824794396799.5	2723875481784531.5	2723874654953710.0	2577639098121980.5	2577639098121980.5	2180842058612701.2	2580891919169612.0
2.08e-08	2328657722500517.0	2707476186787673.5	2328656482216613.0	2707474946503769.5	2328657722500517.0	2328656482216613.0	2710891483538478.0	2710890243254574.0	2561917405241178.0	2561917405241178.0	2183098940954021.5	2565332701991982.5
2.09e-08	2333470392797066.5	2695006074708276.0	2333469565947410.5	2695005247858620.0	2333470392797066.5	2333469565947410.5	2698588808241352.0	2698587981391696.0	2546960133596164.5	2546960133596164.5	2185424451684955.0	2550542867129240.5
2.1000000000000003e-08	2338261151643656.5	2683183384836082.5	2338259911359752.5	2683182144552178.5	2338261151643656.5	2338259911359752.5	2686937689380876.0	2686936449096972.0	2532740824035611.0	2532740824035611.0	2187818590843184.5	2536495128580404.0
2.11e-08	2343029172134115.5	2671987445948523.5	2343028345284459.5	2671986619098867.5	2343029172134115.5	2343028345284459.5	2675916628884818.0	2675915802035162.0	2519234671107502.0	2519234671107502.0	2190276397293094.0	2523163854043796.5
2.12e-08	2347774867759204.0	2661393866008990.5	2347774040909548.0	2661393452593579.5	2347774867759204.0	2347774040909548.0	2665501648188500.5	2665500821338844.5	2506411494808795.5	2506411908243040.5	2192792496559008.8	2510519276988305.5
2.13e-08	2352496171328847.0	2651383214097651.5	2352494931044943.0	2651381973813747.5	2352496171328847.0	2352494931044943.0	2655672076031671.0	2655670835747767.0	2494260546169309.5	2494260546169309.5	2195373503400505.0	2498549408103329.0
2.1400000000000003e-08	2357191842596815.5	2641929857912834.5	2357190602331749.0	2641928617647767.5	2357191842596815.5	2357190602331749.0	2646402693584579.0	2646401453319512.5	2482742549896297.0	2482742549896297.0	2198004534580278.2	2487215385568041.5
2.15e-08	2361862708450442.5	2633016433649427.5	2361859401051818.5	2633013126250803.5	2361862708450442.5	2361859401051818.5	2637675310173620.0	2637672002774996.0	2471840968977790.5	2471840968977790.5	2200687243778806.0	2476499845501983.5
2.16e-08	2366504221169523.0	2624618549270828.0	2366502980885622.0	2624617308986927.0	2366504221169523.0	2366502980885622.0	2629464293515961.5	2629463053232060.5	2461534305379244.0	2461534305379244.0	2203419977277939.2	2466380049624378.0
2.17e-08	2371105631746206.5	2616707265095580.5	2371104391462302.5	2616706024811676.5	2371105631746206.5	2371104391462302.5	2621740290458226.0	2621739050174322.0	2452434426829149.5	2452434426829149.5	2206832793479775.8	2457467452191795.0
2.1800000000000003e-08	2375700014110226.0	2609297464379812.0	2375698773845159.0	2609296224114745.0	2375700014110226.0	2375698773845159.0	2614517357463398.5	2614516117198332.0	2442632140673301.0	2442632140673301.0	2209034690403714.8	2447852033756887.5
2.19e-08	2380252227217120.0	2602336228858547.0	2380251400367464.0	2602335402008891.0	2380252227217120.0	2380251400367464.0	2607742162794581.5	2607741335944925.5	2434001911936851.0	2434001911936851.0	2211917910295423.8	2439407845872885.5
2.2000000000000002e-08	2384773020074747.5	2595817770584194.0	2384771779809683.5	2595816943734538.0	2384773020074747.5	2384771779809683.5	2601408091673361.5	2601406851408297.5	2425897972130739.5	2425898385546147.5	2214853221621292.8	2431488293219907.0
2.21e-08	2389261152455716.0	2589725139167045.5	2389259912171814.5	2589723898883144.5	2389261152455716.0	2389259912171814.5	2595496540048396.5	2595495299764495.5	2418307505075872.5	2418307505075872.5	2217843518364543.0	2424078905957224.0
2.2200000000000004e-08	2393715384038450.0	2584040143933504.5	2393714143773386.0	2584038903668440.5	2393715384038450.0	2393714143773386.0	2589989730604986.5	2589988490339922.5	2411216040950362.5	2411216040950362.5	2220891281055308.0	2417165627621844.5
2.23e-08	2398135301426376.0	2578748315042838.5	2398134061161309.5	2578747488212019.5	2398135301426376.0	2398134061161309.5	2584870713009941.0	2584869472744874.5	2404612003877852.0	2404612417312100.0	2223998990261390.0	2410734401844955.0
2.2400000000000002e-08	2402519664335587.5	2573833115558432.5	2402518837485931.5	2573832288708776.5	2402519664335587.5	2402518837485931.5	2580122950288967.5	2580122123439311.5	2398484644831650.5	2398484644831650.5	2227171193608805.5	2404774479562185.0
2.25e-08	2406868059350679.0	2569280075601882.5	2406866819085612.5	2569278835336816.0	2406868059350679.0	2406866819085612.5	2575729905467782.5	2575728665202716.0	2392824868465533.5	2392824868465533.5	2230412852214330.2	2399274698331433.5
2.2599999999999997e-08	2411179659621994.5	2565073898501636.0	2411178419338091.0	2565072658217732.0	2411179659621994.5	2411178419338091.0	2571676695290243.0	2571675455006339.0	2387622752640141.5	2387622752640141.5	2233728513760500.0	2394225549428748.0
2.27e-08	2415454051715283.5	2561201354663195.0	2415452811431379.5	2561200114379291.0	2415454051715283.5	2415452811431379.5	2567948023047124.0	2567946782763220.0	2382872922785610.5	2382872922785610.5	2237125619837699.2	2389619591169539.5
2.29e-08	2423886250307525.5	2554400114277295.0	2423884596608213.5	2554398460577983.0	2423886250307525.5	2423884596608213.5	2561404345905341.5	2561402692206029.5	2374706555915208.0	2374706555915208.0	2244192691945438.5	2381710787543254.5
2.2999999999999998e-08	2428042816503740.0	2551445372012757.0	2428041576238673.5	2551444545163101.0	2428042816503740.0	2428041576238673.5	2558561228156037.5	2558559987890971.0	2371283817536337.0	2371284230951748.0	2247881262027320.2	2378399673679618.0
2.3100000000000002e-08	2432159280576386.5	2548772171575855.5	2432157626877074.5	2548770517876543.5	2432159280576386.5	2432157626877074.5	2555986422658709.5	2555984768959397.5	2368299722156089.5	2368299722156089.5	2251686831156620.2	2375513973238943.5
2.32e-08	2436232748561091.5	2546364389445391.5	2436233575410747.5	2546365216295047.5	2436232748561091.5	2436233575410747.5	2553664219326397.0	2553665046176053.0	2365754269793305.5	2365754269793305.5	2255622628909005.5	2373054099674311.0
2.33e-08	2440266941234207.0	2544216237654927.0	2440267354649618.0	2544216651070337.5	2440266941234207.0	2440267354649618.0	2551587176493356.5	2551587589908767.5	2363648700675377.0	2363648700675377.0	2259699404254657.5	2371019639513806.5
2.3500000000000002e-08	2448207991940578.0	2540643426317728.0	2448208818790234.0	2540644666582792.0	2448207991940578.0	2448208818790234.0	2548110692962168.5	2548111519811824.5	2360765894217918.5	2360766307633326.5	2268330459840768.5	2368233160862359.0
2.36e-08	2452114849973827.0	2539215872787777.5	2452115263408072.5	2539216699637433.5	2452114849973827.0	2452115263408072.5	2546707118034578.0	2546707531468823.0	2360002299850623.5	2360002713266034.0	2272901277036673.0	2367493545097423.5
2.37e-08	2455977058200983.5	2537999992411947.0	2455977885050639.0	2538000819261603.0	2455977058200983.5	2455977885050639.0	2545498679305653.5	2545499506155309.5	2359678175331613.0	2359678175331613.0	2277655241120649.5	2367176862225320.0
2.3799999999999998e-08	2459796270340192.5	2536968085792675.5	2459797097189848.5	2536969326057742.5	2459796270340192.5	2459797097189848.5	2544458090774409.5	2544458917624065.5	2359775330006117.0	2359775743421527.5	2282603514553633.5	2367265334987850.5
2.4e-08	2467300331728414.5	2535471903854272.0	2467301158578070.5	2535472730703928.0	2467300331728414.5	2467301158578070.5	2542892040162485.5	2542892867012141.5	2361218180207617.0	2361218180207617.0	2293046608081759.0	2368638316515830.5
2.41e-08	2470983113900370.5	2534987784181056.5	2470983527334618.5	2534988197615304.5	2470983113900370.5	2470983527334618.5	2542347973992790.5	2542348387427038.5	2362519225947357.0	2362519225947357.0	2298514555666670.5	2369879415759090.5
2.4300000000000003e-08	2478215969072235.0	2534501597411958.5	2478216382487645.5	2534502010827369.0	2478215969072235.0	2478216382487645.5	2541691456477039.0	2541691869892449.5	2366133379710862.5	2366133379710862.5	2309847751371139.0	2373323238775943.0
