Transitions	w0	c3	c6	c9	c12	c15	c18
4A1_1A1	3575702041558017.5	8.196384706900287e-09	-9.685991643416035e-31	2.956158546378166e-53	-4.355949037785998e-76	3.022044117141328e-99	-7.888724091868653e-123
1B1_4A1	3589127256032207.5	4.578172650892523e-09	-6.53390061686098e-31	1.7370916763062286e-53	-2.1694147366305043e-76	1.3157855581658884e-99	-3.1109320938409626e-123
5B1_1A1	3580143063222981.0	6.8486504089022965e-09	-9.674629537066918e-31	3.120718314693386e-53	-4.7257706904398e-76	3.3304207338449323e-99	-8.78701713519913e-123
5B1_1B1	3593568126822121.0	3.230462979903041e-09	-6.522555708177747e-31	1.9016565134350933e-53	-2.5392435863546008e-76	1.6241670469285725e-99	-4.0092377522297736e-123
6B1_1A1	3561286603312718.5	1.2812307278288098e-08	-1.156161650056663e-30	3.2184829243877675e-53	-4.442605858633029e-76	2.9747301401260717e-99	-7.648137439156037e-123
6B1_1B1	3574711962546875.5	9.194065807488955e-09	-8.409502578181817e-31	1.9994088849063038e-53	-2.2560609957412435e-76	1.2684642586154495e-99	-2.870326171347189e-123
1B2_4A1	3589128424652853.5	4.577969460169862e-09	-6.533762768976979e-31	1.7370570048003767e-53	-2.1693743499059127e-76	1.315763367906205e-99	-3.1108855513146874e-123
5B2_1A1	3580142835122236.5	6.848692401883877e-09	-9.674660465427831e-31	3.120727216036079e-53	-4.725781865359302e-76	3.3304264580793704e-99	-8.787025870548478e-123
5B2_1B2	3593568929980411.5	3.230325327966768e-09	-6.522465401325722e-31	1.9016356186894319e-53	-2.5392212300951436e-76	1.6241551689030873e-99	-4.009211687102035e-123
6B2_1A1	3561286374601338.0	1.2812385063655771e-08	-1.156168595542718e-30	3.2185070478319375e-53	-4.4426445291822633e-76	2.974758549575084e-99	-7.648214804568067e-123
6B2_1B2	3574712569916335.0	9.193999041120858e-09	-8.409476553440534e-31	1.9994110110985616e-53	-2.2560773803871866e-76	1.26848274774165e-99	-2.8703887351077988e-123
1A2_5B1	3590391845064496.0	4.064741185508437e-09	-6.683381615336908e-31	1.8658913095025974e-53	-2.402933367521516e-76	1.4884703795194485e-99	-3.572710178798265e-123
1A2_6B1	3571535702374340.5	1.0028339961285542e-08	-8.570325363217945e-31	1.9636426968659653e-53	-2.1197493119686612e-76	1.132766564685916e-99	-2.4337958698664313e-123
1A2_5B2	3590391595475399.5	4.064786851168065e-09	-6.683414897434477e-31	1.8659008192399662e-53	-2.4029452855671157e-76	1.488476532122481e-99	-3.572719851786249e-123
1A2_6B2	3571535081229688.5	1.0028487160026633e-08	-8.570444970124315e-31	1.9636818080912644e-53	-2.1198093600065882e-76	1.1328094461395455e-99	-2.4339106255339948e-123
2A2_5B1	3592904062608049.0	3.5746339057833384e-09	-7.282700541965354e-31	2.282496063617429e-53	-3.258731715218705e-76	2.141523589672263e-99	-5.336217677621737e-123
2A2_6B1	3574047908464789.5	9.538239913530188e-09	-9.169651604687112e-31	2.380250027891925e-53	-2.9755517161080133e-76	1.7858227082387302e-99	-4.197311314827946e-123
2A2_5B2	3592903998008703.5	3.5746541872736087e-09	-7.282718519642853e-31	2.2825015818178826e-53	-3.2587385189143555e-76	2.1415265694263275e-99	-5.336219728781107e-123
2A2_6B2	3574047590939479.5	9.538334919874938e-09	-9.16973421863866e-31	2.380278235238438e-53	-2.975596373210431e-76	1.785855255680471e-99	-4.197399548085023e-123
5A2_1B1	3589701397136501.0	4.827402743308575e-09	-6.636163058965985e-31	1.7590289859869102e-53	-2.198644947432571e-76	1.3366067922552811e-99	-3.1691854170974744e-123
5A2_1B2	3589702557337642.0	4.8271979895970336e-09	-6.636022664209621e-31	1.758993256285873e-53	-2.1986027346135846e-76	1.3365831982940314e-99	-3.169134899288214e-123
5A2_1A2	3586525179131343.5	5.661666409339672e-09	-6.796976868198134e-31	1.7232598227169697e-53	-2.0623287074492185e-76	1.2009058484017254e-99	-2.732646374068468e-123
5A2_2A2	3589037586714174.5	5.171533494032057e-09	-7.396280470186912e-31	2.139860593191542e-53	-2.9181219515488125e-76	1.853955886608713e-99	-4.496146230291308e-123
6A2_1B1	3566844344168661.0	1.285576776825827e-08	-1.0948251958969084e-30	2.908659432510599e-53	-3.8349627594075673e-76	2.515618669090512e-99	-6.480278643513274e-123
6A2_1B2	3566845524985407.5	1.285555976702379e-08	-1.0948109228954112e-30	2.9086229785131893e-53	-3.834919461550572e-76	2.515594303254858e-99	-6.480226037406882e-123
6A2_1A2	3563667849463472.5	1.3690079403931185e-08	-1.1109100031360269e-30	2.872900436641832e-53	-3.6986609543744145e-76	2.379927466078659e-99	-6.0437647094077184e-123
6A2_2A2	3566180258769024.0	1.3199943638572363e-08	-1.1708400484326474e-30	3.289500047100736e-53	-4.554452315917985e-76	3.032976110992934e-99	-7.807260720692978e-123
