R	1s5	1s4	1s3	1s2	2p10	2p9	2p8	2p7	2p6	2p5	2p4	2p3	2p2	2p1
2.0	370832.27621597325	404521.26334033627	428219.1247971529	422972.26007081126	266610.8177282931	250454.65349603762	272235.2517505807	375720.8183894801	304750.9810411942	339803.37161417224	368985.2487413734	365685.4494305489	404164.22322848527	341973.0872475307
2.01	365993.86059298523	398695.5679346594	421262.05930534523	415951.07812069985	263516.94146398216	244952.5828899939	266584.6740840101	368110.81542643136	297426.1637152392	331301.0774391019	361664.2495854143	358113.7570968579	397807.67183498334	334496.57813221694
2.02	361269.3928514391	392997.782281244	414459.3067442473	409086.3108524032	260512.48728547423	239544.05511147875	261018.63714983177	360663.0849020698	290322.56848541985	322938.72425568243	354507.78442609205	350702.7803348385	391630.4292425484	327193.4063159139
2.03	356656.33612129785	387425.1324681098	407808.8519164511	402376.0648735503	257592.64256144545	234222.11905101064	255524.80798939217	353375.9683692355	283454.56071249105	314715.07867778424	347514.07166453655	343451.0663183222	385630.09692961327	320061.4511363663
2.04	352152.09775272635	381974.9044250409	401308.3711221009	395818.4095663244	254752.47537162743	228978.9610454534	250088.97790995336	346248.03351297206	276838.5793651561	306629.17432372685	340681.51360677835	336357.49621335004	379803.97040083865	313098.80728554196
2.05	347754.2206956034	376644.2336310862	394955.854872964	389411.59778971534	251986.99142137513	223806.17668761328	244695.53835293074	339277.892403791	270493.5717559331	298680.353039363	334008.507269383	329421.0643405618	374149.38110334607	306303.7026329403
2.06	343460.25294257625	371430.3301744364	388749.0847141778	383153.8058580972	249290.8563129529	218694.91723644978	239327.68601099236	332464.06808265555	264439.6993029757	290868.5590747714	327493.67217832734	322641.0521607724	368663.54858261434	299674.4031859092
2.07	339267.6490501748	366330.52604288474	382686.0017023272	377043.29385236773	246658.14808876882	213636.10441589262	233969.00641324016	325805.32457525405	258697.345871307	283194.16895517206	321135.7678854412	316016.7206609387	363343.617915396	293209.1042579483
2.08	335174.2027627347	361342.0593282336	376764.4400366525	371079.03578517	244081.55200540248	208621.24285521705	228604.51126318704	319300.05794764275	253283.8516480714	275658.18182526383	314933.5236182708	309547.451783158	358187.13767465827	286906.0584737602
2.09	331177.0941198306	356462.44757591904	370982.32123612263	365257.39008692285	241552.10323030097	203643.75362523698	223224.72497266406	312947.41863844846	248215.26551274175	268262.43789285637	308885.4857547089	303232.9552770848	353191.3522007066	280764.10687895643
2.1	327274.2052111293	351688.35202324437	365337.47161740455	359578.3895808216	239058.46260663224	198696.71219961907	217824.13927860654	306745.94418530364	243499.27871949083	261009.86834694308	302989.5299416943	297071.79905674094	348353.3300744446	274781.3080506292
2.11	323463.0537631863	347017.40024636843	359827.8236199129	354039.7214971866	236586.24952308982	193778.35195697288	212405.38271462813	300694.46234664635	239125.5930632523	253904.06908989727	297244.2611993304	291063.12854835973	343671.2254471033	268955.5314403832
2.12	319741.45552913606	342447.10115032026	354451.33038195304	348639.7902467315	234118.15360262786	188888.67448591237	206977.07480567717	294791.76019848936	235071.17550426818	246950.98521377656	291647.60952910315	285205.64507458464	339142.69637776865	263285.6826917835
2.13	316106.68058636866	337974.8086836125	349205.7684800375	343376.7304008276	231637.57916435506	183943.88454947982	201557.57346949598	289036.7943476133	231462.45207860367	240158.16896055936	286198.70707978174	279499.5801205603	334766.71419616434	257770.1468341973
2.14	312556.9762373006	333604.2119850037	344089.1523048653	338250.0648272036	229122.01097004538	179215.07695150498	196163.91469917976	283428.28944688186	227932.24676980232	233536.82308237656	280894.6710145877	273944.3010798274	330539.8356728783	252408.88506332733
2.15	309089.9007933089	329320.65161028114	339099.440720589	333255.7249446939	226552.4902966302	174401.451506515	190026.4229533521	277965.2837459422	225289.56917477874	227552.1583005465	275734.3910131363	268561.45218944334	326460.4065564124	247505.2835472394
2.16	305703.1168748341	325127.97481811227	334234.4325929111	328392.89576613286	223908.0280537717	169730.88004927605	185538.52557657342	272646.4161508733	221824.01014193083	220857.74122828155	270715.8640487002	263276.4683398495	322525.55238742544	242137.24997499568
2.17	302394.4991958286	321023.85739404376	329491.7630781194	323659.62285919907	221201.22350064552	164010.4381643407	179582.44505257317	265813.0766485343	221788.26853760562	214837.8081323278	265903.96476875135	258242.29862285836	318838.88462153455	237224.33378184788
2.18	299161.9108639764	317006.19678081735	324869.56709907035	319054.0535588218	218330.24161318922	160508.3916858479	175255.79639867326	262437.12142490945	216530.29651451472	209061.69420327677	261097.86574344276	253198.17633937133	315078.2674051108	232458.75078791365
